seasonType,eventId,commentaryOrder,playId,clockDisplayValue,commentaryText,updateDateTime
13720,758415,0,46156112,16',Al Hassan Toure (Sydney FC) Yellow Card at 16',2025-10-18 05:22:43
13720,758415,1,46156113,41',Alex Grant (Sydney FC) Yellow Card at 41',2025-10-18 05:22:43
13720,758415,2,46156114,55',Ryan Kitto (Adelaide United) Goal at 55',2025-10-18 05:22:43
13720,758415,3,46156115,60',Abel Walatee (Sydney FC) Substitution at 60',2025-10-18 05:22:43
13720,758415,4,46156116,65',Ethan Alagich (Adelaide United) Goal at 65',2025-10-18 05:22:43
13720,758415,5,46156117,71',Panashe Madanha (Adelaide United) Substitution at 71',2025-10-18 05:22:43
13720,758415,6,46156118,76',Harry Crawford (Adelaide United) Substitution at 76',2025-10-18 05:22:43
13720,758415,7,46156119,76',Juan Muñiz (Adelaide United) Substitution at 76',2025-10-18 05:22:43
13720,758415,8,46156120,80',Patrick Wood (Sydney FC) Substitution at 80',2025-10-18 05:22:43
13720,758415,9,46156121,87',Tiago Quintal (Sydney FC) Substitution at 87',2025-10-18 05:22:43
13720,758415,10,46156122,87',Alexandar Popovic (Sydney FC) Substitution at 87',2025-10-18 05:22:43
13720,758415,11,46156123,88',Jordan Courtney-Perkins (Sydney FC) Substitution at 88',2025-10-18 05:22:43
13720,758415,12,46156124,89',Fabian Talladira (Adelaide United) Substitution at 89',2025-10-18 05:22:43
13720,758415,13,46156125,90'+1',Joe Lolley (Sydney FC) Goal at 91',2025-10-18 05:22:43
13720,758416,0,46156136,17',Dimitrios Valkanis (Brisbane Roar) Yellow Card at 17',2025-10-18 05:22:43
13720,758416,1,46156137,17',James McGarry (Brisbane Roar) Yellow Card at 17',2025-10-18 05:22:43
13720,758416,2,46156141,32',Chris Long (Brisbane Roar) Yellow Card at 32',2025-10-18 05:22:43
13720,758416,3,46156144,37',Jay O'Shea (Brisbane Roar) Penalty - Scored at 37',2025-10-18 05:22:43
13720,758416,4,46156147,45'+1',Luke Brattan (Macarthur FC) Yellow Card at 46',2025-10-18 05:22:43
13720,758416,5,46156152,52',Tomislav Uskok (Macarthur FC) Yellow Card at 52',2025-10-18 05:22:43
13720,758416,6,46156153,54',Justin Vidic (Brisbane Roar) Substitution at 54',2025-10-18 05:22:43
