seasonType,eventId,commentaryOrder,playId,clockDisplayValue,commentaryText,updateDateTime
13724,758571,0,46282410,28',Gabby Hollar (Perth Glory) Goal at 28',2025-11-01 05:18:07
13724,758571,1,46282419,47',Rola Badawiya (Perth Glory) Goal at 47',2025-11-01 05:18:07
13724,758571,2,46282421,51',Ella Buchanan (Western Sydney ) Goal at 51',2025-11-01 05:18:07
13724,758571,3,46282422,52',Gabby Hollar (Perth Glory) Goal at 52',2025-11-01 05:18:07
13724,758571,4,46282424,56',Sarah O'Donoghue (Perth Glory) Substitution at 56',2025-11-01 05:18:07
13724,758571,5,46282425,57',Bronte Trew (Perth Glory) Substitution at 57',2025-11-01 05:18:07
13724,758571,6,46282426,62',Nikkita Fazzari (Western Sydney ) Substitution at 62',2025-11-01 05:18:07
13724,758571,7,46282427,62',Olivia Price (Western Sydney ) Substitution at 62',2025-11-01 05:18:07
13724,758571,8,46282429,75',Alvina Khoshaba (Western Sydney ) Substitution at 75',2025-11-01 05:18:07
13724,758571,9,46282430,75',Charli Wainwright (Perth Glory) Substitution at 75',2025-11-01 05:18:07
13724,758571,10,46282431,81',Nikkita Fazzari (Western Sydney ) Yellow Card at 81',2025-11-01 05:18:07
13724,758571,11,46282433,85',Anika Stajcic (Western Sydney ) Substitution at 85',2025-11-01 05:18:07
13724,758571,12,46282435,90'+2',Mischa Anderson (Perth Glory) Substitution at 92',2025-11-01 05:18:07
13724,758571,13,46282437,90'+4',Ella Lincoln (Perth Glory) Substitution at 94',2025-11-01 05:18:07
13724,758572,0,46287796,20',Rebekah Stott (Melbourne City) Own Goal at 20',2025-11-01 05:18:07
13724,758572,1,46287861,38',Riley Tanner (Sydney FC ) Yellow Card at 38',2025-11-01 05:18:07
13724,758572,2,46287870,45'+1',Shelby Mcmahon (Melbourne City) Goal at 46',2025-11-01 05:18:07
13724,758572,3,46287932,58',Caley Tallon-Henniker (Sydney FC ) Substitution at 58',2025-11-02 05:18:08
13724,758572,4,46287933,58',Jodi Ulkekul (Sydney FC ) Substitution at 58',2025-11-02 05:18:08
13724,758572,5,46287939,62',Mackenzie Hawkesby (Sydney FC ) Penalty - Scored at 62',2025-11-02 05:18:08
13724,758572,6,46287969,67',Chinaza Uchendu (Melbourne City) Substitution at 67',2025-11-02 05:18:08
13724,758572,7,46288000,73',Madeleine Caspers (Sydney FC ) Substitution at 73',2025-11-02 05:18:08
13724,758572,8,46288012,75',Aideen Keane (Melbourne City) Goal at 75',2025-11-02 05:18:08
13724,758572,9,46288032,80',Willa Pearson (Sydney FC ) Yellow Card at 80',2025-11-02 05:18:08
13724,758572,10,46288033,81',Chinaza Uchendu (Melbourne City) Yellow Card at 81',2025-11-02 05:18:08
13724,758572,11,46288063,86',Laurie-Ann Moïse (Sydney FC ) Substitution at 86',2025-11-02 05:18:08
13724,758572,12,46288067,87',Danella Butrus (Melbourne City) Substitution at 87',2025-11-02 05:18:08
13724,758573,0,46288142,22',Bente Jansen (Brisbane Roar) Goal at 22',2025-11-02 05:18:08
13724,758573,1,46288143,34',Rhianna Pollicina (Melbourne Victory ) Goal at 34',2025-11-02 05:18:08
13724,758573,2,46288144,41',Kennedy White (Melbourne Victory ) Goal at 41',2025-11-02 05:18:08
13724,758573,3,46288163,64',Sharn Freier (Brisbane Roar) Goal at 64',2025-11-02 05:18:08
13724,758573,4,46288165,64',Kijah Stephenson (Brisbane Roar) Substitution at 64',2025-11-02 05:18:08
13724,758573,5,46288166,66',Sienna Techera (Melbourne Victory ) Substitution at 66',2025-11-02 05:18:08
13724,758573,6,46288170,79',Tameka Yallop (Brisbane Roar) Substitution at 79',2025-11-02 05:18:08
13724,758573,7,46288171,82',Leia Varley (Brisbane Roar) Yellow Card at 82',2025-11-02 05:18:08
