seasonType,eventId,commentaryOrder,playId,clockDisplayValue,commentaryText,updateDateTime
13753,758978,0,-1,,Lineups are announced and players are warming up.,2025-10-08 05:26:07
13753,758978,1,-1,,First Half begins.,2025-10-08 05:26:07
13753,758978,2,46099790,1',Cristiana Girelli (Juventus Femminile) wins a free kick in the attacking half.,2025-10-08 05:26:07
13753,758978,3,46099790,1',Foul by Diana Gomes (Benfica Women).,2025-10-08 05:26:07
13753,758978,4,46099796,2',Attempt saved. Caroline Møller (Benfica Women) header from the centre of the box is saved in the centre of the goal by Pauline Peyraud-Magnin (Juventus Femminile). Assisted by Marit Lund.,2025-10-08 05:26:07
13753,758978,5,46099799,3',"Attempt missed. Cristiana Girelli (Juventus Femminile) header from the centre of the box is close, but misses to the right. Assisted by Lia Wälti with a cross.",2025-10-08 05:26:07
13753,758978,6,46099801,6',"Goal! Juventus Femminile 0, Benfica Women 1. Lúcia Alves (Benfica Women) right footed shot from the centre of the box to the high centre of the goal. Assisted by Nycole Raysla.",2025-10-08 05:26:07
13753,758978,7,46099805,8',Beatriz Cameirão (Benfica Women) wins a free kick in the attacking half.,2025-10-08 05:26:07
13753,758978,8,46099805,8',Foul by Lia Wälti (Juventus Femminile).,2025-10-08 05:26:07
13753,758978,9,46099808,9',Foul by Diana Gomes (Benfica Women).,2025-10-08 05:26:07
13753,758978,10,46099808,9',Tatiana Pinto (Juventus Femminile) wins a free kick in the defensive half.,2025-10-08 05:26:07
13753,758978,11,46099811,11',Attempt saved. Cristiana Girelli (Juventus Femminile) header from the centre of the box is saved in the top centre of the goal by Lena Pauels (Benfica Women). Assisted by Estela Carbonell with a cross.,2025-10-08 05:26:07
13753,758978,12,46099817,12',"Corner, Juventus Femminile. Conceded by Diana Gomes.",2025-10-08 05:26:07
13753,758978,13,46099819,13',"Offside, Benfica Women. Nycole Raysla is caught offside.",2025-10-08 05:26:07
13753,758978,14,46099821,14',Barbara Bonansea (Juventus Femminile) wins a free kick on the right wing.,2025-10-08 05:26:07
13753,758978,15,46099821,14',Foul by Marit Lund (Benfica Women).,2025-10-08 05:26:07
13753,758978,16,46099823,16',Foul by Lúcia Alves (Benfica Women).,2025-10-08 05:26:07
13753,758978,17,46099823,16',Martina Lenzini (Juventus Femminile) wins a free kick in the attacking half.,2025-10-08 05:26:07
13753,758978,18,46099828,18',Attempt blocked. Barbara Bonansea (Juventus Femminile) left footed shot from the centre of the box is blocked.,2025-10-08 05:26:07
13753,758978,19,-1,18',"Corner, Juventus Femminile. Conceded by Carole Costa.",2025-10-08 05:26:07
13753,758978,20,46099832,19',Attempt saved. Cristiana Girelli (Juventus Femminile) header from the centre of the box is saved in the top centre of the goal by Lena Pauels (Benfica Women). Assisted by Lia Wälti with a cross.,2025-10-08 05:26:07
13753,758978,21,46099833,20',"Offside, Juventus Femminile. Cristiana Girelli is caught offside.",2025-10-08 05:26:07
13753,758978,22,46099836,21',Foul by Lúcia Alves (Benfica Women).,2025-10-08 05:26:07
13753,758978,23,46099836,21',Lia Wälti (Juventus Femminile) wins a free kick in the attacking half.,2025-10-08 05:26:07
13753,758978,24,46099838,22',"Goal! Juventus Femminile 1, Benfica Women 1. Cecilia Salvai (Juventus Femminile) header from the centre of the box to the bottom left corner. Assisted by Barbara Bonansea following a set piece situation.",2025-10-08 05:26:07
13753,758978,25,46099842,24',"Attempt missed. Nycole Raysla (Benfica Women) left footed shot from the left side of the six yard box is close, but misses to the left.",2025-10-08 05:26:07
13753,758978,26,46099846,26',Beatriz Cameirão (Benfica Women) wins a free kick in the defensive half.,2025-10-08 05:26:07
13753,758978,27,46099846,26',Foul by Emma Stølen Godø (Juventus Femminile).,2025-10-08 05:26:07
13753,758978,28,46099850,27',"Corner, Juventus Femminile. Conceded by Diana Gomes.",2025-10-08 05:26:07
13753,758978,29,46099852,28',"Offside, Juventus Femminile. Cristiana Girelli is caught offside.",2025-10-08 05:26:07
13753,758978,30,46099856,28',Attempt blocked. Amalie Vangsgaard (Juventus Femminile) right footed shot from the centre of the box is blocked. Assisted by Cristiana Girelli.,2025-10-08 05:26:07
13753,758978,31,46099857,28',"Corner, Juventus Femminile. Conceded by Diana Gomes.",2025-10-08 05:26:07
13753,758978,32,46099861,31',Barbara Bonansea (Juventus Femminile) wins a free kick in the attacking half.,2025-10-08 05:26:07
13753,758978,33,46099861,31',Foul by Anna Gasper (Benfica Women).,2025-10-08 05:26:07
13753,758978,34,46099866,34',Cristiana Girelli (Juventus Femminile) wins a free kick on the left wing.,2025-10-08 05:26:07
13753,758978,35,46099866,34',Foul by Diana Gomes (Benfica Women).,2025-10-08 05:26:07
13753,758978,36,46099869,37',Foul by Lúcia Alves (Benfica Women).,2025-10-08 05:26:07
13753,758978,37,46099869,37',Martina Lenzini (Juventus Femminile) wins a free kick in the defensive half.,2025-10-08 05:26:07
13753,758978,38,46099879,38',Attempt missed. Amalie Vangsgaard (Juventus Femminile) right footed shot from the centre of the box misses to the right.,2025-10-08 05:26:07
13753,758978,39,46099883,38',"Offside, Juventus Femminile. Cristiana Girelli is caught offside.",2025-10-08 05:26:07
13753,758978,40,46099876,38',GOAL OVERTURNED BY VAR: Barbara Bonansea (Juventus Femminile) scores but the goal is ruled out after a VAR review.,2025-10-08 05:26:07
13753,758978,41,46099881,40',VAR Decision: No Goal Juventus Femminile 1-1 Benfica Women.,2025-10-08 05:26:07
13753,758978,42,46099886,42',Foul by Barbara Bonansea (Juventus Femminile).,2025-10-08 05:26:07
13753,758978,43,46099886,42',Marit Lund (Benfica Women) wins a free kick in the defensive half.,2025-10-08 05:26:07
13753,758978,44,46099890,43',Attempt missed. Tatiana Pinto (Juventus Femminile) right footed shot from outside the box is high and wide to the left.,2025-10-08 05:26:07
13753,758978,45,-1,45',"Corner, Juventus Femminile. Conceded by Lúcia Alves.",2025-10-08 05:26:07
13753,758978,46,-1,45'+1',Fourth official has announced 2 minutes of added time.,2025-10-08 05:26:07
13753,758978,47,46099896,45'+1',"Offside, Juventus Femminile. Cristiana Girelli is caught offside.",2025-10-08 05:26:07
13753,758978,48,46099900,45'+2',Attempt blocked. Cristiana Girelli (Juventus Femminile) left footed shot from the right side of the box is blocked. Assisted by Martina Lenzini.,2025-10-08 05:26:07
13753,758978,49,46099902,45'+3',"First Half ends, Juventus Femminile 1, Benfica Women 1.",2025-10-08 05:26:07
13753,758978,50,-1,45',"Second Half begins Juventus Femminile 1, Benfica Women 1.",2025-10-08 05:26:07
13753,758978,51,46099903,45',"Substitution, Benfica Women. Christy Ucheibe replaces Chandra Davidson.",2025-10-08 05:26:07
13753,758978,52,46099909,48',"Offside, Juventus Femminile. Barbara Bonansea is caught offside.",2025-10-08 05:26:07
13753,758978,53,46099911,49',Barbara Bonansea (Juventus Femminile) wins a free kick in the defensive half.,2025-10-08 05:26:07
13753,758978,54,46099911,49',Foul by Marit Lund (Benfica Women).,2025-10-08 05:26:07
13753,758978,55,46099914,49',Marit Lund (Benfica Women) is shown the yellow card for a bad foul.,2025-10-08 05:26:07
13753,758978,56,46099917,52',Attempt missed. Cristiana Girelli (Juventus Femminile) header from the centre of the box is too high. Assisted by Martina Lenzini with a cross.,2025-10-08 05:26:07
13753,758978,57,46099920,54',Caroline Møller (Benfica Women) wins a free kick in the attacking half.,2025-10-08 05:26:07
13753,758978,58,46099920,54',Foul by Tatiana Pinto (Juventus Femminile).,2025-10-08 05:26:07
13753,758978,59,46099923,56',Attempt missed. Amalie Vangsgaard (Juventus Femminile) header from the centre of the box is high and wide to the left. Assisted by Estela Carbonell with a cross.,2025-10-08 05:26:07
13753,758978,60,46099926,57',Foul by Lúcia Alves (Benfica Women).,2025-10-08 05:26:07
13753,758978,61,46099926,57',Martina Lenzini (Juventus Femminile) wins a free kick on the right wing.,2025-10-08 05:26:07
13753,758978,62,46099927,57',Lúcia Alves (Benfica Women) is shown the yellow card.,2025-10-08 05:26:07
13753,758978,63,46099931,59',"Offside, Juventus Femminile. Cristiana Girelli is caught offside.",2025-10-08 05:26:07
13753,758978,64,46099934,60',"Offside, Juventus Femminile. Cristiana Girelli is caught offside.",2025-10-08 05:26:07
13753,758978,65,46100097,61',Attempt saved. Barbara Bonansea (Juventus Femminile) left footed shot from the centre of the box is saved in the centre of the goal by Lena Pauels (Benfica Women). Assisted by Martina Lenzini.,2025-10-08 05:26:07
13753,758978,66,46100095,61',"Corner, Juventus Femminile. Conceded by Lena Pauels.",2025-10-08 05:26:07
13753,758978,67,46100100,62',Attempt missed. Barbara Bonansea (Juventus Femminile) header from the left side of the six yard box misses to the right. Assisted by Tatiana Pinto with a cross following a corner.,2025-10-08 05:26:07
13753,758978,68,46100101,62',"Substitution, Juventus Femminile. Chiara Beccari replaces Amalie Vangsgaard.",2025-10-08 05:26:07
13753,758978,69,46100102,63',"Substitution, Benfica Women. Cristina Martín-Prieto replaces Nycole Raysla.",2025-10-08 05:26:07
13753,758978,70,46100105,63',"Substitution, Benfica Women. Carissa Boeckmann replaces Beatriz Cameirão.",2025-10-08 05:26:07
13753,758978,71,-1,64',"Corner, Benfica Women. Conceded by Lia Wälti.",2025-10-08 05:26:07
13753,758978,72,46100120,64',Attempt blocked. Carole Costa (Benfica Women) header from the left side of the six yard box is blocked. Assisted by Marit Lund with a cross.,2025-10-08 05:26:07
13753,758978,73,46100121,64',Attempt blocked. Christy Ucheibe (Benfica Women) header from the centre of the box is blocked.,2025-10-08 05:26:07
13753,758978,74,-1,65',Attempt blocked. Catarina Amado (Benfica Women) left footed shot from the centre of the box is blocked.,2025-10-08 05:26:07
13753,758978,75,46100112,66',Catarina Amado (Benfica Women) wins a free kick in the defensive half.,2025-10-08 05:26:07
13753,758978,76,46100112,66',Foul by Estela Carbonell (Juventus Femminile).,2025-10-08 05:26:07
13753,758978,77,46100114,66',"Corner, Benfica Women. Conceded by Barbara Bonansea.",2025-10-08 05:26:07
13753,758978,78,46100116,67',"Attempt missed. Diana Gomes (Benfica Women) header from the centre of the box is close, but misses to the left. Assisted by Marit Lund with a cross following a corner.",2025-10-08 05:26:07
13753,758978,79,46100122,68',Foul by Marit Lund (Benfica Women).,2025-10-08 05:26:07
