seasonType,year,league,teamId,athleteId,appearances_value,subIns_value,foulsCommitted_value,foulsSuffered_value,yellowCards_value,redCards_value,ownGoals_value,goalAssists_value,offsides_value,shotsOnTarget_value,totalShots_value,totalGoals_value,shotsFaced_value,saves_value,goalsConceded_value,timestamp
13499,2025,BEL.1,17544,43199,6,4,3,1,1,0,0,0,0,2,5,1,0,0,4,2025-11-13 06:07:10
13499,2025,BEL.1,570,78836,12,2,11,6,1,0,0,3,0,4,13,2,0,0,7,2025-11-13 06:07:11
13499,2025,BEL.1,4691,99191,8,6,3,4,0,0,0,0,0,5,7,2,0,0,6,2025-11-13 06:07:14
13499,2025,BEL.1,570,99829,1,0,0,0,0,0,0,0,0,0,0,0,0,8,1,2025-11-13 06:07:11
13499,2025,BEL.1,606,122282,4,0,1,0,0,0,0,0,0,0,1,0,0,0,9,2025-11-13 06:07:12
13499,2025,BEL.1,17544,127880,5,0,0,1,0,0,0,0,0,0,0,0,0,21,7,2025-11-13 06:07:10
13499,2025,BEL.1,17544,133319,7,1,9,5,1,0,0,0,0,1,2,0,0,0,6,2025-11-13 06:07:10
13499,2025,BEL.1,936,134941,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-11-13 06:07:13
13499,2025,BEL.1,441,152749,14,0,0,4,0,0,0,0,0,0,0,0,0,31,13,2025-11-13 06:07:10
13499,2025,BEL.1,5807,157133,14,5,6,9,2,0,0,1,0,8,20,3,0,0,6,2025-11-13 06:07:14
13499,2025,BEL.1,7879,157133,6,0,5,7,1,0,0,0,0,6,12,2,0,0,6,2025-09-10 05:04:50
13499,2025,BEL.1,441,158066,12,1,17,5,3,0,0,3,0,12,31,4,0,0,12,2025-11-13 06:07:10
13499,2025,BEL.1,938,169214,10,4,5,4,0,0,0,0,0,6,17,1,0,0,7,2025-11-13 06:07:13
13499,2025,BEL.1,5807,173141,10,5,2,5,1,0,0,1,0,1,6,1,0,0,6,2025-11-13 06:07:14
13499,2025,BEL.1,17544,173150,9,1,9,8,1,1,0,0,0,1,4,0,0,0,8,2025-11-13 06:07:10
13499,2025,BEL.1,3610,177363,13,0,17,6,3,0,0,0,0,3,10,0,0,0,18,2025-11-13 06:07:10
13499,2025,BEL.1,5807,178056,8,8,6,7,0,0,0,1,0,2,7,0,0,0,3,2025-11-13 06:07:14
13499,2025,BEL.1,3611,178363,14,0,0,5,0,0,0,0,0,0,0,0,0,52,22,2025-11-13 06:07:11
13499,2025,BEL.1,5579,178857,8,4,8,5,1,1,0,0,0,0,0,0,0,0,12,2025-11-13 06:07:12
13499,2025,BEL.1,5579,180547,11,0,14,9,3,0,0,1,0,0,8,0,0,0,17,2025-11-13 06:07:12
13499,2025,BEL.1,5807,181403,12,0,15,8,2,0,0,3,0,3,10,0,0,0,8,2025-11-13 06:07:14
13499,2025,BEL.1,3610,183074,14,0,13,6,0,0,0,0,0,5,17,2,0,0,21,2025-11-13 06:07:10
13499,2025,BEL.1,3611,183074,3,0,2,2,0,0,0,0,0,1,4,0,0,0,4,2025-08-15 04:48:36
13499,2025,BEL.1,559,183094,10,1,7,12,2,0,0,0,0,5,12,1,0,0,12,2025-11-13 06:07:14
13499,2025,BEL.1,606,184824,2,1,0,0,0,0,0,0,0,0,0,0,0,0,2,2025-11-13 06:07:12
13499,2025,BEL.1,3610,185286,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,2025-11-13 06:07:10
