seasonType,year,league,teamId,athleteId,appearances_value,subIns_value,foulsCommitted_value,foulsSuffered_value,yellowCards_value,redCards_value,ownGoals_value,goalAssists_value,offsides_value,shotsOnTarget_value,totalShots_value,totalGoals_value,shotsFaced_value,saves_value,goalsConceded_value,timestamp
13281,2025,BRA.2,21888,10441,9,1,0,0,1,0,0,0,0,0,0,0,0,20,15,2025-11-13 06:02:57
13281,2025,BRA.2,9971,16562,11,11,6,8,2,0,0,0,1,4,6,0,0,0,2,2025-11-13 06:03:01
13281,2025,BRA.2,10357,20407,26,5,39,34,6,0,0,1,1,4,14,2,0,0,18,2025-11-13 06:02:59
13281,2025,BRA.2,18187,44189,2,0,0,0,1,0,0,0,0,0,0,0,0,3,1,2025-11-13 06:03:03
13281,2025,BRA.2,9318,64671,32,0,43,44,4,0,0,3,7,20,49,4,0,0,23,2025-11-13 06:03:00
13281,2025,BRA.2,10357,71784,31,13,33,49,3,0,0,5,4,14,49,2,0,0,17,2025-11-13 06:02:59
13281,2025,BRA.2,10281,77833,9,1,7,13,0,0,0,0,2,6,10,4,0,0,9,2025-11-13 06:03:00
13281,2025,BRA.2,15424,80660,5,2,2,1,0,0,0,0,2,2,3,0,0,0,5,2025-11-13 06:03:03
13281,2025,BRA.2,15424,82670,19,8,15,22,1,0,0,0,2,11,36,1,0,0,8,2025-11-13 06:03:03
13281,2025,BRA.2,9971,94225,19,10,17,8,5,0,0,1,3,0,3,0,0,0,8,2025-11-13 06:03:01
13281,2025,BRA.2,6154,95831,12,9,6,5,0,0,0,2,1,1,13,0,0,0,4,2025-11-13 06:02:58
13281,2025,BRA.2,3395,95849,15,1,29,11,1,0,0,1,0,2,9,0,0,0,17,2025-11-13 06:03:02
13281,2025,BRA.2,20851,96422,5,5,2,0,0,0,0,0,0,2,3,0,0,0,3,2025-07-10 11:27:37
13281,2025,BRA.2,20851,97972,9,4,10,3,5,0,0,0,0,4,6,2,0,0,10,2025-11-13 06:02:58
13281,2025,BRA.2,3458,98428,26,12,20,23,3,0,0,0,4,9,37,5,0,0,13,2025-11-13 06:02:58
13281,2025,BRA.2,9970,99244,3,3,1,0,1,0,0,0,0,0,2,0,0,0,0,2025-11-13 06:03:00
13281,2025,BRA.2,6154,101283,21,5,21,5,5,0,0,1,0,0,0,0,0,0,24,2025-11-13 06:02:58
13281,2025,BRA.2,9966,101504,4,4,3,0,0,0,0,0,0,0,0,0,0,0,0,2025-06-11 04:51:41
13281,2025,BRA.2,3395,105131,34,17,25,52,3,0,0,0,4,9,35,2,0,0,18,2025-11-13 06:03:02
13281,2025,BRA.2,3458,105781,16,9,4,6,1,0,0,0,0,10,17,3,0,0,9,2025-11-13 06:02:58
13281,2025,BRA.2,9973,107237,13,6,15,5,2,0,0,0,0,2,6,1,0,0,8,2025-11-13 06:03:04
13281,2025,BRA.2,9973,113761,14,7,6,9,2,0,0,0,0,0,2,0,0,0,9,2025-11-13 06:03:04
13281,2025,BRA.2,10281,119069,4,0,0,0,0,0,1,0,0,0,0,0,71,9,6,2025-11-13 06:03:00
13281,2025,BRA.2,6154,119170,31,3,28,41,2,0,0,3,16,27,66,10,0,0,29,2025-11-13 06:02:58
13281,2025,BRA.2,17313,119247,7,5,0,4,1,0,0,0,0,0,3,0,0,0,4,2025-11-13 06:03:02
13281,2025,BRA.2,3456,124025,29,2,14,9,5,1,0,1,1,2,7,1,0,0,13,2025-11-13 06:03:01
13281,2025,BRA.2,18126,124171,15,2,22,13,3,0,0,1,0,3,6,1,0,0,22,2025-11-13 06:03:02
13281,2025,BRA.2,3456,128368,32,0,64,24,9,0,0,1,1,12,45,2,0,0,20,2025-11-13 06:03:01
13281,2025,BRA.2,3395,131075,33,2,16,31,3,1,0,1,7,18,59,9,0,0,30,2025-11-13 06:03:02
13281,2025,BRA.2,9970,131075,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2025-04-14 05:14:42
13281,2025,BRA.2,9966,131532,35,0,17,43,4,0,0,6,2,18,45,4,0,0,36,2025-11-13 06:02:59
13281,2025,BRA.2,9318,134627,23,0,1,3,5,0,0,0,0,0,0,0,116,84,24,2025-11-13 06:03:00
13281,2025,BRA.2,10357,135274,14,1,20,9,3,0,0,1,0,2,10,1,0,0,10,2025-09-08 05:03:35
13281,2025,BRA.2,18126,138691,29,0,15,10,7,1,0,0,2,1,7,0,0,0,36,2025-11-13 06:03:02
13281,2025,BRA.2,9318,140012,30,0,29,69,7,0,0,9,14,16,31,2,0,0,21,2025-11-13 06:03:00
13281,2025,BRA.2,18126,142751,31,1,34,21,9,1,0,0,0,3,19,1,0,0,38,2025-11-13 06:03:02
13281,2025,BRA.2,9970,143849,22,9,20,32,1,0,0,2,2,8,30,3,0,0,13,2025-11-13 06:03:00
13281,2025,BRA.2,21888,143893,3,1,2,1,0,0,0,0,2,0,0,0,0,0,5,2025-11-13 06:02:57
13281,2025,BRA.2,9971,143962,33,0,52,16,11,0,0,0,1,5,20,0,0,0,31,2025-11-13 06:03:01
13281,2025,BRA.2,10357,144049,4,2,1,1,0,0,0,0,0,1,5,0,0,0,2,2025-11-13 06:02:59
13281,2025,BRA.2,18126,144198,19,17,17,8,3,0,0,0,2,5,13,1,0,0,5,2025-11-13 06:03:02
13281,2025,BRA.2,18126,145107,34,0,56,71,5,1,0,2,18,23,68,13,0,0,44,2025-11-13 06:03:02
13281,2025,BRA.2,6154,145146,10,6,2,2,1,0,0,0,0,0,0,0,0,0,6,2025-11-13 06:02:58
13281,2025,BRA.2,18127,145369,23,7,33,22,4,1,0,3,14,15,44,3,0,0,15,2025-11-13 06:03:03
13281,2025,BRA.2,6154,148320,5,4,1,4,0,0,0,0,1,2,4,0,0,0,3,2025-11-13 06:02:58
13281,2025,BRA.2,4936,149006,7,1,7,5,0,0,0,1,0,2,6,1,0,0,5,2025-11-13 06:03:04
13281,2025,BRA.2,3456,150215,33,1,23,90,9,0,0,5,1,21,48,6,0,0,17,2025-11-13 06:03:01
13281,2025,BRA.2,3458,153754,19,0,0,5,1,0,0,0,0,0,0,0,0,48,19,2025-11-13 06:02:58
13281,2025,BRA.2,10357,155056,13,4,9,29,3,0,0,1,2,5,19,0,0,0,5,2025-11-13 06:02:59
13281,2025,BRA.2,3456,155268,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,2025-11-13 06:03:01
13281,2025,BRA.2,10281,155344,33,8,31,37,10,0,0,1,0,13,52,3,0,0,31,2025-11-13 06:03:00
13281,2025,BRA.2,4806,155441,18,6,15,19,3,0,0,0,6,1,3,0,0,0,14,2025-11-13 06:03:04
13281,2025,BRA.2,4936,155441,15,11,10,7,2,0,0,0,1,1,3,0,0,0,9,2025-02-21 05:54:08
13281,2025,BRA.2,9973,155478,26,3,49,57,6,1,0,0,1,9,19,3,0,0,18,2025-11-13 06:03:04
13281,2025,BRA.2,21888,156001,17,8,6,4,2,0,0,3,1,6,19,0,0,0,15,2025-11-13 06:02:57
13281,2025,BRA.2,9318,157066,25,0,20,25,3,1,0,0,0,3,16,0,0,0,21,2025-11-13 06:03:00
13281,2025,BRA.2,9970,157259,24,6,13,4,2,0,0,0,0,2,10,1,0,0,23,2025-11-13 06:03:00
13281,2025,BRA.2,3456,158291,15,14,11,0,1,0,0,0,0,1,4,0,0,0,4,2025-11-13 06:03:01
13281,2025,BRA.2,9970,158453,2,2,1,0,1,0,0,0,0,0,2,0,0,0,0,2025-09-30 05:06:32
13281,2025,BRA.2,9973,158647,15,6,17,0,3,1,0,1,0,0,2,0,0,0,15,2025-11-13 06:03:04
13281,2025,BRA.2,21888,159537,4,1,4,3,0,1,0,0,0,0,0,0,0,0,2,2025-11-13 06:02:57
13281,2025,BRA.2,4806,159754,1,1,2,0,0,0,0,0,0,1,1,0,0,0,1,2025-11-13 06:03:04
13281,2025,BRA.2,9971,161871,31,3,21,41,2,0,0,1,14,20,44,8,0,0,21,2025-11-13 06:03:01
13281,2025,BRA.2,15424,161871,8,3,5,10,1,0,0,0,6,3,12,0,0,0,6,2025-06-09 05:12:46
13281,2025,BRA.2,9318,162966,3,3,2,1,1,0,0,0,0,0,1,0,0,0,0,2025-11-13 06:03:00
13281,2025,BRA.2,18187,163467,12,10,8,7,3,0,0,0,0,0,1,0,0,0,7,2025-11-13 06:03:03
13281,2025,BRA.2,3395,164162,20,11,22,5,6,0,0,0,0,3,17,1,0,0,8,2025-11-13 06:03:02
13281,2025,BRA.2,10357,164298,19,13,6,12,2,0,0,2,6,5,12,2,0,0,13,2025-11-13 06:02:59
13281,2025,BRA.2,9970,166488,28,19,15,14,4,0,0,3,12,11,33,0,0,0,15,2025-11-13 06:03:00
13281,2025,BRA.2,10357,166488,8,2,5,6,3,0,0,0,3,3,13,0,0,0,7,2025-06-11 04:51:41
13281,2025,BRA.2,3458,169078,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,2025-11-13 06:02:58
13281,2025,BRA.2,9973,169716,32,0,31,16,9,1,1,0,1,8,29,1,0,1,29,2025-11-13 06:03:04
13281,2025,BRA.2,4806,169783,3,0,1,1,2,0,0,0,4,0,4,0,0,0,2,2025-11-13 06:03:04
13281,2025,BRA.2,9973,169831,3,0,0,0,1,0,0,0,0,0,0,0,0,10,5,2025-11-13 06:03:04
13281,2025,BRA.2,3456,169863,25,7,25,37,5,0,0,3,5,7,26,3,0,0,7,2025-11-13 06:03:01
13281,2025,BRA.2,9966,169883,35,0,29,7,5,0,0,0,2,3,15,1,0,0,36,2025-11-13 06:02:59
13281,2025,BRA.2,9973,170460,11,7,7,10,2,0,0,1,2,3,7,1,0,0,6,2025-11-13 06:03:04
13281,2025,BRA.2,21888,170643,27,5,38,51,4,0,0,1,13,21,49,6,0,0,26,2025-11-13 06:02:57
13281,2025,BRA.2,9318,171811,14,1,0,1,2,0,0,0,0,0,0,0,0,37,10,2025-11-13 06:03:00
13281,2025,BRA.2,6154,172266,24,12,15,18,3,0,0,0,0,5,18,0,0,0,13,2025-11-13 06:02:58
13281,2025,BRA.2,9970,172310,21,19,5,22,4,0,0,1,0,4,32,2,0,0,6,2025-11-13 06:03:00
13281,2025,BRA.2,15424,172310,6,4,1,7,1,0,0,0,0,0,8,0,0,0,3,2025-06-05 04:45:19
13281,2025,BRA.2,18127,172879,32,0,0,8,2,0,1,0,0,0,0,0,42,114,26,2025-11-13 06:03:03
13281,2025,BRA.2,18127,173440,13,3,16,6,5,0,0,0,1,3,12,1,0,0,11,2025-11-13 06:03:03
13281,2025,BRA.2,18127,173598,17,13,5,8,2,0,0,1,4,5,11,2,0,0,2,2025-11-13 06:03:03
13281,2025,BRA.2,18187,176944,4,1,3,2,0,0,0,0,0,0,0,0,0,0,4,2025-09-12 05:04:27
13281,2025,BRA.2,4936,177364,29,2,38,33,11,0,0,0,2,3,19,1,0,0,29,2025-02-21 05:54:08
13281,2025,BRA.2,4806,179440,5,4,2,3,0,0,0,1,0,1,6,0,0,0,1,2025-06-11 04:51:47
