seasonType,year,league,teamId,athleteId,appearances_value,subIns_value,foulsCommitted_value,foulsSuffered_value,yellowCards_value,redCards_value,ownGoals_value,goalAssists_value,offsides_value,shotsOnTarget_value,totalShots_value,totalGoals_value,shotsFaced_value,saves_value,goalsConceded_value,timestamp
13812,2025,CAF.CHAMPIONS,19414,125167,5,0,0,0,1,0,0,0,0,1,1,1,0,0,2,2025-11-05 06:13:19
13812,2025,CAF.CHAMPIONS,19414,148440,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-11-05 06:13:19
13812,2025,CAF.CHAMPIONS,19414,184873,3,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2025-11-05 06:13:19
13812,2025,CAF.CHAMPIONS,19414,205526,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,2025-11-05 06:13:19
13812,2025,CAF.CHAMPIONS,19414,230089,5,5,0,0,0,0,0,0,0,0,0,0,0,0,1,2025-11-05 06:13:19
13812,2025,CAF.CHAMPIONS,19414,230425,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-11-05 06:13:19
13812,2025,CAF.CHAMPIONS,19414,230557,6,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2025-11-05 06:13:19
13812,2025,CAF.CHAMPIONS,19414,233057,6,2,0,0,0,0,0,0,0,1,1,1,0,0,2,2025-11-05 06:13:19
13812,2025,CAF.CHAMPIONS,19414,254488,6,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2025-11-05 06:13:19
13812,2025,CAF.CHAMPIONS,19414,254504,6,5,0,0,1,0,0,0,0,0,0,0,0,0,1,2025-11-05 06:13:19
13812,2025,CAF.CHAMPIONS,19414,258280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-11-05 06:13:19
13812,2025,CAF.CHAMPIONS,19414,268890,3,1,0,0,1,0,0,0,0,1,1,1,0,0,0,2025-11-05 06:13:19
13812,2025,CAF.CHAMPIONS,19414,273084,5,0,0,0,2,0,0,0,0,0,0,0,1,0,2,2025-11-05 06:13:19
13812,2025,CAF.CHAMPIONS,19414,273373,6,0,0,0,0,0,0,0,0,1,1,1,0,0,2,2025-11-05 06:13:19
13812,2025,CAF.CHAMPIONS,19414,283908,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,2025-11-05 06:13:19
13812,2025,CAF.CHAMPIONS,19414,284632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-11-05 06:13:19
13812,2025,CAF.CHAMPIONS,19414,299765,6,0,0,0,2,0,0,0,0,0,0,0,0,0,2,2025-11-05 06:13:19
13812,2025,CAF.CHAMPIONS,19414,308620,3,3,0,0,1,0,0,0,0,0,0,0,0,0,0,2025-11-05 06:13:19
13812,2025,CAF.CHAMPIONS,19414,313250,3,0,0,0,2,0,0,0,0,0,0,0,0,0,1,2025-11-05 06:13:19
13812,2025,CAF.CHAMPIONS,19414,313917,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-11-05 06:13:19
13812,2025,CAF.CHAMPIONS,19414,313919,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-11-05 06:13:19
13812,2025,CAF.CHAMPIONS,19414,318700,4,0,0,0,3,0,0,0,0,0,0,0,0,0,1,2025-11-05 06:13:19
13812,2025,CAF.CHAMPIONS,19414,320218,6,1,0,0,0,0,0,0,0,1,1,1,0,0,1,2025-11-05 06:13:19
13812,2025,CAF.CHAMPIONS,19414,335659,6,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2025-11-05 06:13:19
13812,2025,CAF.CHAMPIONS,19414,374729,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-11-05 06:13:19
13812,2025,CAF.CHAMPIONS,19414,374730,4,1,0,0,0,0,0,0,0,2,2,2,0,0,0,2025-11-05 06:13:19
13812,2025,CAF.CHAMPIONS,19414,376927,1,1,0,0,0,0,0,0,0,1,1,1,0,0,0,2025-11-05 06:13:19
13812,2025,CAF.CHAMPIONS,19414,376929,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-11-05 06:13:19
13812,2025,CAF.CHAMPIONS,19414,380838,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,2025-11-05 06:13:19
