seasonType,year,league,teamId,athleteId,appearances_value,subIns_value,foulsCommitted_value,foulsSuffered_value,yellowCards_value,redCards_value,ownGoals_value,goalAssists_value,offsides_value,shotsOnTarget_value,totalShots_value,totalGoals_value,shotsFaced_value,saves_value,goalsConceded_value,timestamp
13231,2025,CHI.1,4139,3276,18,3,13,5,2,0,0,0,0,2,5,0,0,0,11,2025-11-13 06:05:58
13231,2025,CHI.1,7427,34237,18,8,1,2,0,0,0,0,0,2,8,1,0,0,9,2025-11-13 06:05:59
13231,2025,CHI.1,4139,40376,20,10,12,7,3,0,0,3,0,21,67,7,0,0,18,2025-11-13 06:05:58
13231,2025,CHI.1,19195,47057,19,4,11,6,2,1,0,3,0,1,11,1,0,0,24,2025-11-13 06:05:55
13231,2025,CHI.1,4134,48664,13,10,3,9,1,0,0,0,0,5,7,2,0,0,2,2025-11-13 06:05:56
13231,2025,CHI.1,4129,50905,2,0,0,1,0,0,0,0,0,0,0,0,0,3,2,2025-11-13 06:05:56
13231,2025,CHI.1,885,70275,2,1,0,3,0,0,0,0,0,0,0,0,0,0,1,2025-11-13 06:05:58
13231,2025,CHI.1,10142,70398,20,2,26,28,8,0,0,3,0,14,33,3,0,0,32,2025-11-13 06:05:55
13231,2025,CHI.1,4138,72377,25,0,22,23,6,1,0,1,0,9,22,1,0,0,35,2025-11-13 06:05:53
13231,2025,CHI.1,10142,73162,9,6,4,3,1,0,0,1,0,2,8,1,0,0,9,2025-11-13 06:05:55
13231,2025,CHI.1,10144,74864,26,1,17,5,5,0,1,1,0,0,4,0,0,0,30,2025-11-13 06:05:59
13231,2025,CHI.1,4139,76778,22,1,23,24,4,1,0,4,0,8,19,5,0,0,23,2025-11-13 06:05:58
13231,2025,CHI.1,4133,77751,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2025-04-21 02:16:52
13231,2025,CHI.1,4129,82010,12,5,13,7,3,0,0,2,0,7,18,2,0,0,16,2025-07-19 04:33:53
13231,2025,CHI.1,19195,82185,2,2,1,0,1,0,0,0,0,0,0,0,0,0,1,2025-07-12 04:29:26
13231,2025,CHI.1,4138,87673,8,5,5,2,1,0,0,0,0,2,8,1,0,0,7,2025-11-13 06:05:53
13231,2025,CHI.1,6072,95242,2,1,0,0,0,0,0,0,0,0,0,0,0,3,0,2025-11-13 06:05:57
13231,2025,CHI.1,4134,96287,15,9,1,4,0,0,0,1,0,1,3,0,0,0,11,2025-11-13 06:05:56
13231,2025,CHI.1,4422,99271,27,0,1,5,4,0,0,0,0,0,0,0,0,90,27,2025-11-13 06:05:57
13231,2025,CHI.1,885,101277,23,2,48,49,7,1,0,1,0,3,17,2,0,0,17,2025-11-13 06:05:58
13231,2025,CHI.1,4139,101760,4,0,1,1,0,0,0,0,0,0,0,0,0,12,6,2025-11-13 06:05:58
13231,2025,CHI.1,4422,101764,23,1,9,15,5,0,0,0,0,2,7,1,0,0,24,2025-11-13 06:05:57
13231,2025,CHI.1,2688,102198,17,1,26,14,7,1,1,1,0,7,19,3,0,0,18,2025-11-13 06:05:54
13231,2025,CHI.1,8186,102983,25,0,20,19,7,2,1,0,0,6,13,2,0,0,12,2025-11-13 06:05:55
13231,2025,CHI.1,7427,103198,24,5,33,23,7,0,0,2,0,17,46,6,0,0,24,2025-11-13 06:05:59
13231,2025,CHI.1,19195,103425,26,2,11,10,3,0,0,0,0,2,9,1,0,0,39,2025-11-13 06:05:55
13231,2025,CHI.1,4422,106148,21,1,9,10,1,1,0,0,0,3,8,1,0,0,19,2025-11-13 06:05:57
13231,2025,CHI.1,6072,113155,7,6,4,1,1,1,0,0,0,2,7,1,0,0,1,2025-07-12 04:29:28
13231,2025,CHI.1,10144,113155,19,10,14,6,2,1,0,0,0,8,19,3,0,0,11,2025-11-13 06:05:59
13231,2025,CHI.1,2688,113574,23,1,12,8,4,0,0,0,0,2,7,1,0,0,23,2025-11-13 06:05:54
13231,2025,CHI.1,6072,116702,14,13,7,0,4,0,0,0,0,1,1,1,0,0,7,2025-11-13 06:05:57
13231,2025,CHI.1,4132,118581,10,2,14,14,3,0,0,0,0,1,7,0,0,0,15,2025-11-13 06:05:59
13231,2025,CHI.1,10142,118846,24,0,0,8,1,0,0,0,0,1,2,0,0,85,47,2025-11-13 06:05:55
13231,2025,CHI.1,4422,120602,18,4,20,11,6,0,0,2,0,7,21,0,0,0,9,2025-11-13 06:05:57
13231,2025,CHI.1,10142,120710,17,9,10,6,3,0,0,1,0,2,10,0,0,0,23,2025-11-13 06:05:55
