seasonType,year,league,teamId,athleteId,appearances_value,subIns_value,foulsCommitted_value,foulsSuffered_value,yellowCards_value,redCards_value,ownGoals_value,goalAssists_value,offsides_value,shotsOnTarget_value,totalShots_value,totalGoals_value,shotsFaced_value,saves_value,goalsConceded_value,timestamp
13779,2025,CYP.1,22281,36807,3,0,0,0,0,0,0,0,0,3,3,3,0,0,3,2025-11-13 06:05:38
13779,2025,CYP.1,8357,92108,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,2025-11-13 06:05:34
13779,2025,CYP.1,22281,98398,2,0,0,0,0,0,0,0,0,2,2,2,0,0,1,2025-11-13 06:05:38
13779,2025,CYP.1,617,119612,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,2025-11-13 06:05:38
13779,2025,CYP.1,22281,155143,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,2025-11-13 06:05:38
13779,2025,CYP.1,4039,157344,1,0,0,0,0,0,0,0,0,1,1,1,0,0,2,2025-11-13 06:05:33
13779,2025,CYP.1,617,162424,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,2025-11-13 06:05:38
13779,2025,CYP.1,4039,165184,1,0,0,0,0,0,0,0,0,1,1,1,0,0,1,2025-11-13 06:05:33
13779,2025,CYP.1,525,165218,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,2025-11-13 06:05:35
13779,2025,CYP.1,131456,166993,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,2025-11-13 06:05:36
13779,2025,CYP.1,2550,169607,1,0,0,0,0,0,0,0,0,1,1,1,0,0,1,2025-11-13 06:05:34
13779,2025,CYP.1,131456,170673,2,0,0,0,0,0,0,0,0,1,1,1,0,0,4,2025-11-13 06:05:36
13779,2025,CYP.1,4039,172866,1,0,0,0,0,0,0,0,0,1,1,1,0,0,1,2025-11-13 06:05:33
13779,2025,CYP.1,2497,179397,4,0,0,0,0,0,0,0,0,5,5,5,0,0,4,2025-11-13 06:05:35
13779,2025,CYP.1,525,180310,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,2025-11-13 06:05:35
13779,2025,CYP.1,2550,180927,2,0,0,0,0,0,0,0,0,2,2,2,0,0,1,2025-11-13 06:05:34
13779,2025,CYP.1,8357,186492,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2025-11-13 06:05:34
13779,2025,CYP.1,2550,187626,1,0,0,0,0,0,0,0,0,1,1,1,0,0,2,2025-11-13 06:05:34
13779,2025,CYP.1,2497,187890,1,0,0,0,0,0,0,0,0,1,1,1,0,0,2,2025-11-13 06:05:35
13779,2025,CYP.1,4039,187952,5,0,0,0,0,0,0,0,0,5,5,5,0,0,3,2025-11-13 06:05:33
