seasonType,year,league,teamId,athleteId,appearances_value,subIns_value,foulsCommitted_value,foulsSuffered_value,yellowCards_value,redCards_value,ownGoals_value,goalAssists_value,offsides_value,shotsOnTarget_value,totalShots_value,totalGoals_value,shotsFaced_value,saves_value,goalsConceded_value,timestamp
13450,2025,DEN.1,11550,7421,6,6,4,1,0,0,0,1,0,0,2,0,0,0,5,2025-11-13 06:05:31
13450,2025,DEN.1,7853,99920,14,0,0,1,1,0,0,0,0,0,0,0,0,45,16,2025-11-13 06:05:29
13450,2025,DEN.1,12498,107063,2,2,0,0,0,0,0,1,0,0,0,0,0,0,1,2025-11-13 06:05:32
13450,2025,DEN.1,11550,108321,3,0,0,1,0,0,0,0,0,0,0,0,0,7,8,2025-11-13 06:05:31
13450,2025,DEN.1,7853,118411,15,0,13,11,2,0,0,0,0,14,31,6,0,0,16,2025-11-13 06:05:29
13450,2025,DEN.1,12498,121314,14,0,10,6,4,0,0,0,0,2,4,0,0,0,21,2025-11-13 06:05:32
13450,2025,DEN.1,3101,129916,5,3,1,4,0,0,0,0,0,0,0,0,0,0,4,2025-09-02 05:01:40
13450,2025,DEN.1,7853,133567,15,4,9,10,1,0,0,0,0,0,3,0,0,0,12,2025-11-13 06:05:29
13450,2025,DEN.1,130912,137481,9,6,2,3,0,0,0,1,0,2,2,1,0,0,9,2025-11-13 06:05:30
13450,2025,DEN.1,3101,145645,10,0,0,3,0,0,0,0,0,0,0,0,0,35,13,2025-11-13 06:05:31
13450,2025,DEN.1,3101,146803,14,0,6,19,2,0,0,1,0,5,21,2,0,0,21,2025-11-13 06:05:31
13450,2025,DEN.1,575,146804,8,4,5,3,2,0,0,0,0,4,12,2,0,0,6,2025-11-13 06:05:30
13450,2025,DEN.1,11550,147001,12,3,4,1,1,0,0,0,0,3,9,1,0,0,23,2025-11-13 06:05:31
13450,2025,DEN.1,607,150067,15,0,0,4,0,0,0,0,0,0,0,0,0,69,29,2025-11-13 06:05:32
13450,2025,DEN.1,909,151053,12,1,10,14,1,0,0,1,0,2,15,1,0,0,15,2025-11-13 06:05:30
13450,2025,DEN.1,909,151757,8,2,10,4,1,0,0,2,0,0,4,0,0,0,8,2025-11-13 06:05:30
13450,2025,DEN.1,572,152859,4,0,0,1,0,0,0,0,0,0,0,0,0,9,6,2025-11-13 06:05:31
13450,2025,DEN.1,11550,153120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-11-13 06:05:31
13450,2025,DEN.1,575,153822,13,5,9,11,1,1,0,2,0,4,12,1,0,0,6,2025-11-13 06:05:30
13450,2025,DEN.1,3132,159494,10,0,0,1,0,0,0,0,0,0,0,0,0,40,17,2025-11-13 06:05:31
13450,2025,DEN.1,11550,159996,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,2025-11-13 06:05:31
13450,2025,DEN.1,909,162484,14,3,14,19,3,0,0,5,0,11,36,4,0,0,16,2025-11-13 06:05:30
13450,2025,DEN.1,909,172864,14,5,11,7,0,0,0,0,0,5,18,3,0,0,11,2025-11-13 06:05:30
13450,2025,DEN.1,572,176497,14,6,13,9,2,0,0,0,0,1,1,0,0,0,10,2025-11-13 06:05:31
13450,2025,DEN.1,909,176668,9,7,4,3,1,0,0,0,0,1,7,0,0,0,5,2025-11-13 06:05:30
13450,2025,DEN.1,3132,178241,11,4,11,8,1,0,0,0,0,0,5,0,0,0,7,2025-11-13 06:05:31
13450,2025,DEN.1,3132,178351,5,0,0,0,1,0,0,0,0,0,0,0,0,11,5,2025-11-13 06:05:31
13450,2025,DEN.1,3132,182080,15,0,9,9,4,0,0,0,0,4,6,2,0,0,19,2025-11-13 06:05:31
13450,2025,DEN.1,3132,185926,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-11-13 06:05:31
13450,2025,DEN.1,8118,186179,15,0,2,12,1,0,0,3,0,1,5,0,0,0,22,2025-11-13 06:05:32
13450,2025,DEN.1,909,186491,15,3,24,12,3,0,0,1,0,1,11,1,0,0,16,2025-11-13 06:05:30
13450,2025,DEN.1,575,189653,11,0,11,8,1,0,0,2,0,1,13,0,0,0,10,2025-11-13 06:05:30
13450,2025,DEN.1,7853,191167,14,0,21,13,2,0,0,2,0,2,10,1,0,0,13,2025-11-13 06:05:29
13450,2025,DEN.1,909,192115,9,5,8,2,1,0,0,0,0,0,1,0,0,0,6,2025-11-13 06:05:30
13450,2025,DEN.1,572,192660,9,0,14,6,2,0,0,1,0,2,12,1,0,0,4,2025-11-13 06:05:31
13450,2025,DEN.1,607,192926,8,6,5,2,1,0,0,0,0,0,2,0,0,0,6,2025-11-13 06:05:32
13450,2025,DEN.1,909,193621,3,0,3,3,0,0,0,0,0,0,2,0,0,0,8,2025-08-07 04:45:57
13450,2025,DEN.1,11550,193621,12,0,12,14,1,0,0,3,0,0,9,0,0,0,32,2025-11-13 06:05:31
13450,2025,DEN.1,11550,194215,7,0,0,0,0,0,0,0,0,0,0,0,0,13,16,2025-11-13 06:05:31
13450,2025,DEN.1,575,196192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-11-13 06:05:30
13450,2025,DEN.1,12498,199274,12,1,6,3,0,0,0,1,0,2,12,0,0,0,18,2025-11-13 06:05:32
13450,2025,DEN.1,909,199330,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-11-13 06:05:30
13450,2025,DEN.1,3101,202681,7,0,6,13,2,0,0,0,0,7,19,3,0,0,10,2025-11-13 06:05:31
13450,2025,DEN.1,3132,206150,15,0,9,13,0,0,1,0,0,3,6,0,0,0,22,2025-11-13 06:05:31
13450,2025,DEN.1,607,206211,15,0,2,5,0,0,0,0,0,5,18,2,0,0,29,2025-11-13 06:05:32
13450,2025,DEN.1,909,206530,15,4,7,15,0,0,0,2,0,13,32,4,0,0,18,2025-11-13 06:05:30
13450,2025,DEN.1,12498,206865,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-11-13 06:05:32
13450,2025,DEN.1,11550,207430,15,0,9,5,1,0,0,0,0,7,12,1,0,0,29,2025-11-13 06:05:31
13450,2025,DEN.1,12498,213491,12,0,9,9,2,0,0,2,0,4,24,2,0,0,19,2025-11-13 06:05:32
13450,2025,DEN.1,11550,214527,15,0,21,6,0,0,0,0,0,5,11,2,0,0,36,2025-11-13 06:05:31
13450,2025,DEN.1,575,216288,14,7,9,8,1,0,0,1,0,4,16,2,0,0,11,2025-11-13 06:05:30
13450,2025,DEN.1,572,216579,7,1,8,3,2,0,0,0,0,0,3,0,0,0,5,2025-11-13 06:05:31
