seasonType,year,league,teamId,athleteId,appearances_value,subIns_value,foulsCommitted_value,foulsSuffered_value,yellowCards_value,redCards_value,ownGoals_value,goalAssists_value,offsides_value,shotsOnTarget_value,totalShots_value,totalGoals_value,shotsFaced_value,saves_value,goalsConceded_value,timestamp
13214,2025,ECU.1,6017,3275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-09-29 05:16:14
13214,2025,ECU.1,882,24110,7,4,4,7,0,0,0,1,0,0,2,0,0,0,13,2025-09-29 05:16:16
13214,2025,ECU.1,882,32687,13,6,10,2,1,0,0,2,0,7,18,1,0,0,12,2025-06-08 05:06:05
13214,2025,ECU.1,2668,32687,25,11,14,10,2,0,0,3,0,11,28,4,0,0,19,2025-09-29 05:16:16
13214,2025,ECU.1,882,34150,15,6,12,19,2,0,0,1,0,9,22,2,0,0,17,2025-09-29 05:16:16
13214,2025,ECU.1,20695,68426,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-07-22 04:34:30
13214,2025,ECU.1,18439,70683,17,0,2,7,5,1,0,0,0,0,0,0,0,51,17,2025-09-29 05:16:17
13214,2025,ECU.1,2686,74966,9,2,5,7,0,0,0,0,0,0,4,0,0,0,7,2025-09-29 05:16:14
13214,2025,ECU.1,1011,75703,9,0,4,6,3,0,0,0,0,1,2,0,0,0,9,2025-06-18 04:53:53
13214,2025,ECU.1,2668,75703,17,0,12,13,4,0,0,0,0,3,6,0,0,0,20,2025-09-29 05:16:16
13214,2025,ECU.1,17086,77319,6,2,8,1,0,0,0,0,0,1,2,0,0,0,5,2025-09-29 05:16:16
13214,2025,ECU.1,18439,77969,11,3,6,7,0,0,0,0,0,7,28,0,0,0,6,2025-09-29 05:16:17
13214,2025,ECU.1,9292,78158,23,11,19,14,3,0,0,3,0,11,34,3,0,0,17,2025-09-29 05:16:19
13214,2025,ECU.1,4816,82355,26,6,30,29,1,0,0,2,0,5,13,3,0,0,15,2025-09-29 05:16:17
13214,2025,ECU.1,2668,82650,20,12,21,9,5,0,0,0,0,6,15,4,0,0,13,2025-09-29 05:16:16
13214,2025,ECU.1,20695,83910,1,0,1,1,0,0,0,0,0,0,1,0,0,0,1,2025-09-29 05:16:18
13214,2025,ECU.1,4816,95614,18,1,0,3,1,0,0,0,0,0,0,0,0,36,19,2025-09-29 05:16:17
13214,2025,ECU.1,20695,95831,2,2,1,0,0,0,0,0,0,1,1,0,0,0,0,2025-09-29 05:16:18
13214,2025,ECU.1,20695,96165,17,0,16,12,5,0,0,0,0,2,5,1,0,0,17,2025-09-29 05:16:18
13214,2025,ECU.1,9292,96862,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-06-18 04:53:59
