seasonType,year,league,teamId,athleteId,appearances_value,subIns_value,foulsCommitted_value,foulsSuffered_value,yellowCards_value,redCards_value,ownGoals_value,goalAssists_value,offsides_value,shotsOnTarget_value,totalShots_value,totalGoals_value,shotsFaced_value,saves_value,goalsConceded_value,timestamp
13561,2025,ESP.1,3751,3368,11,4,8,16,0,0,0,0,2,7,19,4,0,0,11,2025-11-13 06:04:02
13561,2025,ESP.1,1538,3731,12,3,9,16,1,0,0,1,0,5,10,2,0,0,19,2025-11-13 06:04:04
13561,2025,ESP.1,84,11719,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-11-13 06:04:04
13561,2025,ESP.1,94,16340,12,3,14,7,2,0,0,2,1,3,10,0,0,0,10,2025-11-13 06:04:06
13561,2025,ESP.1,9812,30377,11,1,13,4,1,0,0,0,1,2,6,0,0,0,17,2025-11-13 06:04:03
13561,2025,ESP.1,84,32501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-11-13 06:04:04
13561,2025,ESP.1,92,40202,7,6,1,5,0,0,0,0,0,0,0,0,0,0,3,2025-11-13 06:04:05
13561,2025,ESP.1,101,66410,4,4,1,2,2,0,0,0,0,1,1,0,0,0,1,2025-11-13 06:04:04
13561,2025,ESP.1,244,70224,9,4,5,6,0,0,0,1,0,2,9,0,0,0,5,2025-11-13 06:04:05
13561,2025,ESP.1,3751,74630,9,4,11,8,2,0,0,0,1,2,9,1,0,0,5,2025-11-13 06:04:02
13561,2025,ESP.1,1068,76017,9,2,13,13,2,0,0,0,2,7,17,1,0,0,4,2025-11-13 06:04:01
13561,2025,ESP.1,94,76884,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-11-13 06:04:06
13561,2025,ESP.1,86,84349,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-11-13 06:04:05
13561,2025,ESP.1,94,84349,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-09-02 05:06:40
13561,2025,ESP.1,86,87297,7,6,0,2,0,0,0,0,0,1,1,0,0,0,1,2025-11-13 06:04:05
13561,2025,ESP.1,243,92055,7,4,2,7,0,0,0,1,5,2,5,2,0,0,8,2025-11-13 06:04:06
13561,2025,ESP.1,85,92800,10,6,2,3,1,0,0,1,0,4,11,1,0,0,5,2025-11-13 06:04:02
13561,2025,ESP.1,243,96060,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-11-13 06:04:06
