seasonType,year,league,teamId,athleteId,appearances_value,subIns_value,foulsCommitted_value,foulsSuffered_value,yellowCards_value,redCards_value,ownGoals_value,goalAssists_value,offsides_value,shotsOnTarget_value,totalShots_value,totalGoals_value,shotsFaced_value,saves_value,goalsConceded_value,timestamp
13447,2025,ITA.1,111,24412,2,2,0,0,0,0,0,0,0,1,2,1,0,0,1,2025-11-13 06:06:41
13447,2025,ITA.1,3956,41970,2,0,1,1,0,0,0,0,0,0,0,0,0,0,1,2025-11-13 06:06:42
13447,2025,ITA.1,107,68070,4,2,1,1,0,0,0,0,0,0,0,0,0,0,2,2025-11-13 06:06:39
13447,2025,ITA.1,111,76017,2,2,0,3,0,0,0,0,0,0,2,0,0,0,0,2025-11-04 06:05:19
13447,2025,ITA.1,103,76762,11,0,3,12,2,0,0,2,0,4,8,1,0,0,9,2025-11-13 06:06:38
13447,2025,ITA.1,105,89216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-11-13 06:06:38
13447,2025,ITA.1,110,91873,1,1,0,0,0,0,0,0,1,0,0,0,0,0,2,2025-11-13 06:06:41
13447,2025,ITA.1,110,93197,9,0,0,1,0,0,0,0,0,0,0,0,0,21,11,2025-11-13 06:06:41
13447,2025,ITA.1,118,93816,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-11-13 06:06:43
13447,2025,ITA.1,118,99909,5,0,3,3,0,0,0,0,1,1,3,1,0,0,8,2025-11-13 06:06:43
13447,2025,ITA.1,109,102337,10,8,2,5,1,0,0,0,0,1,4,0,0,0,5,2025-11-13 06:06:40
13447,2025,ITA.1,2925,107960,11,1,9,3,2,0,0,0,0,0,11,0,0,0,10,2025-11-13 06:06:39
13447,2025,ITA.1,109,108482,11,0,0,3,0,0,0,0,0,0,0,0,0,36,18,2025-11-13 06:06:40
13447,2025,ITA.1,112,114032,11,9,2,11,1,0,0,1,0,1,8,0,0,0,4,2025-11-13 06:06:41
13447,2025,ITA.1,2572,115025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-11-13 06:06:39
13447,2025,ITA.1,115,116477,9,9,2,1,0,0,0,0,0,0,3,0,0,0,2,2025-11-13 06:06:42
