seasonType,year,league,teamId,athleteId,appearances_value,subIns_value,foulsCommitted_value,foulsSuffered_value,yellowCards_value,redCards_value,ownGoals_value,goalAssists_value,offsides_value,shotsOnTarget_value,totalShots_value,totalGoals_value,shotsFaced_value,saves_value,goalsConceded_value,timestamp
13486,2025,NED.2,5291,4804,6,2,2,4,0,0,0,0,0,1,3,0,0,0,7,2025-11-13 06:05:22
13486,2025,NED.2,3730,26792,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-11-13 06:05:26
13486,2025,NED.2,149,93650,15,0,5,6,0,0,0,2,0,0,4,0,0,0,21,2025-11-13 06:05:27
13486,2025,NED.2,155,105351,9,5,2,4,0,0,0,0,0,1,5,1,0,0,8,2025-11-13 06:05:26
13486,2025,NED.2,154,124933,11,0,8,23,5,0,0,2,0,3,14,2,0,0,17,2025-11-13 06:05:28
13486,2025,NED.2,271,130516,11,2,8,6,2,0,0,2,0,4,8,0,0,0,13,2025-11-13 06:05:23
13486,2025,NED.2,271,132001,14,0,11,5,2,1,0,0,0,3,6,1,0,0,22,2025-11-13 06:05:23
13486,2025,NED.2,4426,137782,2,1,0,1,0,0,0,0,0,0,0,0,0,2,0,2025-11-13 06:05:23
13486,2025,NED.2,18748,150166,2,0,1,0,1,0,0,0,0,0,0,0,0,5,4,2025-11-13 06:05:24
13486,2025,NED.2,3732,151071,2,2,1,0,0,0,0,0,0,0,0,0,0,0,1,2025-11-13 06:05:24
13486,2025,NED.2,3732,151077,5,5,1,1,1,0,0,0,0,0,1,0,0,0,3,2025-11-13 06:05:24
13486,2025,NED.2,3732,151834,15,0,21,27,1,0,0,1,0,9,20,3,0,0,30,2025-11-13 06:05:24
13486,2025,NED.2,3731,152795,14,6,7,10,3,0,0,1,0,5,13,1,0,0,12,2025-11-13 06:05:28
13486,2025,NED.2,3730,156173,11,3,10,17,1,0,0,0,0,7,18,1,0,0,16,2025-11-13 06:05:26
13486,2025,NED.2,2726,164263,11,4,7,6,0,0,0,5,0,6,14,4,0,0,4,2025-11-13 06:05:22
13486,2025,NED.2,149,168317,9,5,4,4,0,0,0,0,0,5,17,2,0,0,7,2025-11-13 06:05:27
13486,2025,NED.2,3775,168540,15,0,27,27,4,0,0,0,0,2,9,1,0,0,22,2025-11-13 06:05:24
13486,2025,NED.2,3728,170275,11,2,4,9,1,0,0,2,0,4,10,0,0,0,11,2025-11-13 06:05:27
13486,2025,NED.2,3731,174442,10,2,5,12,0,0,0,1,0,5,11,1,0,0,14,2025-11-13 06:05:28
13486,2025,NED.2,18278,177022,1,0,0,0,0,0,0,0,0,0,0,0,0,5,3,2025-11-13 06:05:25
13486,2025,NED.2,3736,177029,15,0,10,89,3,0,0,7,0,19,38,3,0,0,18,2025-11-13 06:05:27
13486,2025,NED.2,149,177033,15,0,21,28,0,0,0,1,0,21,35,8,0,0,17,2025-11-13 06:05:27
13486,2025,NED.2,4426,178975,11,0,16,6,3,0,0,0,0,2,5,1,0,0,15,2025-11-13 06:05:23
13486,2025,NED.2,156,188221,15,0,0,2,0,0,0,0,0,0,0,0,0,72,24,2025-11-13 06:05:29
13486,2025,NED.2,3728,191331,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-11-13 06:05:27
13486,2025,NED.2,3728,192714,15,0,0,1,1,0,0,0,0,0,0,0,0,60,28,2025-11-13 06:05:27
13486,2025,NED.2,156,195865,10,6,10,6,3,0,0,0,0,6,15,5,0,0,6,2025-11-13 06:05:29
13486,2025,NED.2,271,195965,14,0,12,16,2,0,0,1,0,3,4,2,0,0,26,2025-11-13 06:05:23
13486,2025,NED.2,156,201154,11,3,5,8,2,0,0,0,0,11,25,1,0,0,8,2025-11-13 06:05:29
13486,2025,NED.2,3732,204771,15,0,12,18,2,0,0,0,0,1,10,0,0,0,30,2025-11-13 06:05:24
13486,2025,NED.2,3736,207632,11,5,13,9,1,0,0,1,0,3,11,2,0,0,10,2025-11-13 06:05:27
13486,2025,NED.2,155,212346,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-11-13 06:05:26
13486,2025,NED.2,149,214533,12,0,8,5,2,0,0,1,0,0,3,0,0,0,14,2025-11-13 06:05:27
13486,2025,NED.2,3730,214646,15,0,19,21,1,0,0,2,0,0,7,0,0,0,25,2025-11-13 06:05:26
13486,2025,NED.2,156,215171,5,1,1,3,0,0,0,0,0,0,3,0,0,0,7,2025-11-13 06:05:29
13486,2025,NED.2,5291,217119,2,2,1,0,0,0,0,0,0,1,2,0,0,0,0,2025-08-26 05:01:06
13486,2025,NED.2,3731,218945,6,3,8,0,0,0,0,0,0,1,6,0,0,0,4,2025-11-13 06:05:28
13486,2025,NED.2,155,223765,15,3,13,13,3,0,0,0,0,8,21,3,0,0,17,2025-11-13 06:05:26
13486,2025,NED.2,3732,224262,15,0,8,6,4,0,0,0,0,9,24,2,0,0,22,2025-11-13 06:05:24
13486,2025,NED.2,3707,227275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-11-13 06:05:24
13486,2025,NED.2,156,227279,15,0,7,5,0,0,0,10,0,5,16,1,0,0,22,2025-11-13 06:05:29
13486,2025,NED.2,3775,228433,15,0,18,13,2,0,0,2,0,10,31,3,0,0,21,2025-11-13 06:05:24
13486,2025,NED.2,3775,228724,13,4,12,10,2,0,0,0,0,9,23,6,0,0,11,2025-11-13 06:05:24
13486,2025,NED.2,156,232390,11,3,3,5,1,0,0,0,0,2,7,0,0,0,15,2025-11-13 06:05:29
13486,2025,NED.2,144,234334,8,0,3,9,0,0,0,0,0,2,7,0,0,0,11,2025-11-13 06:05:22
13486,2025,NED.2,156,234375,15,0,15,5,3,0,0,1,0,1,3,1,0,0,24,2025-11-13 06:05:29
13486,2025,NED.2,2726,238716,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-11-13 06:05:22
13486,2025,NED.2,3732,238762,12,0,0,2,0,0,1,0,0,0,0,0,0,56,16,2025-11-13 06:05:24
13486,2025,NED.2,156,238796,3,0,6,2,0,0,0,0,0,0,0,0,0,0,6,2025-09-11 05:06:33
13486,2025,NED.2,149,238805,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,2025-11-13 06:05:27
13486,2025,NED.2,154,239612,13,1,19,23,3,0,0,1,0,8,11,5,0,0,21,2025-11-13 06:05:28
13486,2025,NED.2,144,241019,14,0,11,18,3,0,0,1,0,23,57,7,0,0,20,2025-11-13 06:05:22
13486,2025,NED.2,3732,241053,11,4,4,9,1,0,0,0,0,1,7,1,0,0,12,2025-11-13 06:05:24
13486,2025,NED.2,4426,241061,15,5,14,9,4,0,0,3,0,7,29,1,0,0,10,2025-11-13 06:05:23
13486,2025,NED.2,154,241391,6,6,1,1,0,0,0,1,0,0,0,0,0,0,3,2025-11-13 06:05:28
13486,2025,NED.2,5291,241393,8,3,3,8,1,0,0,1,0,6,14,3,0,0,7,2025-11-13 06:05:22
13486,2025,NED.2,154,248697,13,1,25,34,3,0,0,2,0,6,14,2,0,0,19,2025-11-13 06:05:28
13486,2025,NED.2,3775,249109,14,2,13,4,2,0,0,2,0,2,9,0,0,0,17,2025-11-13 06:05:24
13486,2025,NED.2,3775,254312,15,0,0,2,1,0,0,0,0,0,0,0,0,34,22,2025-11-13 06:05:24
13486,2025,NED.2,3707,258969,14,1,13,15,0,0,0,0,0,5,8,1,0,0,21,2025-11-13 06:05:24
13486,2025,NED.2,3707,259129,11,11,7,1,0,0,0,1,0,2,8,0,0,0,6,2025-11-13 06:05:24
13486,2025,NED.2,3736,259186,15,9,9,7,3,0,0,0,0,3,5,1,0,0,9,2025-11-13 06:05:27
13486,2025,NED.2,4426,261333,15,9,8,3,3,0,0,1,0,7,18,0,0,0,9,2025-11-13 06:05:23
13486,2025,NED.2,3775,261364,9,3,9,5,1,0,0,1,0,1,5,0,0,0,10,2025-11-13 06:05:24
13486,2025,NED.2,5291,261597,8,1,6,5,1,0,0,1,0,1,6,1,0,0,6,2025-11-13 06:05:22
13486,2025,NED.2,5291,261608,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2025-11-13 06:05:22
13486,2025,NED.2,3731,262109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-11-13 06:05:28
13486,2025,NED.2,271,262738,14,1,13,36,2,0,0,2,0,6,13,2,0,0,25,2025-11-13 06:05:23
13486,2025,NED.2,155,264242,9,3,3,7,0,0,0,2,0,0,4,0,0,0,10,2025-11-13 06:05:26
13486,2025,NED.2,154,264243,11,1,17,18,2,0,0,0,0,2,4,0,0,0,12,2025-11-13 06:05:28
13486,2025,NED.2,155,265612,15,0,0,3,0,0,0,0,0,0,0,0,0,39,26,2025-11-13 06:05:26
13486,2025,NED.2,3775,268430,14,10,13,6,1,0,0,1,0,3,13,1,0,0,13,2025-11-13 06:05:24
13486,2025,NED.2,149,268847,15,0,26,36,3,0,0,1,0,16,28,6,0,0,19,2025-11-13 06:05:27
13486,2025,NED.2,3728,269090,15,0,12,16,4,0,0,1,0,2,7,1,0,0,27,2025-11-13 06:05:27
13486,2025,NED.2,149,269930,4,1,2,1,1,0,0,0,0,2,4,0,0,0,3,2025-11-13 06:05:27
