seasonType,year,league,teamId,athleteId,appearances_value,subIns_value,foulsCommitted_value,foulsSuffered_value,yellowCards_value,redCards_value,ownGoals_value,goalAssists_value,offsides_value,shotsOnTarget_value,totalShots_value,totalGoals_value,shotsFaced_value,saves_value,goalsConceded_value,timestamp
13655,2025,RSA.1,7079,22004,8,0,0,0,0,0,0,0,0,0,0,0,0,28,4,2025-11-13 06:06:21
13655,2025,RSA.1,18615,66450,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-11-13 06:06:26
13655,2025,RSA.1,7084,89834,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-11-13 06:06:24
13655,2025,RSA.1,19000,92896,3,1,4,0,0,0,0,0,0,0,0,0,0,0,5,2025-11-13 06:06:24
13655,2025,RSA.1,7077,108527,8,1,9,8,1,0,0,0,0,1,6,0,0,0,8,2025-11-13 06:06:23
13655,2025,RSA.1,20814,111946,11,2,9,9,3,0,0,1,0,9,20,6,0,0,5,2025-11-13 06:06:26
13655,2025,RSA.1,13317,120123,12,0,0,8,1,0,0,0,0,0,0,0,0,39,15,2025-11-13 06:06:24
13655,2025,RSA.1,22348,129306,12,0,0,3,0,0,0,0,0,0,0,0,0,23,9,2025-11-13 06:06:22
13655,2025,RSA.1,22348,129564,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-11-13 06:06:22
13655,2025,RSA.1,7077,139425,7,2,8,5,2,0,0,0,0,1,2,0,0,0,8,2025-11-13 06:06:23
13655,2025,RSA.1,131361,151866,8,6,1,2,0,0,0,0,0,2,3,0,0,0,3,2025-11-13 06:06:26
13655,2025,RSA.1,7077,151870,4,3,2,0,1,0,0,0,0,0,1,0,0,0,1,2025-11-13 06:06:23
13655,2025,RSA.1,131361,152207,3,0,4,0,0,0,0,0,0,0,0,0,0,0,4,2025-11-13 06:06:26
13655,2025,RSA.1,7084,155179,4,0,3,1,0,0,0,0,0,0,1,0,0,0,2,2025-11-13 06:06:24
13655,2025,RSA.1,7084,157046,3,2,1,0,0,0,0,0,0,1,2,0,0,0,1,2025-11-13 06:06:24
13655,2025,RSA.1,13317,164877,4,2,3,1,0,1,0,0,0,0,0,0,0,0,2,2025-11-13 06:06:24
13655,2025,RSA.1,13317,165059,11,1,19,12,3,0,0,0,0,1,4,0,0,0,11,2025-11-13 06:06:24
13655,2025,RSA.1,20814,165135,9,7,2,5,0,0,0,0,0,0,1,0,0,0,2,2025-11-13 06:06:26
13655,2025,RSA.1,13317,167023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-11-13 06:06:24
13655,2025,RSA.1,11913,167041,3,2,0,0,0,0,0,0,0,0,3,0,0,0,0,2025-11-13 06:06:22
13655,2025,RSA.1,7084,172748,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-11-13 06:06:24
13655,2025,RSA.1,20814,177844,7,1,1,5,0,0,0,0,0,0,2,0,0,0,2,2025-11-13 06:06:26
13655,2025,RSA.1,7079,177890,5,3,4,0,0,0,0,0,0,0,1,0,0,0,3,2025-11-13 06:06:21
13655,2025,RSA.1,7084,177921,6,2,4,3,0,0,0,1,0,0,0,0,0,0,1,2025-11-13 06:06:24
13655,2025,RSA.1,7085,181252,2,1,2,4,0,0,0,0,0,0,0,0,0,0,0,2025-11-13 06:06:25
13655,2025,RSA.1,18825,185268,12,4,28,12,5,0,0,0,0,12,20,4,0,0,8,2025-11-13 06:06:25
13655,2025,RSA.1,7081,186119,11,0,0,2,1,0,0,0,0,0,0,0,0,19,6,2025-11-13 06:06:23
13655,2025,RSA.1,131361,186121,11,0,0,4,1,0,0,0,0,0,0,0,0,26,8,2025-11-13 06:06:26
13655,2025,RSA.1,7079,187618,3,0,0,1,0,0,0,0,0,0,0,0,0,1,5,2025-11-13 06:06:21
13655,2025,RSA.1,7099,191528,7,7,9,9,0,0,0,2,0,2,9,1,0,0,3,2025-11-13 06:06:25
13655,2025,RSA.1,18615,194737,12,3,13,10,1,0,0,1,0,3,10,2,0,0,11,2025-11-13 06:06:26
13655,2025,RSA.1,7084,196230,12,0,0,3,0,0,0,0,0,0,0,0,0,20,6,2025-11-13 06:06:24
