seasonType,year,league,teamId,athleteId,appearances_value,subIns_value,foulsCommitted_value,foulsSuffered_value,yellowCards_value,redCards_value,ownGoals_value,goalAssists_value,offsides_value,shotsOnTarget_value,totalShots_value,totalGoals_value,shotsFaced_value,saves_value,goalsConceded_value,timestamp
13269,2025,UEFA.EURO_U21_QUAL,20922,12117,6,0,5,4,2,0,0,0,0,0,1,0,0,0,7,2025-11-13 06:02:16
13269,2025,UEFA.EURO_U21_QUAL,20941,20016,3,0,1,1,1,0,0,0,0,1,1,0,0,0,2,2025-11-11 06:03:38
13269,2025,UEFA.EURO_U21_QUAL,4365,22967,3,0,0,0,1,0,0,0,0,0,0,0,0,0,5,2025-11-13 06:02:31
13269,2025,UEFA.EURO_U21_QUAL,20928,25264,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,2025-11-13 06:02:18
13269,2025,UEFA.EURO_U21_QUAL,20927,26725,3,1,0,0,0,0,0,0,0,0,0,0,0,0,7,2025-11-13 06:02:19
13269,2025,UEFA.EURO_U21_QUAL,20923,28761,3,1,0,0,1,0,0,1,0,0,0,0,0,0,8,2025-11-11 06:03:43
13269,2025,UEFA.EURO_U21_QUAL,20929,32855,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,2025-11-13 06:02:23
13269,2025,UEFA.EURO_U21_QUAL,20928,33249,3,0,0,0,0,0,0,0,0,1,1,3,0,0,1,2025-11-13 06:02:18
13269,2025,UEFA.EURO_U21_QUAL,20922,35915,6,0,5,3,2,0,0,0,0,0,0,0,0,0,9,2025-11-13 06:02:16
13269,2025,UEFA.EURO_U21_QUAL,19213,40299,4,0,0,0,2,0,0,0,0,0,0,1,0,0,5,2025-11-13 06:02:30
13269,2025,UEFA.EURO_U21_QUAL,18415,45298,2,1,0,0,0,0,0,0,0,1,1,1,0,0,1,2025-11-11 06:03:40
13269,2025,UEFA.EURO_U21_QUAL,4371,74630,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2025-11-13 06:02:31
13269,2025,UEFA.EURO_U21_QUAL,11692,78836,4,3,0,0,0,0,0,3,0,1,1,1,0,0,0,2025-11-13 06:02:28
13269,2025,UEFA.EURO_U21_QUAL,20931,82754,4,0,3,2,1,0,0,0,0,0,2,0,0,0,6,2025-11-13 06:02:26
13269,2025,UEFA.EURO_U21_QUAL,4371,87297,3,0,0,0,0,0,0,1,0,0,0,1,0,0,2,2025-11-13 06:02:31
13269,2025,UEFA.EURO_U21_QUAL,19213,103404,4,0,0,0,0,0,0,2,0,0,0,1,0,0,7,2025-11-13 06:02:30
13269,2025,UEFA.EURO_U21_QUAL,20932,119532,3,0,0,0,0,0,0,0,0,0,0,1,0,0,4,2025-11-13 06:02:26
13269,2025,UEFA.EURO_U21_QUAL,20941,126291,3,2,0,0,0,0,0,0,0,0,0,0,0,0,2,2025-11-13 06:02:27
13269,2025,UEFA.EURO_U21_QUAL,20943,131731,3,1,0,0,1,0,0,0,0,0,0,0,0,0,15,2025-11-13 06:02:29
13269,2025,UEFA.EURO_U21_QUAL,20937,189514,4,0,1,0,1,0,0,1,0,0,0,0,0,0,11,2025-11-13 06:02:16
13269,2025,UEFA.EURO_U21_QUAL,4257,190599,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-11-13 06:02:31
13269,2025,UEFA.EURO_U21_QUAL,4371,192146,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-11-13 06:02:31
13269,2025,UEFA.EURO_U21_QUAL,20933,194328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-10-17 05:14:07
13269,2025,UEFA.EURO_U21_QUAL,20943,221236,3,1,0,0,0,0,0,0,0,0,0,0,0,0,9,2025-11-13 06:02:29
13269,2025,UEFA.EURO_U21_QUAL,19213,227438,2,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2025-10-07 05:18:57
13269,2025,UEFA.EURO_U21_QUAL,20941,229578,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-11-13 06:02:27
13269,2025,UEFA.EURO_U21_QUAL,20924,235586,2,0,0,0,0,0,0,0,0,1,1,1,0,0,5,2025-10-07 05:18:49
13269,2025,UEFA.EURO_U21_QUAL,19208,238638,2,1,0,0,0,0,0,1,0,0,0,0,0,0,1,2025-11-13 06:02:32
13269,2025,UEFA.EURO_U21_QUAL,4150,273628,3,2,1,1,0,0,0,0,0,1,1,0,0,0,0,2025-11-13 06:02:20
13269,2025,UEFA.EURO_U21_QUAL,20939,274309,3,1,0,0,1,0,0,0,0,0,0,0,0,0,7,2025-11-13 06:02:26
13269,2025,UEFA.EURO_U21_QUAL,20930,278477,2,0,2,4,1,0,0,0,0,0,0,0,0,0,3,2025-11-13 06:02:24
13269,2025,UEFA.EURO_U21_QUAL,20935,286066,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-08-20 04:54:22
13269,2025,UEFA.EURO_U21_QUAL,19208,289998,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-11-12 06:02:51
13269,2025,UEFA.EURO_U21_QUAL,20941,291432,3,0,2,2,2,0,0,0,0,0,0,0,0,0,3,2025-11-13 06:02:27
13269,2025,UEFA.EURO_U21_QUAL,4150,292004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-10-17 05:14:05
13269,2025,UEFA.EURO_U21_QUAL,20943,292927,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,2025-11-13 06:02:29
13269,2025,UEFA.EURO_U21_QUAL,4371,304217,3,0,0,0,0,0,0,0,0,1,1,1,0,0,2,2025-11-13 06:02:31
13269,2025,UEFA.EURO_U21_QUAL,20929,304317,1,0,0,0,0,0,0,0,0,2,2,2,0,0,0,2025-11-13 06:02:23
13269,2025,UEFA.EURO_U21_QUAL,4282,305196,4,1,0,0,0,0,0,0,0,0,0,0,0,0,3,2025-11-13 06:02:23
13269,2025,UEFA.EURO_U21_QUAL,18413,305287,3,1,0,2,1,0,0,0,0,0,0,0,0,0,3,2025-11-13 06:02:27
13269,2025,UEFA.EURO_U21_QUAL,4282,305474,4,1,0,0,0,0,0,1,0,0,0,1,0,0,4,2025-11-13 06:02:23
13269,2025,UEFA.EURO_U21_QUAL,19349,305789,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,2025-11-13 06:02:29
13269,2025,UEFA.EURO_U21_QUAL,20944,305836,5,0,0,0,0,0,0,1,0,2,2,2,0,0,11,2025-11-13 06:02:21
13269,2025,UEFA.EURO_U21_QUAL,20924,305934,4,0,0,0,0,0,0,0,0,0,0,0,0,0,27,2025-11-13 06:02:22
13269,2025,UEFA.EURO_U21_QUAL,19349,306058,2,2,0,0,0,0,0,1,0,0,0,0,0,0,0,2025-11-13 06:02:29
13269,2025,UEFA.EURO_U21_QUAL,11627,306161,1,0,0,2,0,0,0,0,0,0,0,0,0,0,2,2025-11-13 06:02:27
13269,2025,UEFA.EURO_U21_QUAL,4282,306206,4,0,0,0,0,0,0,1,0,0,0,0,0,0,4,2025-11-13 06:02:23
13269,2025,UEFA.EURO_U21_QUAL,4371,306516,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2025-11-13 06:02:31
13269,2025,UEFA.EURO_U21_QUAL,19213,307133,4,0,0,0,1,1,0,0,0,0,0,1,0,0,4,2025-11-13 06:02:30
13269,2025,UEFA.EURO_U21_QUAL,19208,307274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-11-13 06:02:32
13269,2025,UEFA.EURO_U21_QUAL,20927,307688,3,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2025-11-13 06:02:19
13269,2025,UEFA.EURO_U21_QUAL,11676,309563,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-11-13 06:02:21
13269,2025,UEFA.EURO_U21_QUAL,20941,310321,3,0,1,0,0,0,0,1,0,0,0,1,0,0,3,2025-11-11 06:03:38
13269,2025,UEFA.EURO_U21_QUAL,11627,310607,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-11-13 06:02:27
13269,2025,UEFA.EURO_U21_QUAL,4150,311173,3,0,6,0,1,0,0,0,0,2,3,0,0,0,0,2025-11-13 06:02:20
13269,2025,UEFA.EURO_U21_QUAL,19213,312043,2,0,0,0,1,0,0,1,0,0,0,1,0,0,1,2025-11-13 06:02:30
13269,2025,UEFA.EURO_U21_QUAL,18415,312584,4,1,1,0,0,0,0,0,0,1,1,1,0,0,3,2025-11-13 06:02:30
13269,2025,UEFA.EURO_U21_QUAL,14253,312960,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-11-12 06:02:47
13269,2025,UEFA.EURO_U21_QUAL,4150,313009,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2025-11-13 06:02:20
13269,2025,UEFA.EURO_U21_QUAL,11669,313240,1,0,0,1,0,0,0,0,0,0,3,0,0,0,0,2025-11-13 06:02:18
13269,2025,UEFA.EURO_U21_QUAL,18414,313256,4,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2025-11-13 06:02:28
13269,2025,UEFA.EURO_U21_QUAL,20003,314096,2,1,0,2,0,0,0,1,0,0,0,0,0,0,0,2025-11-13 06:02:29
13269,2025,UEFA.EURO_U21_QUAL,11669,314178,2,2,1,0,0,0,0,1,0,0,2,0,0,0,1,2025-11-13 06:02:18
13269,2025,UEFA.EURO_U21_QUAL,4365,316173,3,2,0,0,1,0,0,0,0,0,0,0,0,0,5,2025-11-13 06:02:31
13269,2025,UEFA.EURO_U21_QUAL,19349,316252,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-11-13 06:02:29
13269,2025,UEFA.EURO_U21_QUAL,20929,316344,3,0,0,1,0,0,0,1,0,0,0,0,0,0,2,2025-11-13 06:02:23
13269,2025,UEFA.EURO_U21_QUAL,4366,318008,3,0,0,0,0,0,0,0,0,0,0,0,0,1,5,2025-11-13 06:02:20
13269,2025,UEFA.EURO_U21_QUAL,4257,318382,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-11-12 06:02:51
13269,2025,UEFA.EURO_U21_QUAL,11627,318534,2,0,1,0,0,0,0,0,0,5,9,2,0,0,2,2025-11-13 06:02:27
13269,2025,UEFA.EURO_U21_QUAL,18414,318760,2,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2025-11-13 06:02:28
13269,2025,UEFA.EURO_U21_QUAL,11669,318781,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-11-13 06:02:18
13269,2025,UEFA.EURO_U21_QUAL,11627,318782,2,2,1,1,0,0,0,0,0,1,3,0,0,0,1,2025-11-13 06:02:27
13269,2025,UEFA.EURO_U21_QUAL,20929,318799,3,0,0,1,0,0,0,1,0,0,0,0,0,0,2,2025-11-13 06:02:23
13269,2025,UEFA.EURO_U21_QUAL,14253,319066,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,2025-11-13 06:02:28
13269,2025,UEFA.EURO_U21_QUAL,11627,319231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-11-13 06:02:27
13269,2025,UEFA.EURO_U21_QUAL,10343,319265,2,0,3,4,1,0,0,0,0,2,5,0,0,0,1,2025-10-17 05:14:10
13269,2025,UEFA.EURO_U21_QUAL,11627,319298,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2025-11-13 06:02:27
13269,2025,UEFA.EURO_U21_QUAL,14253,319301,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,2025-11-13 06:02:28
13269,2025,UEFA.EURO_U21_QUAL,11669,319371,1,0,0,0,0,0,0,0,0,0,0,0,0,6,1,2025-11-11 06:03:27
13269,2025,UEFA.EURO_U21_QUAL,4366,319386,2,1,0,0,0,0,0,0,0,0,0,0,0,0,2,2025-11-13 06:02:20
13269,2025,UEFA.EURO_U21_QUAL,20931,320281,2,0,1,2,0,0,0,0,0,2,2,1,0,0,2,2025-10-08 05:13:51
13269,2025,UEFA.EURO_U21_QUAL,18415,320337,3,0,0,1,0,0,0,0,0,0,0,0,0,1,4,2025-11-13 06:02:30
13269,2025,UEFA.EURO_U21_QUAL,19349,320695,3,2,0,0,1,0,0,0,0,1,1,2,0,0,0,2025-11-13 06:02:29
13269,2025,UEFA.EURO_U21_QUAL,20931,320726,1,1,2,2,1,0,0,0,0,0,0,0,0,0,1,2025-10-08 05:13:51
13269,2025,UEFA.EURO_U21_QUAL,11627,321081,2,0,1,1,0,0,0,0,0,0,3,0,0,0,2,2025-10-17 05:14:13
13269,2025,UEFA.EURO_U21_QUAL,18415,321091,3,3,0,0,0,0,0,0,0,0,0,0,0,0,1,2025-11-13 06:02:30
13269,2025,UEFA.EURO_U21_QUAL,11669,321112,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,2025-11-12 06:02:37
13269,2025,UEFA.EURO_U21_QUAL,19208,321113,3,1,1,5,0,0,0,0,0,1,1,0,0,0,1,2025-11-13 06:02:32
13269,2025,UEFA.EURO_U21_QUAL,20931,321261,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2025-10-08 05:13:51
13269,2025,UEFA.EURO_U21_QUAL,4282,321407,4,0,0,0,1,0,0,0,0,0,0,0,0,0,4,2025-11-13 06:02:23
13269,2025,UEFA.EURO_U21_QUAL,20003,321899,3,0,1,3,0,0,0,0,0,0,1,0,0,0,3,2025-11-13 06:02:29
13269,2025,UEFA.EURO_U21_QUAL,20003,321902,3,0,4,13,1,0,0,0,0,2,5,1,0,0,3,2025-11-13 06:02:29
13269,2025,UEFA.EURO_U21_QUAL,4282,321905,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2025-11-13 06:02:23
13269,2025,UEFA.EURO_U21_QUAL,4282,321911,4,0,0,0,1,0,0,0,0,1,1,2,0,0,4,2025-11-13 06:02:23
13269,2025,UEFA.EURO_U21_QUAL,4282,321915,3,1,0,0,1,0,0,0,0,0,0,0,0,0,1,2025-11-13 06:02:23
13269,2025,UEFA.EURO_U21_QUAL,20844,321979,1,0,1,1,0,0,0,0,0,0,1,0,0,0,5,2025-11-12 06:02:50
13269,2025,UEFA.EURO_U21_QUAL,20945,322077,3,1,0,4,1,0,0,1,0,0,0,0,0,0,0,2025-11-13 06:02:18
