seasonType,eventId,keyEventOrder,playId,keyEventTypeId,period,clockValue,clockDisplayValue,scoringPlay,shootout,keyEventText,keyEventShortText,teamId,goalPositionX,goalPositionY,fieldPositionX,fieldPositionY,fieldPosition2X,fieldPosition2Y,participantOrder,athleteId,updateDateTime
13701,759215,1,46227972,70,1,480,8',1,0,Magnus Watson (Banks O'Dee) Goal at 8',Magnus Watson Goal,9980,0.0,0.0,0.0,0.0,0.0,0.0,1,329385,2025-10-26 05:23:07
13701,759215,2,46228066,94,1,660,11',0,0,Liam Duell (Banks O'Dee) Yellow Card at 11',Liam Duell Yellow Card,9980,0.0,0.0,0.0,0.0,0.0,0.0,1,321351,2025-10-26 05:23:07
13701,759215,3,46228393,76,1,1200,20',0,0,Joe Barbour (Fraserburgh) Substitution at 20',Joe Barbour Substitution,7170,0.0,0.0,0.0,0.0,0.0,0.0,1,167994,2025-10-26 05:23:07
13701,759215,3,46228393,76,1,1200,20',0,0,Joe Barbour (Fraserburgh) Substitution at 20',Joe Barbour Substitution,7170,0.0,0.0,0.0,0.0,0.0,0.0,2,228827,2025-10-26 05:23:07
13701,759215,4,46228500,70,1,1380,23',1,0,Mark Gilmour (Banks O'Dee) Goal at 23',Mark Gilmour Goal,9980,0.0,0.0,0.0,0.0,0.0,0.0,1,139820,2025-10-26 05:23:07
13701,759215,5,46228949,94,1,1980,33',0,0,Jamie Beagrie (Fraserburgh) Yellow Card at 33',Jamie Beagrie Yellow Card,7170,0.0,0.0,0.0,0.0,0.0,0.0,1,228940,2025-10-26 05:23:07
13701,759215,6,46229179,94,1,2280,38',0,0,Kain Winton (Banks O'Dee) Yellow Card at 38',Kain Winton Yellow Card,9980,0.0,0.0,0.0,0.0,0.0,0.0,1,228754,2025-10-26 05:23:07
13701,759215,7,46229420,70,1,2640,44',1,0,Sam Pugh (Banks O'Dee) Goal at 44',Sam Pugh Goal,9980,0.0,0.0,0.0,0.0,0.0,0.0,1,231512,2025-10-26 05:23:07
13701,759215,8,46229482,70,1,2700,45',1,0,Mark Gilmour (Banks O'Dee) Goal at 45',Mark Gilmour Goal,9980,0.0,0.0,0.0,0.0,0.0,0.0,1,139820,2025-10-26 05:23:07
13701,759215,9,46230052,76,2,2820,47',0,0,Lewis Duncan (Fraserburgh) Substitution at 47',Lewis Duncan Substitution,7170,0.0,0.0,0.0,0.0,0.0,0.0,1,277591,2025-10-26 05:23:07
13701,759215,10,46230053,76,2,2820,47',0,0,Sean Butcher (Fraserburgh) Substitution at 47',Sean Butcher Substitution,7170,0.0,0.0,0.0,0.0,0.0,0.0,1,276903,2025-10-26 05:23:07
13701,759215,9,46230052,76,2,2820,47',0,0,Lewis Duncan (Fraserburgh) Substitution at 47',Lewis Duncan Substitution,7170,0.0,0.0,0.0,0.0,0.0,0.0,2,410060,2025-10-26 05:23:07
13701,759215,10,46230053,76,2,2820,47',0,0,Sean Butcher (Fraserburgh) Substitution at 47',Sean Butcher Substitution,7170,0.0,0.0,0.0,0.0,0.0,0.0,2,291526,2025-10-26 05:23:07
13701,759215,11,46230874,76,2,4020,67',0,0,Lachie Macleod (Banks O'Dee) Substitution at 67',Lachie Macleod Substitution,9980,0.0,0.0,0.0,0.0,0.0,0.0,1,249182,2025-10-26 05:23:07
13701,759215,11,46230874,76,2,4020,67',0,0,Lachie Macleod (Banks O'Dee) Substitution at 67',Lachie Macleod Substitution,9980,0.0,0.0,0.0,0.0,0.0,0.0,2,321351,2025-10-26 05:23:07
13701,759215,12,46231067,76,2,4260,71',0,0,Max Alexander (Banks O'Dee) Substitution at 71',Max Alexander Substitution,9980,0.0,0.0,0.0,0.0,0.0,0.0,1,212708,2025-10-26 05:23:07
13701,759215,12,46231067,76,2,4260,71',0,0,Max Alexander (Banks O'Dee) Substitution at 71',Max Alexander Substitution,9980,0.0,0.0,0.0,0.0,0.0,0.0,2,228754,2025-10-26 05:23:07
13701,759215,13,46231297,76,2,4560,76',0,0,Liam Strachan (Fraserburgh) Substitution at 76',Liam Strachan Substitution,7170,0.0,0.0,0.0,0.0,0.0,0.0,1,229543,2025-10-26 05:23:07
13701,759215,13,46231297,76,2,4560,76',0,0,Liam Strachan (Fraserburgh) Substitution at 76',Liam Strachan Substitution,7170,0.0,0.0,0.0,0.0,0.0,0.0,2,167993,2025-10-26 05:23:07
13701,759215,14,46231437,76,2,4740,79',0,0,Alex Balfour (Banks O'Dee) Substitution at 79',Alex Balfour Substitution,9980,0.0,0.0,0.0,0.0,0.0,0.0,1,381069,2025-10-26 05:23:07
13701,759215,14,46231437,76,2,4740,79',0,0,Alex Balfour (Banks O'Dee) Substitution at 79',Alex Balfour Substitution,9980,0.0,0.0,0.0,0.0,0.0,0.0,2,329385,2025-10-26 05:23:07
13701,759215,15,46231753,76,2,5040,84',0,0,Dylan Robertson (Fraserburgh) Substitution at 84',Dylan Robertson Substitution,7170,0.0,0.0,0.0,0.0,0.0,0.0,1,392319,2025-10-26 05:23:07
13701,759215,15,46231753,76,2,5040,84',0,0,Dylan Robertson (Fraserburgh) Substitution at 84',Dylan Robertson Substitution,7170,0.0,0.0,0.0,0.0,0.0,0.0,2,228940,2025-10-26 05:23:07
13701,759215,16,46231729,94,2,5160,86',0,0,Paul Young (Fraserburgh) Yellow Card at 86',Paul Young Yellow Card,7170,0.0,0.0,0.0,0.0,0.0,0.0,1,228945,2025-10-26 05:23:07
13701,759215,17,46231977,94,2,5400,90'+1',0,0,Sam Pugh (Banks O'Dee) Yellow Card at 91',Sam Pugh Yellow Card,9980,0.0,0.0,0.0,0.0,0.0,0.0,1,231512,2025-10-26 05:23:07
13701,759216,1,46220990,70,1,240,4',1,0,Lucas Stenhouse (Linlithgow Rose) Goal at 4',Lucas Stenhouse Goal,8565,0.0,0.0,0.0,0.0,0.0,0.0,1,347274,2025-10-25 05:18:41
13701,759216,2,46221038,70,1,600,10',1,0,Oliver Hamilton (Linlithgow Rose) Goal at 10',Oliver Hamilton Goal,8565,0.0,0.0,0.0,0.0,0.0,0.0,1,277682,2025-10-25 05:18:41
13701,759216,3,46221101,94,1,1020,17',0,0,Josh Wishart (Bo'ness Athletic) Yellow Card at 17',Josh Wishart Yellow Card,22366,0.0,0.0,0.0,0.0,0.0,0.0,1,413581,2025-10-25 05:18:41
13701,759216,4,46221980,76,2,2700,45',0,0,Callum MacDonald (Bo'ness Athletic) Substitution at 45',Callum MacDonald Substitution,22366,0.0,0.0,0.0,0.0,0.0,0.0,1,93413,2025-10-25 05:18:41
13701,759216,5,46221981,76,2,2700,45',0,0,Chris Ogilvie (Bo'ness Athletic) Substitution at 45',Chris Ogilvie Substitution,22366,0.0,0.0,0.0,0.0,0.0,0.0,1,394850,2025-10-25 05:18:41
13701,759216,4,46221980,76,2,2700,45',0,0,Callum MacDonald (Bo'ness Athletic) Substitution at 45',Callum MacDonald Substitution,22366,0.0,0.0,0.0,0.0,0.0,0.0,2,413580,2025-10-25 05:18:41
13701,759216,5,46221981,76,2,2700,45',0,0,Chris Ogilvie (Bo'ness Athletic) Substitution at 45',Chris Ogilvie Substitution,22366,0.0,0.0,0.0,0.0,0.0,0.0,2,346140,2025-10-25 05:18:41
13701,759216,6,46222030,94,2,2940,49',0,0,Paul Kennedy (Linlithgow Rose) Yellow Card at 49',Paul Kennedy Yellow Card,8565,0.0,0.0,0.0,0.0,0.0,0.0,1,277546,2025-10-25 05:18:41
13701,759216,7,46222125,76,2,3240,54',0,0,James Berry (Linlithgow Rose) Substitution at 54',James Berry Substitution,8565,0.0,0.0,0.0,0.0,0.0,0.0,1,303677,2025-10-25 05:18:41
13701,759216,7,46222125,76,2,3240,54',0,0,James Berry (Linlithgow Rose) Substitution at 54',James Berry Substitution,8565,0.0,0.0,0.0,0.0,0.0,0.0,1,141845,2025-10-25 05:18:41
13701,759216,7,46222125,76,2,3240,54',0,0,James Berry (Linlithgow Rose) Substitution at 54',James Berry Substitution,8565,0.0,0.0,0.0,0.0,0.0,0.0,2,277546,2025-10-25 05:18:41
13701,759216,8,46222246,76,2,3660,61',0,0,Blair Henderson (Linlithgow Rose) Substitution at 61',Blair Henderson Substitution,8565,0.0,0.0,0.0,0.0,0.0,0.0,1,179659,2025-10-25 05:18:41
13701,759216,8,46222246,76,2,3660,61',0,0,Blair Henderson (Linlithgow Rose) Substitution at 61',Blair Henderson Substitution,8565,0.0,0.0,0.0,0.0,0.0,0.0,2,97706,2025-10-25 05:18:41
13701,759216,9,46222324,94,2,3840,64',0,0,Greg Skinner (Linlithgow Rose) Yellow Card at 64',Greg Skinner Yellow Card,8565,0.0,0.0,0.0,0.0,0.0,0.0,1,327811,2025-10-25 05:18:41
13701,759216,10,46222389,76,2,4140,69',0,0,Ben Woloszyn (Bo'ness Athletic) Substitution at 69',Ben Woloszyn Substitution,22366,0.0,0.0,0.0,0.0,0.0,0.0,1,329702,2025-10-25 05:18:41
13701,759216,10,46222389,76,2,4140,69',0,0,Ben Woloszyn (Bo'ness Athletic) Substitution at 69',Ben Woloszyn Substitution,22366,0.0,0.0,0.0,0.0,0.0,0.0,2,394841,2025-10-25 05:18:41
13701,759216,11,46222475,94,2,4380,73',0,0,Godwin Kangni-Soupke (Bo'ness Athletic) Yellow Card at 73',Godwin Kangni-Soupke Yellow Card,22366,0.0,0.0,0.0,0.0,0.0,0.0,1,359222,2025-10-25 05:18:41
13701,759216,12,46222555,94,2,4740,79',0,0,James Berry (Linlithgow Rose) Yellow Card at 79',James Berry Yellow Card,8565,0.0,0.0,0.0,0.0,0.0,0.0,1,303677,2025-10-25 05:18:41
13701,759216,12,46222555,94,2,4740,79',0,0,James Berry (Linlithgow Rose) Yellow Card at 79',James Berry Yellow Card,8565,0.0,0.0,0.0,0.0,0.0,0.0,1,141845,2025-10-25 05:18:41
13701,759216,13,46222576,94,2,4860,81',0,0,Cameron Thompson (Linlithgow Rose) Yellow Card at 81',Cameron Thompson Yellow Card,8565,0.0,0.0,0.0,0.0,0.0,0.0,1,240726,2025-10-25 05:18:41
13701,759216,14,46222634,76,2,5040,84',0,0,Michael Beagley (Bo'ness Athletic) Substitution at 84',Michael Beagley Substitution,22366,0.0,0.0,0.0,0.0,0.0,0.0,1,326252,2025-10-25 05:18:41
13701,759216,14,46222634,76,2,5040,84',0,0,Michael Beagley (Bo'ness Athletic) Substitution at 84',Michael Beagley Substitution,22366,0.0,0.0,0.0,0.0,0.0,0.0,2,351843,2025-10-25 05:18:41
13701,759216,15,46222744,76,2,5400,90'+1',0,0,Jamie Allen (Linlithgow Rose) Substitution at 91',Jamie Allen Substitution,8565,0.0,0.0,0.0,0.0,0.0,0.0,1,303779,2025-10-25 05:18:41
13701,759216,15,46222744,76,2,5400,90'+1',0,0,Jamie Allen (Linlithgow Rose) Substitution at 91',Jamie Allen Substitution,8565,0.0,0.0,0.0,0.0,0.0,0.0,1,303772,2025-10-25 05:18:41
13701,759216,15,46222744,76,2,5400,90'+1',0,0,Jamie Allen (Linlithgow Rose) Substitution at 91',Jamie Allen Substitution,8565,0.0,0.0,0.0,0.0,0.0,0.0,1,177607,2025-10-25 05:18:41
13701,759216,17,46222803,94,2,5400,90'+4',0,0,Blair Henderson (Linlithgow Rose) Yellow Card at 94',Blair Henderson Yellow Card,8565,0.0,0.0,0.0,0.0,0.0,0.0,1,179659,2025-10-25 05:18:41
13701,759216,16,46222745,76,2,5400,90'+1',0,0,Joseph Smith (Linlithgow Rose) Substitution at 91',Joseph Smith Substitution,8565,0.0,0.0,0.0,0.0,0.0,0.0,1,243631,2025-10-25 05:18:41
13701,759216,16,46222745,76,2,5400,90'+1',0,0,Joseph Smith (Linlithgow Rose) Substitution at 91',Joseph Smith Substitution,8565,0.0,0.0,0.0,0.0,0.0,0.0,2,277682,2025-10-25 05:18:41
13701,759216,15,46222744,76,2,5400,90'+1',0,0,Jamie Allen (Linlithgow Rose) Substitution at 91',Jamie Allen Substitution,8565,0.0,0.0,0.0,0.0,0.0,0.0,2,378327,2025-10-25 05:18:41
