seasonType,year,league,teamId,athleteId,appearances_value,subIns_value,foulsCommitted_value,foulsSuffered_value,yellowCards_value,redCards_value,ownGoals_value,goalAssists_value,offsides_value,shotsOnTarget_value,totalShots_value,totalGoals_value,shotsFaced_value,saves_value,goalsConceded_value,timestamp
13147,2025,ARG.1,15,3038,11,0,18,16,5,0,0,1,1,15,30,9,0,1,6,2025-05-05 04:55:16
13147,2025,ARG.1,9785,3494,16,0,15,20,3,0,0,0,7,1,6,1,0,3,19,2025-05-05 04:55:09
13147,2025,ARG.1,7764,3518,15,0,11,15,2,0,1,0,0,3,13,1,0,11,8,2025-05-05 04:55:16
13147,2025,ARG.1,11,34390,10,5,9,6,1,0,0,2,0,2,5,1,0,3,2,2025-05-05 04:55:14
13147,2025,ARG.1,18,40945,12,2,11,3,2,0,0,0,0,0,6,0,0,7,7,2025-05-05 04:55:17
13147,2025,ARG.1,8950,44391,16,0,1,4,2,0,0,0,2,0,0,0,184,57,22,2025-05-05 04:55:11
13147,2025,ARG.1,14,47086,11,5,14,8,3,0,0,0,1,1,6,0,0,3,4,2025-05-05 04:55:15
13147,2025,ARG.1,9785,57149,4,1,3,6,1,0,0,0,1,1,6,1,0,3,3,2025-05-05 04:55:09
13147,2025,ARG.1,3,67239,11,11,6,5,1,0,0,0,0,4,8,0,0,0,3,2025-05-05 04:55:09
13147,2025,ARG.1,17,68093,14,0,0,0,2,0,1,0,2,1,1,0,165,38,7,2025-05-05 04:55:17
13147,2025,ARG.1,4,70182,15,2,28,22,3,0,0,1,0,9,26,2,0,0,19,2025-05-05 04:55:10
13147,2025,ARG.1,2975,70912,16,0,18,70,4,0,0,2,3,10,43,5,0,1,18,2025-05-05 04:55:14
13147,2025,ARG.1,6756,72265,6,1,7,0,0,0,0,0,1,0,2,0,0,2,7,2025-05-05 04:55:13
13147,2025,ARG.1,14,73247,14,0,0,1,1,0,0,0,0,0,0,0,177,58,11,2025-05-05 04:55:15
13147,2025,ARG.1,7767,76156,3,2,1,0,0,0,0,0,0,1,1,0,0,0,1,2025-05-05 04:55:19
