seasonType,year,league,teamId,athleteId,appearances_value,subIns_value,foulsCommitted_value,foulsSuffered_value,yellowCards_value,redCards_value,ownGoals_value,goalAssists_value,offsides_value,shotsOnTarget_value,totalShots_value,totalGoals_value,shotsFaced_value,saves_value,goalsConceded_value,timestamp
13720,2025,AUS.1,19340,89015,3,0,2,1,0,0,0,0,0,0,4,0,0,0,3,2025-11-11 06:05:40
13720,2025,AUS.1,5326,97794,4,0,0,1,1,0,0,0,0,0,0,0,0,7,2,2025-11-11 06:05:39
13720,2025,AUS.1,19340,101127,3,0,5,3,1,0,0,0,0,1,2,1,0,0,2,2025-11-11 06:05:40
13720,2025,AUS.1,5328,103025,4,2,1,1,0,0,0,0,0,2,6,1,0,0,4,2025-11-11 06:05:40
13720,2025,AUS.1,5325,107530,4,0,0,0,0,0,0,0,0,0,0,0,0,19,5,2025-11-11 06:05:40
13720,2025,AUS.1,19340,109214,3,1,0,1,0,0,0,0,0,1,2,0,0,0,3,2025-11-11 06:05:40
13720,2025,AUS.1,11143,122553,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,2025-11-11 06:05:40
13720,2025,AUS.1,5321,124962,4,0,2,2,1,0,0,0,0,0,1,0,0,0,5,2025-11-11 06:05:38
13720,2025,AUS.1,5327,130119,4,0,5,2,1,0,0,0,0,1,6,0,0,0,3,2025-11-11 06:05:41
13720,2025,AUS.1,5326,138978,4,0,2,3,0,0,0,0,0,3,7,2,0,0,2,2025-11-11 06:05:39
13720,2025,AUS.1,5328,138984,1,0,0,3,0,0,0,0,0,0,0,0,0,0,2,2025-11-11 06:05:40
13720,2025,AUS.1,11143,140994,3,0,2,4,0,0,0,1,0,1,3,0,0,0,1,2025-11-11 06:05:40
13720,2025,AUS.1,5323,143180,3,0,2,0,0,0,0,0,0,0,2,0,0,0,9,2025-11-11 06:05:41
13720,2025,AUS.1,19340,143342,4,0,8,8,2,0,0,0,0,1,4,0,0,0,5,2025-11-11 06:05:40
13720,2025,AUS.1,5328,143791,4,0,5,3,2,0,0,0,0,2,9,0,0,0,7,2025-11-11 06:05:40
13720,2025,AUS.1,5321,144554,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2025-11-11 06:05:38
13720,2025,AUS.1,5323,147131,4,0,1,1,0,0,0,0,0,4,6,2,0,0,8,2025-11-11 06:05:41
13720,2025,AUS.1,5321,147544,4,3,4,1,1,0,0,0,0,1,1,0,0,0,2,2025-11-11 06:05:38
13720,2025,AUS.1,19340,150375,4,4,2,0,1,0,0,0,0,1,3,1,0,0,3,2025-11-11 06:05:40
13720,2025,AUS.1,5322,151920,4,0,8,2,3,0,0,0,0,0,1,0,0,0,9,2025-11-11 06:05:41
13720,2025,AUS.1,5322,152783,4,0,1,0,1,0,0,0,0,0,4,0,0,0,9,2025-11-11 06:05:41
13720,2025,AUS.1,13696,154389,3,0,2,0,0,0,0,0,0,0,1,0,0,0,4,2025-11-11 06:05:42
13720,2025,AUS.1,5328,154406,4,0,0,0,0,0,0,0,0,0,0,0,0,13,7,2025-11-11 06:05:40
13720,2025,AUS.1,5322,155209,4,0,4,1,1,0,0,1,0,5,16,1,0,0,7,2025-11-11 06:05:41
13720,2025,AUS.1,5325,155999,4,0,3,2,1,0,0,0,0,0,0,0,0,0,5,2025-11-11 06:05:40
13720,2025,AUS.1,13696,156929,4,0,0,2,0,0,0,0,0,0,0,0,0,18,5,2025-11-11 06:05:42
13720,2025,AUS.1,22344,157692,3,0,1,2,0,0,0,0,0,0,1,0,0,0,0,2025-11-11 06:05:39
13720,2025,AUS.1,8352,159343,3,1,0,4,0,0,0,0,0,0,1,0,0,0,1,2025-11-11 06:05:42
13720,2025,AUS.1,22344,159466,4,4,2,1,0,0,0,0,0,0,0,0,0,0,0,2025-11-11 06:05:39
13720,2025,AUS.1,8352,159470,2,0,2,1,0,0,0,1,0,1,2,0,0,0,2,2025-11-11 06:05:42
13720,2025,AUS.1,5321,161822,4,0,0,0,0,0,0,0,0,0,0,0,0,11,5,2025-11-11 06:05:38
13720,2025,AUS.1,19340,168388,4,0,0,0,0,0,0,0,0,0,0,0,0,16,5,2025-11-11 06:05:40
13720,2025,AUS.1,5321,170754,4,0,9,3,1,0,0,1,0,2,4,1,0,0,4,2025-11-11 06:05:38
13720,2025,AUS.1,5327,173189,4,0,1,1,1,0,0,0,0,0,2,0,0,0,3,2025-11-11 06:05:41
13720,2025,AUS.1,19340,173447,3,0,2,4,0,0,0,0,0,0,4,0,0,0,4,2025-11-11 06:05:40
13720,2025,AUS.1,13696,175958,4,0,2,1,0,0,0,1,0,2,5,1,0,0,5,2025-11-11 06:05:42
13720,2025,AUS.1,22344,176886,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-11-11 06:05:39
13720,2025,AUS.1,11143,179396,2,2,0,0,0,0,0,0,0,0,1,0,0,0,0,2025-11-11 06:05:40
13720,2025,AUS.1,5327,191001,4,0,1,6,0,0,0,2,0,5,18,2,0,0,3,2025-11-11 06:05:41
13720,2025,AUS.1,5327,191942,4,0,1,1,0,0,0,0,0,3,4,1,0,0,3,2025-11-11 06:05:41
13720,2025,AUS.1,5326,192411,3,0,2,5,1,0,0,0,0,0,0,0,0,0,0,2025-11-11 06:05:39
13720,2025,AUS.1,11143,194351,4,0,6,3,2,0,0,2,0,1,3,0,0,0,1,2025-11-11 06:05:40
13720,2025,AUS.1,22344,194728,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-11-11 06:05:39
13720,2025,AUS.1,8352,194736,4,0,3,7,0,0,0,0,0,1,6,0,0,0,6,2025-11-11 06:05:42
13720,2025,AUS.1,13696,194906,3,0,0,2,1,0,0,1,0,1,14,0,0,0,3,2025-11-11 06:05:42
13720,2025,AUS.1,11143,195333,4,0,3,6,0,0,0,0,0,0,2,0,0,0,1,2025-11-11 06:05:40
13720,2025,AUS.1,5321,195788,4,0,4,2,0,0,0,0,0,2,5,1,0,0,4,2025-11-11 06:05:38
13720,2025,AUS.1,5328,196064,4,0,3,5,0,0,0,0,0,4,6,0,0,0,6,2025-11-11 06:05:40
13720,2025,AUS.1,5322,196698,1,0,1,2,0,0,0,0,0,0,1,0,0,0,1,2025-11-11 06:05:41
13720,2025,AUS.1,8352,197630,4,0,3,7,0,0,0,1,0,1,5,1,0,0,6,2025-11-11 06:05:42
13720,2025,AUS.1,5328,200373,4,0,1,4,0,0,0,0,0,0,1,0,0,0,7,2025-11-11 06:05:40
13720,2025,AUS.1,5322,200396,4,2,2,1,0,0,0,0,0,1,1,0,0,0,3,2025-11-11 06:05:41
13720,2025,AUS.1,11143,200414,2,0,4,1,0,0,0,0,0,1,1,0,0,0,1,2025-11-11 06:05:40
13720,2025,AUS.1,8352,205023,2,0,1,0,0,0,0,0,0,0,0,0,0,0,3,2025-11-11 06:05:42
13720,2025,AUS.1,5323,205817,4,0,7,8,1,0,0,0,0,0,2,0,0,0,12,2025-11-11 06:05:41
13720,2025,AUS.1,5326,207255,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2025-11-11 06:05:39
13720,2025,AUS.1,13696,207260,4,0,2,1,2,0,0,0,0,1,2,0,0,0,3,2025-11-11 06:05:42
13720,2025,AUS.1,11143,211763,4,0,2,4,1,0,0,2,0,3,6,0,0,0,1,2025-11-11 06:05:40
13720,2025,AUS.1,8352,212779,4,0,0,3,0,0,0,0,0,0,1,0,0,0,6,2025-11-11 06:05:42
13720,2025,AUS.1,5323,212917,4,0,2,4,0,0,0,0,0,0,6,0,0,0,10,2025-11-11 06:05:41
13720,2025,AUS.1,5323,213687,1,1,0,0,0,0,0,1,0,1,2,0,0,0,1,2025-11-11 06:05:41
