seasonType,year,league,teamId,athleteId,appearances_value,subIns_value,foulsCommitted_value,foulsSuffered_value,yellowCards_value,redCards_value,ownGoals_value,goalAssists_value,offsides_value,shotsOnTarget_value,totalShots_value,totalGoals_value,shotsFaced_value,saves_value,goalsConceded_value,timestamp
13724,2025,AUS.W.1,20288,158675,2,0,1,1,0,0,0,0,0,2,6,1,0,0,3,2025-11-11 06:09:45
13724,2025,AUS.W.1,20280,158686,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-11-11 06:09:46
13724,2025,AUS.W.1,20281,158688,2,2,0,3,0,0,0,0,0,1,2,1,0,0,1,2025-11-11 06:09:45
13724,2025,AUS.W.1,20281,172518,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-11-11 06:09:45
13724,2025,AUS.W.1,20280,175238,2,0,1,3,0,0,1,0,0,0,4,0,0,0,2,2025-11-11 06:09:46
13724,2025,AUS.W.1,20284,213801,2,0,1,0,0,0,0,1,0,0,1,0,0,0,4,2025-11-11 06:09:46
13724,2025,AUS.W.1,21133,219956,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2025-11-11 06:09:48
13724,2025,AUS.W.1,21133,219962,1,0,2,1,0,0,0,0,0,0,0,0,0,0,1,2025-11-11 06:09:48
13724,2025,AUS.W.1,20285,225749,2,2,1,1,0,0,0,0,0,0,1,0,0,0,1,2025-11-11 06:09:47
13724,2025,AUS.W.1,20286,226437,2,0,2,0,0,0,0,0,0,1,10,0,0,0,2,2025-11-11 06:09:45
13724,2025,AUS.W.1,20288,230866,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2025-11-11 06:09:45
13724,2025,AUS.W.1,21133,235652,1,0,0,2,0,0,0,0,0,0,0,0,0,3,1,2025-11-11 06:09:48
13724,2025,AUS.W.1,20282,243227,2,0,0,1,0,0,0,1,0,1,3,0,0,0,4,2025-11-11 06:09:47
13724,2025,AUS.W.1,20280,249292,2,0,0,1,0,0,0,0,0,0,1,0,0,0,2,2025-11-11 06:09:46
13724,2025,AUS.W.1,20283,259618,2,0,2,2,0,0,0,0,0,0,1,0,0,0,6,2025-11-11 06:09:48
13724,2025,AUS.W.1,20282,262668,2,0,7,1,0,0,0,1,0,5,7,2,0,0,4,2025-11-11 06:09:47
13724,2025,AUS.W.1,21133,263886,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2025-11-11 06:09:48
13724,2025,AUS.W.1,20280,264398,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-11-11 06:09:46
13724,2025,AUS.W.1,20287,264965,1,0,0,0,0,0,0,1,0,0,0,0,0,5,1,2025-11-11 06:09:47
13724,2025,AUS.W.1,20286,280013,2,0,2,2,0,0,0,0,0,0,0,0,0,0,2,2025-11-11 06:09:45
13724,2025,AUS.W.1,20284,281588,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-11-11 06:09:46
13724,2025,AUS.W.1,20280,284185,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0,2025-11-11 06:09:46
13724,2025,AUS.W.1,20285,292438,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2025-11-11 06:09:47
13724,2025,AUS.W.1,20286,292463,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2025-11-11 06:09:45
13724,2025,AUS.W.1,21133,292544,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,2025-11-11 06:09:48
13724,2025,AUS.W.1,20284,292667,2,0,3,3,0,0,0,0,0,5,9,4,0,0,4,2025-11-11 06:09:46
13724,2025,AUS.W.1,20283,292977,2,1,1,2,0,0,0,0,0,0,0,0,0,0,3,2025-11-11 06:09:48
13724,2025,AUS.W.1,20284,293183,2,0,5,2,0,0,0,1,0,3,7,0,0,0,4,2025-11-11 06:09:46
13724,2025,AUS.W.1,20283,293184,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2025-11-11 06:09:48
13724,2025,AUS.W.1,20281,293279,2,0,1,6,0,0,0,1,0,0,1,0,0,0,4,2025-11-11 06:09:45
13724,2025,AUS.W.1,20282,293935,2,0,0,1,0,0,0,0,0,2,6,2,0,0,2,2025-11-11 06:09:47
13724,2025,AUS.W.1,20283,296581,1,1,1,0,0,0,0,0,0,0,1,0,0,0,1,2025-11-11 06:09:48
13724,2025,AUS.W.1,21991,298483,2,0,0,1,0,0,0,0,0,0,0,0,0,4,4,2025-11-11 06:09:46
