seasonType,year,league,teamId,athleteId,appearances_value,subIns_value,foulsCommitted_value,foulsSuffered_value,yellowCards_value,redCards_value,ownGoals_value,goalAssists_value,offsides_value,shotsOnTarget_value,totalShots_value,totalGoals_value,shotsFaced_value,saves_value,goalsConceded_value,timestamp
13552,2025,AUT.1,18794,4804,12,0,5,5,1,0,0,0,0,1,8,0,0,0,18,2025-11-11 06:07:49
13552,2025,AUT.1,21950,21896,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2025-11-11 06:07:46
13552,2025,AUT.1,2790,33435,13,0,7,3,2,0,0,1,0,2,9,0,0,0,15,2025-11-11 06:07:47
13552,2025,AUT.1,4411,37442,11,9,6,4,1,0,0,1,0,3,7,2,0,0,8,2025-11-11 06:07:46
13552,2025,AUT.1,13294,74694,9,3,9,1,1,1,0,0,0,0,2,0,0,0,7,2025-11-11 06:07:49
13552,2025,AUT.1,4405,118109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-11-11 06:07:47
13552,2025,AUT.1,13294,120196,9,6,2,4,1,0,0,0,0,0,5,0,0,0,2,2025-11-11 06:07:49
13552,2025,AUT.1,13294,134018,12,1,6,8,0,0,0,0,0,8,19,6,0,0,8,2025-11-11 06:07:49
13552,2025,AUT.1,3759,138780,13,0,9,8,2,0,0,0,0,1,4,0,0,0,18,2025-11-11 06:07:48
13552,2025,AUT.1,4411,141449,10,3,6,7,1,0,0,0,0,0,4,0,0,0,9,2025-11-11 06:07:46
13552,2025,AUT.1,1382,142977,11,0,7,8,2,0,0,0,0,0,7,0,0,0,15,2025-11-11 06:07:45
13552,2025,AUT.1,4405,147261,9,8,3,1,0,0,0,0,0,3,4,1,0,0,2,2025-11-11 06:07:47
13552,2025,AUT.1,6907,152366,13,1,8,14,3,0,0,3,0,1,7,0,0,0,8,2025-11-11 06:07:48
13552,2025,AUT.1,3759,156639,5,3,2,0,1,0,0,0,0,0,3,0,0,0,4,2025-11-11 06:07:48
13552,2025,AUT.1,18794,157479,8,8,5,1,0,1,0,0,0,1,2,1,0,0,4,2025-11-11 06:07:49
13552,2025,AUT.1,4405,159929,13,0,0,7,3,0,0,0,0,0,0,0,0,35,14,2025-11-11 06:07:47
13552,2025,AUT.1,1382,161833,13,0,0,1,1,0,0,0,0,1,1,0,0,27,21,2025-11-11 06:07:45
13552,2025,AUT.1,3746,162238,7,6,4,1,0,0,0,0,0,0,0,0,0,0,1,2025-11-11 06:07:48
13552,2025,AUT.1,21950,164551,9,4,10,5,0,0,0,1,0,1,5,1,0,0,11,2025-11-11 06:07:46
13552,2025,AUT.1,3759,177623,2,2,1,1,0,0,0,0,0,0,0,0,0,0,3,2025-11-11 06:07:48
