seasonType,year,league,teamId,athleteId,appearances_value,subIns_value,foulsCommitted_value,foulsSuffered_value,yellowCards_value,redCards_value,ownGoals_value,goalAssists_value,offsides_value,shotsOnTarget_value,totalShots_value,totalGoals_value,shotsFaced_value,saves_value,goalsConceded_value,timestamp
13270,2025,BRA.1,2022,11632,27,2,25,15,2,0,0,2,6,11,33,0,0,1,15,2025-11-11 06:04:30
13270,2025,BRA.1,3457,12669,4,4,0,1,0,0,0,0,0,0,1,0,0,0,2,2025-11-11 06:04:35
13270,2025,BRA.1,6273,24388,23,12,10,12,6,0,0,2,2,6,22,0,0,1,17,2025-11-11 06:04:31
13270,2025,BRA.1,6270,36805,21,13,7,27,2,0,0,4,2,10,19,3,0,0,13,2025-11-11 06:04:32
13270,2025,BRA.1,3454,43711,21,7,8,6,0,0,0,2,0,8,21,2,0,0,29,2025-11-11 06:04:35
13270,2025,BRA.1,2029,67518,25,7,14,34,2,0,0,3,0,11,26,4,0,1,11,2025-11-11 06:04:33
13270,2025,BRA.1,3445,74906,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,2025-05-25 04:49:41
13270,2025,BRA.1,6270,75881,12,4,16,22,1,0,0,0,2,3,8,1,0,0,8,2025-11-11 06:04:32
13270,2025,BRA.1,1936,76818,9,1,7,5,3,0,0,0,0,1,3,0,0,0,10,2025-11-11 06:04:31
13270,2025,BRA.1,2022,77577,30,1,33,46,11,0,0,3,1,4,16,1,0,0,19,2025-11-11 06:04:30
13270,2025,BRA.1,7635,82010,8,5,7,2,1,0,0,0,1,3,7,0,0,0,3,2025-11-11 06:04:34
13270,2025,BRA.1,9967,82782,29,0,28,22,6,0,0,0,0,3,15,0,0,17,35,2025-11-11 06:04:28
13270,2025,BRA.1,6086,83178,24,10,21,40,5,0,0,4,2,10,28,2,0,1,15,2025-11-11 06:04:28
13270,2025,BRA.1,3454,84877,4,2,2,7,0,0,0,2,0,0,2,0,0,0,3,2025-06-11 04:51:38
13270,2025,BRA.1,9169,94310,21,5,30,15,1,0,0,2,1,12,32,4,0,1,12,2025-11-11 06:04:32
13270,2025,BRA.1,7632,95558,18,8,12,6,2,0,0,0,1,1,16,0,0,2,9,2025-11-11 06:04:28
13270,2025,BRA.1,7635,95831,6,6,3,1,0,0,0,0,1,3,7,0,0,0,0,2025-07-19 04:36:27
13270,2025,BRA.1,6272,95849,3,0,4,1,1,1,0,0,0,0,0,0,0,2,1,2025-06-11 04:51:34
13270,2025,BRA.1,3445,96254,22,1,8,9,1,0,0,0,0,3,12,1,0,4,19,2025-11-11 06:04:30
13270,2025,BRA.1,6272,98398,7,3,7,2,2,0,0,0,0,1,6,0,0,6,8,2025-08-03 04:37:26
13270,2025,BRA.1,6270,99364,6,1,1,0,0,0,0,0,1,0,0,0,69,30,9,2025-11-11 06:04:32
13270,2025,BRA.1,2022,108103,30,2,43,22,6,0,0,2,2,4,20,2,0,2,17,2025-11-11 06:04:30
13270,2025,BRA.1,2022,108342,9,1,11,8,1,0,0,0,0,0,2,0,0,0,5,2025-11-11 06:04:30
13270,2025,BRA.1,2022,108347,31,0,0,8,4,0,0,0,0,0,0,0,109,98,21,2025-11-11 06:04:30
13270,2025,BRA.1,2029,109962,22,8,22,8,3,0,0,0,1,6,14,1,0,2,13,2025-11-11 06:04:33
13270,2025,BRA.1,2026,113352,7,3,10,7,0,0,0,0,0,1,6,1,0,1,2,2025-11-11 06:04:34
13270,2025,BRA.1,3454,114031,9,9,2,1,1,0,0,0,0,2,4,0,0,0,3,2025-11-11 06:04:35
13270,2025,BRA.1,9169,115379,31,1,23,27,6,0,0,6,1,24,55,11,0,2,30,2025-11-11 06:04:32
13270,2025,BRA.1,2029,118395,24,0,29,12,8,0,0,1,7,4,17,2,0,3,18,2025-11-11 06:04:33
13270,2025,BRA.1,9967,118688,18,10,13,13,1,0,0,0,2,11,29,2,0,1,16,2025-09-11 05:09:22
13270,2025,BRA.1,2022,121921,14,14,10,3,1,0,0,1,1,1,6,0,0,0,0,2025-11-11 06:04:30
13270,2025,BRA.1,874,123865,9,6,4,3,0,0,0,0,2,3,6,1,0,0,2,2025-11-11 06:04:29
13270,2025,BRA.1,1936,124066,6,0,2,4,0,0,0,0,0,3,3,0,0,5,7,2025-11-11 06:04:31
13270,2025,BRA.1,7632,124068,27,5,33,59,10,0,0,5,5,23,76,6,0,0,28,2025-11-11 06:04:28
13270,2025,BRA.1,6273,124439,22,7,23,32,3,0,0,0,3,10,27,2,0,0,11,2025-11-11 06:04:31
13270,2025,BRA.1,819,125514,18,1,37,16,4,0,0,0,0,1,6,0,0,1,11,2025-11-11 06:04:30
13270,2025,BRA.1,2026,129722,23,3,10,8,1,0,0,2,1,0,4,0,0,4,22,2025-11-11 06:04:34
