seasonType,year,league,teamId,athleteId,appearances_value,subIns_value,foulsCommitted_value,foulsSuffered_value,yellowCards_value,redCards_value,ownGoals_value,goalAssists_value,offsides_value,shotsOnTarget_value,totalShots_value,totalGoals_value,shotsFaced_value,saves_value,goalsConceded_value,timestamp
13537,2025,ENG.4,302,5882,15,2,25,17,4,0,0,0,0,4,14,0,0,0,19,2025-11-11 06:08:02
13537,2025,ENG.4,345,5883,10,0,0,0,2,0,0,0,0,0,0,0,0,33,18,2025-11-11 06:08:03
13537,2025,ENG.4,635,6468,15,0,17,13,4,0,0,1,0,3,7,0,0,0,27,2025-11-11 06:08:00
13537,2025,ENG.4,320,7687,14,1,10,22,4,0,0,0,0,5,15,2,0,0,18,2025-11-11 06:07:57
13537,2025,ENG.4,4703,8327,3,0,2,1,0,0,0,0,0,0,1,0,0,0,3,2025-11-11 06:08:01
13537,2025,ENG.4,389,9253,14,0,1,5,1,0,0,1,0,0,0,0,0,33,12,2025-11-11 06:07:59
13537,2025,ENG.4,2731,17277,12,3,6,12,2,0,0,3,0,4,17,0,0,0,10,2025-11-11 06:07:55
13537,2025,ENG.4,389,24675,11,2,9,17,0,1,0,0,0,2,7,1,0,0,11,2025-11-11 06:07:59
13537,2025,ENG.4,3891,39135,14,4,12,13,3,0,0,0,0,12,25,5,0,0,15,2025-11-11 06:07:59
13537,2025,ENG.4,3129,39188,12,7,8,4,1,0,0,1,0,4,15,1,0,0,7,2025-11-11 06:07:56
13537,2025,ENG.4,4703,42252,2,0,0,1,0,0,0,0,0,0,0,0,0,5,3,2025-11-11 06:08:01
13537,2025,ENG.4,4703,42369,13,0,0,1,0,0,0,0,0,0,0,0,0,37,15,2025-11-11 06:08:01
13537,2025,ENG.4,2731,45368,2,0,1,4,1,0,0,0,0,1,5,1,0,0,3,2025-11-11 06:07:55
13537,2025,ENG.4,635,45706,11,0,11,17,1,0,0,0,0,2,6,0,0,0,18,2025-11-11 06:08:00
13537,2025,ENG.4,3129,46335,7,3,5,5,2,1,0,0,0,0,1,0,0,0,7,2025-11-11 06:07:56
13537,2025,ENG.4,635,51844,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-11-11 06:08:00
13537,2025,ENG.4,343,65474,13,0,13,19,3,0,0,0,0,4,6,1,0,0,17,2025-11-11 06:07:57
13537,2025,ENG.4,642,67561,4,2,4,2,0,0,0,0,0,0,2,0,0,0,4,2025-11-11 06:07:56
13537,2025,ENG.4,3129,82553,11,1,7,14,2,0,0,1,0,3,12,1,0,0,10,2025-11-11 06:07:56
13537,2025,ENG.4,642,92735,4,3,1,2,0,0,0,0,0,0,0,0,0,0,4,2025-11-11 06:07:56
13537,2025,ENG.4,389,93365,11,9,5,3,0,0,0,1,0,8,15,1,0,0,3,2025-11-11 06:07:59
13537,2025,ENG.4,332,94708,4,2,6,8,3,0,0,0,0,1,7,1,0,0,2,2025-11-11 06:08:01
13537,2025,ENG.4,635,103469,6,1,2,4,2,0,0,1,0,1,5,0,0,0,6,2025-11-11 06:08:00
13537,2025,ENG.4,345,104233,15,2,18,5,3,0,0,1,0,0,5,0,0,0,21,2025-11-11 06:08:03
13537,2025,ENG.4,320,106130,14,0,0,4,0,0,0,0,0,0,0,0,0,60,25,2025-11-11 06:07:57
13537,2025,ENG.4,343,108374,7,3,6,1,2,0,0,0,0,0,0,0,0,0,9,2025-11-11 06:07:57
13537,2025,ENG.4,3891,111016,15,12,15,5,2,0,0,3,0,5,12,2,0,0,5,2025-11-11 06:07:59
