seasonType,year,league,teamId,athleteId,appearances_value,subIns_value,foulsCommitted_value,foulsSuffered_value,yellowCards_value,redCards_value,ownGoals_value,goalAssists_value,offsides_value,shotsOnTarget_value,totalShots_value,totalGoals_value,shotsFaced_value,saves_value,goalsConceded_value,timestamp
13646,2025,ENG.W.1,19976,23830,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-11-11 06:01:53
13646,2025,ENG.W.1,20061,134423,5,5,2,2,0,0,0,0,0,1,1,0,0,0,0,2025-11-11 06:01:55
13646,2025,ENG.W.1,21053,140019,8,0,10,9,2,0,0,1,1,3,5,2,0,0,18,2025-11-11 06:01:55
13646,2025,ENG.W.1,21053,144829,8,0,7,3,1,0,0,1,1,1,2,0,0,0,17,2025-11-11 06:01:55
13646,2025,ENG.W.1,19973,158678,8,2,8,6,1,0,0,0,1,6,12,1,0,0,5,2025-11-11 06:01:52
13646,2025,ENG.W.1,19970,158683,7,7,0,2,0,0,0,0,1,3,7,2,0,0,1,2025-11-11 06:01:53
13646,2025,ENG.W.1,21036,158693,8,1,7,3,1,0,0,1,0,2,5,1,0,0,10,2025-11-11 06:01:54
13646,2025,ENG.W.1,21053,158770,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,2025-11-11 06:01:55
13646,2025,ENG.W.1,19973,176041,7,0,2,6,0,0,0,0,0,1,4,0,0,0,6,2025-11-11 06:01:52
13646,2025,ENG.W.1,19975,188069,8,0,17,20,1,0,0,0,2,5,20,1,0,0,19,2025-11-11 06:01:56
13646,2025,ENG.W.1,19971,188447,5,0,2,2,0,0,0,0,1,1,3,0,0,0,10,2025-11-11 06:01:54
13646,2025,ENG.W.1,19970,188448,3,1,1,3,0,0,0,0,0,0,2,0,0,0,0,2025-11-11 06:01:53
13646,2025,ENG.W.1,19257,204659,6,0,2,3,1,0,0,1,0,1,5,0,0,0,7,2025-11-11 06:01:55
13646,2025,ENG.W.1,20061,208938,8,0,0,1,0,0,0,0,0,0,0,0,0,16,6,2025-11-11 06:01:55
13646,2025,ENG.W.1,19972,209174,3,0,0,1,0,0,0,0,0,0,0,0,0,7,5,2025-11-11 06:01:54
13646,2025,ENG.W.1,20707,209364,6,0,0,3,0,0,0,0,0,0,0,0,0,13,4,2025-11-11 06:01:53
13646,2025,ENG.W.1,19972,211151,8,5,0,2,0,0,0,1,4,1,7,0,0,0,10,2025-11-11 06:01:54
13646,2025,ENG.W.1,21053,211733,8,7,0,1,0,0,0,0,0,1,2,0,0,0,9,2025-11-11 06:01:55
13646,2025,ENG.W.1,21036,213939,3,0,3,0,0,0,0,0,0,0,0,0,0,0,5,2025-11-11 06:01:54
13646,2025,ENG.W.1,19973,219079,8,0,4,11,1,0,0,0,0,3,5,0,0,0,6,2025-11-11 06:01:52
13646,2025,ENG.W.1,19976,219773,7,0,0,3,0,0,0,1,0,6,8,2,0,0,6,2025-11-11 06:01:53
13646,2025,ENG.W.1,21053,219819,6,4,4,0,0,0,0,0,0,2,2,0,0,0,7,2025-11-11 06:01:55
13646,2025,ENG.W.1,19973,219822,8,0,2,3,0,0,0,1,0,0,2,0,0,0,8,2025-11-11 06:01:52
