seasonType,year,league,teamId,athleteId,appearances_value,subIns_value,foulsCommitted_value,foulsSuffered_value,yellowCards_value,redCards_value,ownGoals_value,goalAssists_value,offsides_value,shotsOnTarget_value,totalShots_value,totalGoals_value,shotsFaced_value,saves_value,goalsConceded_value,timestamp
13079,2025,FIFA.WORLDQ.UEFA,578,6327,6,0,6,3,1,0,0,1,0,2,9,1,0,0,8,2025-11-11 06:02:11
13079,2025,FIFA.WORLDQ.UEFA,476,7441,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-11-11 06:02:08
13079,2025,FIFA.WORLDQ.UEFA,580,16264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-11-11 06:02:09
13079,2025,FIFA.WORLDQ.UEFA,580,17617,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-11-11 06:02:09
13079,2025,FIFA.WORLDQ.UEFA,578,17861,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-09-30 05:09:47
13079,2025,FIFA.WORLDQ.UEFA,587,22773,6,4,9,9,1,0,0,0,1,0,3,0,0,0,3,2025-11-11 06:01:57
13079,2025,FIFA.WORLDQ.UEFA,482,22774,4,0,2,0,0,0,0,0,5,11,26,5,0,0,3,2025-11-11 06:02:08
13079,2025,FIFA.WORLDQ.UEFA,587,24278,7,0,0,1,0,0,0,0,0,0,0,0,17,25,15,2025-11-11 06:01:57
13079,2025,FIFA.WORLDQ.UEFA,587,26150,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2025-10-09 12:15:48
13079,2025,FIFA.WORLDQ.UEFA,462,30116,3,1,2,3,0,0,0,0,0,0,0,0,0,0,7,2025-11-11 06:01:59
13079,2025,FIFA.WORLDQ.UEFA,579,31969,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,2025-11-11 06:01:57
13079,2025,FIFA.WORLDQ.UEFA,579,31974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-10-09 05:13:44
13079,2025,FIFA.WORLDQ.UEFA,445,33227,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,2025-09-04 05:08:57
13079,2025,FIFA.WORLDQ.UEFA,587,35915,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-06-05 04:51:55
13079,2025,FIFA.WORLDQ.UEFA,479,40200,4,0,0,0,1,0,0,0,0,0,0,0,0,5,1,2025-11-11 06:02:00
13079,2025,FIFA.WORLDQ.UEFA,476,41011,2,0,1,2,1,0,0,0,0,0,0,0,0,0,4,2025-10-03 05:04:53
13079,2025,FIFA.WORLDQ.UEFA,476,43575,1,0,0,0,0,0,0,0,0,1,2,0,0,0,2,2025-10-03 05:04:53
13079,2025,FIFA.WORLDQ.UEFA,578,45548,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-11-11 06:02:11
13079,2025,FIFA.WORLDQ.UEFA,578,68601,4,3,2,0,0,0,0,0,0,0,4,0,0,0,4,2025-11-11 06:02:11
13079,2025,FIFA.WORLDQ.UEFA,578,72487,6,3,0,3,0,0,0,0,0,4,8,1,0,1,7,2025-11-11 06:02:11
13079,2025,FIFA.WORLDQ.UEFA,586,75642,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-11-11 06:02:07
13079,2025,FIFA.WORLDQ.UEFA,477,76762,6,3,0,4,0,0,0,2,0,2,11,1,0,0,1,2025-11-11 06:01:59
