seasonType,year,league,teamId,athleteId,appearances_value,subIns_value,foulsCommitted_value,foulsSuffered_value,yellowCards_value,redCards_value,ownGoals_value,goalAssists_value,offsides_value,shotsOnTarget_value,totalShots_value,totalGoals_value,shotsFaced_value,saves_value,goalsConceded_value,timestamp
13546,2025,FRA.1,180,10767,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-10-07 05:20:34
13546,2025,FRA.1,6997,10767,5,0,6,8,0,0,0,0,0,1,2,0,0,0,10,2025-11-11 06:05:21
13546,2025,FRA.1,180,20975,5,1,2,5,1,0,0,0,0,5,14,0,0,0,7,2025-11-11 06:05:25
13546,2025,FRA.1,273,21990,7,1,13,7,5,0,0,0,0,1,6,0,0,0,18,2025-11-11 06:05:22
13546,2025,FRA.1,179,30302,12,3,12,6,1,0,0,0,3,2,4,2,0,0,13,2025-11-11 06:05:25
13546,2025,FRA.1,174,38721,5,1,4,10,1,0,0,3,0,0,4,0,0,0,5,2025-11-11 06:05:20
13546,2025,FRA.1,179,77072,11,1,10,2,2,0,0,0,0,0,1,0,0,0,16,2025-11-11 06:05:25
13546,2025,FRA.1,6851,86255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-11-11 06:05:24
13546,2025,FRA.1,166,88965,10,1,15,14,1,0,0,1,3,6,22,2,0,0,12,2025-11-11 06:05:22
13546,2025,FRA.1,169,97867,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-09-02 05:06:45
13546,2025,FRA.1,175,101451,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-11-11 06:05:22
13546,2025,FRA.1,6997,112988,7,1,0,2,0,0,0,0,0,0,3,0,0,0,9,2025-11-11 06:05:21
13546,2025,FRA.1,176,118279,1,0,2,2,0,0,0,0,0,0,5,0,0,0,0,2025-08-25 04:54:48
13546,2025,FRA.1,165,121406,4,2,3,1,1,0,0,0,0,1,3,0,0,0,0,2025-11-11 06:05:23
13546,2025,FRA.1,176,122260,10,4,6,5,0,0,0,2,4,8,16,4,0,0,8,2025-11-11 06:05:23
13546,2025,FRA.1,6851,122280,2,0,0,1,0,0,0,0,0,0,0,0,0,3,2,2025-11-11 06:05:24
13546,2025,FRA.1,166,123683,10,0,19,10,5,0,0,1,0,2,12,1,0,0,9,2025-11-11 06:05:22
13546,2025,FRA.1,6851,127572,3,2,0,1,0,0,0,0,0,0,0,0,0,0,1,2025-11-11 06:05:24
13546,2025,FRA.1,7868,127828,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2025-11-11 06:05:21
13546,2025,FRA.1,165,129859,10,6,11,11,0,0,0,0,3,3,5,2,0,0,5,2025-11-11 06:05:23
13546,2025,FRA.1,2502,130165,2,0,2,1,0,0,0,0,1,1,2,0,0,0,1,2025-11-11 06:05:24
13546,2025,FRA.1,165,131743,11,0,0,8,1,0,0,0,0,0,1,0,0,43,16,2025-11-11 06:05:23
13546,2025,FRA.1,174,134169,3,0,0,0,0,0,0,0,0,0,0,0,0,4,4,2025-11-11 06:05:20
13546,2025,FRA.1,273,137397,2,0,2,3,1,0,0,0,0,0,0,0,0,0,1,2025-09-02 05:06:43
13546,2025,FRA.1,7868,137403,8,4,4,3,0,0,0,0,0,0,2,0,0,0,4,2025-11-11 06:05:21
13546,2025,FRA.1,3236,138564,11,1,11,9,1,0,0,0,2,1,8,0,0,0,14,2025-11-11 06:05:21
13546,2025,FRA.1,273,139363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-11-11 06:05:22
13546,2025,FRA.1,167,142743,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-11-11 06:05:22
13546,2025,FRA.1,177,144280,8,2,7,6,0,0,0,0,0,0,4,0,0,0,17,2025-11-11 06:05:23
13546,2025,FRA.1,167,145190,10,4,16,18,1,1,0,1,2,1,7,0,0,0,7,2025-11-11 06:05:22
13546,2025,FRA.1,177,150283,6,2,1,1,0,0,0,0,0,0,2,0,0,0,10,2025-11-11 06:05:23
13546,2025,FRA.1,166,150451,10,1,10,7,3,0,0,0,0,0,3,0,0,0,10,2025-11-11 06:05:22
13546,2025,FRA.1,176,152270,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2025-11-11 06:05:23
13546,2025,FRA.1,174,155532,6,0,6,3,0,0,0,0,0,2,3,1,0,0,11,2025-11-11 06:05:20
13546,2025,FRA.1,175,156898,12,1,5,16,3,0,0,2,2,8,19,2,0,0,9,2025-11-11 06:05:22
13546,2025,FRA.1,2502,157963,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-11-11 06:05:24
