seasonType,year,league,teamId,athleteId,appearances_value,subIns_value,foulsCommitted_value,foulsSuffered_value,yellowCards_value,redCards_value,ownGoals_value,goalAssists_value,offsides_value,shotsOnTarget_value,totalShots_value,totalGoals_value,shotsFaced_value,saves_value,goalsConceded_value,timestamp
13623,2025,FRA.W.1,22329,108824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-11-11 06:05:38
13623,2025,FRA.W.1,19256,119954,4,2,6,1,1,0,0,0,0,1,1,0,0,0,1,2025-11-11 06:05:37
13623,2025,FRA.W.1,21639,158690,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-11-11 06:05:34
13623,2025,FRA.W.1,19256,158816,4,0,3,2,0,0,0,0,0,3,8,1,0,0,3,2025-11-11 06:05:37
13623,2025,FRA.W.1,21635,158818,7,0,1,1,4,0,0,0,0,0,0,0,0,23,10,2025-11-11 06:05:35
13623,2025,FRA.W.1,21637,176015,6,0,5,6,1,0,0,0,0,0,1,0,0,0,4,2025-11-11 06:05:35
13623,2025,FRA.W.1,19256,188067,7,3,2,1,1,0,0,2,0,11,19,2,0,0,2,2025-11-11 06:05:37
13623,2025,FRA.W.1,21963,209173,3,2,2,3,1,0,0,0,0,0,1,0,0,0,1,2025-11-11 06:05:38
13623,2025,FRA.W.1,19256,219121,6,3,2,1,1,0,0,1,0,5,8,1,0,0,3,2025-11-11 06:05:37
13623,2025,FRA.W.1,131298,219880,7,0,6,3,1,0,0,1,0,5,8,3,0,0,14,2025-11-11 06:05:36
13623,2025,FRA.W.1,19258,219934,6,0,2,4,1,0,0,0,0,1,4,1,0,0,9,2025-11-11 06:05:37
13623,2025,FRA.W.1,22329,220028,7,0,7,2,1,1,0,0,0,0,0,0,0,0,7,2025-11-11 06:05:38
13623,2025,FRA.W.1,21638,225064,6,0,3,7,0,0,0,0,0,1,2,0,0,0,15,2025-11-11 06:05:36
13623,2025,FRA.W.1,131297,227358,7,2,2,5,0,0,0,0,0,4,8,2,0,0,17,2025-11-11 06:05:35
13623,2025,FRA.W.1,19258,227388,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-11-11 06:05:37
13623,2025,FRA.W.1,131297,227397,7,0,5,10,2,0,0,0,0,0,1,0,0,0,24,2025-11-11 06:05:35
13623,2025,FRA.W.1,19256,228716,5,0,7,4,0,0,0,0,0,4,11,3,0,0,4,2025-11-11 06:05:37
13623,2025,FRA.W.1,131298,234763,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-11-11 06:05:36
13623,2025,FRA.W.1,19258,235658,7,3,2,2,0,0,0,0,0,2,2,0,0,0,7,2025-11-11 06:05:37
