seasonType,year,league,teamId,athleteId,appearances_value,subIns_value,foulsCommitted_value,foulsSuffered_value,yellowCards_value,redCards_value,ownGoals_value,goalAssists_value,offsides_value,shotsOnTarget_value,totalShots_value,totalGoals_value,shotsFaced_value,saves_value,goalsConceded_value,timestamp
13547,2025,GER.1,270,79941,10,0,0,0,0,0,0,0,0,0,0,0,0,38,20,2025-11-11 06:05:12
13547,2025,GER.1,132,84774,9,0,0,1,0,0,0,0,0,0,0,0,0,14,6,2025-11-11 06:05:09
13547,2025,GER.1,127,88865,5,1,8,6,1,2,0,1,0,1,11,0,0,0,7,2025-11-11 06:05:11
13547,2025,GER.1,132,113733,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-11-11 06:05:09
13547,2025,GER.1,11420,119620,10,0,0,0,0,0,0,0,0,0,0,0,0,23,13,2025-11-11 06:05:11
13547,2025,GER.1,125,120829,10,3,8,8,0,0,0,2,0,4,6,1,0,0,15,2025-11-11 06:05:10
13547,2025,GER.1,122,121007,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2025-11-11 06:05:11
13547,2025,GER.1,268,122273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-11-11 06:05:10
13547,2025,GER.1,126,122292,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-11-11 06:05:12
13547,2025,GER.1,125,122396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-11-11 06:05:10
13547,2025,GER.1,124,132659,9,3,9,3,0,0,0,1,0,1,8,0,0,0,4,2025-11-11 06:05:09
13547,2025,GER.1,2950,134103,8,0,7,7,1,0,0,0,8,4,13,1,0,0,15,2025-11-11 06:05:11
13547,2025,GER.1,7911,138213,10,0,0,2,0,0,0,0,0,0,0,0,0,32,16,2025-11-11 06:05:12
13547,2025,GER.1,7911,139520,10,3,3,8,1,0,0,3,0,8,13,3,0,0,11,2025-11-11 06:05:12
13547,2025,GER.1,3841,140624,5,1,3,0,2,0,0,0,0,1,2,0,0,0,10,2025-11-11 06:05:10
13547,2025,GER.1,11420,141055,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-11-11 06:05:11
13547,2025,GER.1,132,142200,10,1,8,18,0,0,0,3,9,20,34,13,0,0,6,2025-11-11 06:05:09
13547,2025,GER.1,125,143020,7,7,0,3,0,0,0,0,0,0,2,0,0,0,7,2025-11-11 06:05:10
13547,2025,GER.1,138,144130,7,3,1,0,0,0,0,1,0,3,9,0,0,0,8,2025-11-11 06:05:13
13547,2025,GER.1,2950,144620,8,4,8,1,1,0,0,0,1,0,3,0,0,0,8,2025-11-11 06:05:11
13547,2025,GER.1,598,146485,9,1,17,6,5,0,0,1,0,0,2,0,0,0,11,2025-11-11 06:05:08
13547,2025,GER.1,6418,149276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-11-11 06:05:08
13547,2025,GER.1,2950,149297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-11-11 06:05:11
13547,2025,GER.1,126,149570,3,3,1,0,0,0,0,0,0,0,1,0,0,0,1,2025-11-11 06:05:12
13547,2025,GER.1,138,149841,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-11-11 06:05:13
13547,2025,GER.1,122,151464,7,5,2,4,0,0,0,0,0,2,6,1,0,0,4,2025-11-11 06:05:11
13547,2025,GER.1,2950,154603,10,1,9,9,2,0,0,0,0,1,4,0,0,0,18,2025-11-11 06:05:11
13547,2025,GER.1,125,156479,4,4,2,0,0,0,0,0,1,0,1,0,0,0,2,2025-11-11 06:05:10
13547,2025,GER.1,137,157560,7,6,4,0,1,0,0,0,0,0,2,0,0,0,6,2025-11-11 06:05:13
13547,2025,GER.1,132,157688,5,2,1,1,0,0,0,1,0,0,0,0,0,0,0,2025-11-11 06:05:09
13547,2025,GER.1,124,159142,1,0,0,3,0,0,0,0,0,0,1,0,0,0,1,2025-11-11 06:05:09
13547,2025,GER.1,598,159152,10,0,17,5,3,0,0,0,1,3,5,1,0,0,16,2025-11-11 06:05:08
13547,2025,GER.1,131,161825,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-11-11 06:05:08
13547,2025,GER.1,137,162111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-11-11 06:05:13
13547,2025,GER.1,11420,162162,10,0,6,7,2,0,0,0,2,1,7,0,0,0,13,2025-11-11 06:05:11
13547,2025,GER.1,3841,162386,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-11-11 06:05:10
