seasonType,year,league,teamId,athleteId,appearances_value,subIns_value,foulsCommitted_value,foulsSuffered_value,yellowCards_value,redCards_value,ownGoals_value,goalAssists_value,offsides_value,shotsOnTarget_value,totalShots_value,totalGoals_value,shotsFaced_value,saves_value,goalsConceded_value,timestamp
13601,2025,GRE.1,21970,41190,8,2,8,7,0,1,0,1,0,1,3,0,0,0,10,2025-11-11 06:07:54
13601,2025,GRE.1,10418,44776,10,0,13,13,4,0,0,0,0,3,8,2,0,0,17,2025-11-11 06:07:51
13601,2025,GRE.1,11431,77131,10,0,14,8,2,0,0,1,0,1,5,1,0,0,13,2025-11-11 06:07:54
13601,2025,GRE.1,11431,77266,10,3,8,8,2,0,0,0,0,4,14,2,0,0,6,2025-11-11 06:07:54
13601,2025,GRE.1,605,107000,7,5,8,3,1,0,0,0,0,4,8,0,0,0,3,2025-11-11 06:07:53
13601,2025,GRE.1,21969,113188,6,3,5,3,3,0,0,0,0,0,1,0,0,0,7,2025-11-11 06:07:51
13601,2025,GRE.1,605,117239,10,2,13,3,1,0,0,2,0,6,13,5,0,0,4,2025-11-11 06:07:53
13601,2025,GRE.1,605,119088,5,0,1,7,0,0,0,1,0,0,2,0,0,0,3,2025-11-11 06:07:53
13601,2025,GRE.1,605,123560,9,0,9,1,0,0,0,0,0,0,4,0,0,0,7,2025-11-11 06:07:53
13601,2025,GRE.1,8354,123651,9,0,10,7,2,0,0,1,0,4,10,3,0,0,12,2025-11-11 06:07:50
13601,2025,GRE.1,21969,127362,6,1,8,7,2,0,0,1,0,1,1,0,0,0,4,2025-11-11 06:07:51
13601,2025,GRE.1,6790,129806,6,6,0,3,0,0,0,0,0,1,4,0,0,0,0,2025-11-11 06:07:51
13601,2025,GRE.1,21969,131766,8,1,14,10,4,0,0,0,0,1,5,0,0,0,9,2025-11-11 06:07:51
13601,2025,GRE.1,11553,131983,7,0,3,0,0,0,0,0,0,1,7,1,0,0,8,2025-11-11 06:07:50
13601,2025,GRE.1,6790,134049,6,3,3,6,1,0,0,0,0,0,2,0,0,0,5,2025-11-11 06:07:51
13601,2025,GRE.1,11431,135943,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-11-11 06:07:54
13601,2025,GRE.1,435,136688,7,4,8,5,1,0,0,1,0,1,5,0,0,0,2,2025-11-11 06:07:52
13601,2025,GRE.1,443,137076,9,1,22,17,4,0,0,0,0,3,10,1,0,0,7,2025-11-11 06:07:53
13601,2025,GRE.1,11431,139465,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-11-11 06:07:54
13601,2025,GRE.1,887,142738,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-11-11 06:07:49
13601,2025,GRE.1,435,143223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-11-11 06:07:52
13601,2025,GRE.1,11553,146614,3,1,2,2,1,0,0,0,0,0,3,0,0,0,2,2025-11-11 06:07:50
13601,2025,GRE.1,887,148110,6,0,9,4,3,0,0,0,0,3,7,0,0,0,6,2025-11-11 06:07:49
13601,2025,GRE.1,8354,152192,5,1,7,0,2,0,0,0,0,0,4,0,0,0,6,2025-11-11 06:07:50
13601,2025,GRE.1,11431,152193,5,0,5,7,1,0,0,0,0,1,1,1,0,0,8,2025-11-11 06:07:54
13601,2025,GRE.1,887,152474,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,2025-11-11 06:07:49
13601,2025,GRE.1,5276,154751,3,1,1,0,0,0,0,0,0,0,1,0,0,0,2,2025-11-11 06:07:52
13601,2025,GRE.1,5276,155082,10,6,10,6,1,0,0,0,0,8,9,6,0,0,4,2025-11-11 06:07:52
13601,2025,GRE.1,11553,161067,6,3,3,1,0,0,0,1,0,0,0,0,0,0,3,2025-11-11 06:07:50
13601,2025,GRE.1,605,164167,10,0,13,13,1,0,0,0,0,1,5,0,0,0,7,2025-11-11 06:07:53
13601,2025,GRE.1,443,166257,6,5,2,4,1,0,0,0,0,0,1,0,0,0,5,2025-11-11 06:07:53
13601,2025,GRE.1,887,169402,7,3,5,8,0,0,0,0,0,1,4,0,0,0,4,2025-11-11 06:07:49
13601,2025,GRE.1,10418,170491,7,3,18,10,3,0,0,0,0,3,10,0,0,0,7,2025-11-11 06:07:51
13601,2025,GRE.1,6790,170562,5,5,0,0,1,0,0,1,0,2,6,0,0,0,1,2025-11-11 06:07:51
13601,2025,GRE.1,6790,172923,7,0,8,3,1,0,0,1,0,0,0,0,0,0,6,2025-11-11 06:07:51
13601,2025,GRE.1,435,173401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-11-11 06:07:52
13601,2025,GRE.1,605,174508,6,1,5,7,1,0,0,1,0,1,3,1,0,0,4,2025-11-11 06:07:53
13601,2025,GRE.1,6790,174972,4,0,5,2,3,0,0,0,0,0,1,0,0,0,4,2025-11-11 06:07:51
13601,2025,GRE.1,5276,175104,7,3,8,9,0,1,0,0,0,0,3,0,0,0,6,2025-11-11 06:07:52
13601,2025,GRE.1,887,175264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-11-11 06:07:49
13601,2025,GRE.1,443,176747,7,1,13,14,3,0,0,2,0,3,14,0,0,0,3,2025-11-11 06:07:53
13601,2025,GRE.1,8354,176917,9,0,0,3,1,0,0,0,0,0,0,0,0,22,14,2025-11-11 06:07:50
13601,2025,GRE.1,1010,177770,7,3,5,11,1,0,0,2,0,5,6,2,0,0,5,2025-11-11 06:07:52
13601,2025,GRE.1,11553,178726,8,8,6,7,1,0,0,1,0,3,4,0,0,0,4,2025-11-11 06:07:50
13601,2025,GRE.1,11553,178731,7,0,0,1,0,0,0,0,0,0,0,0,0,12,6,2025-11-11 06:07:50
