seasonType,year,league,teamId,athleteId,appearances_value,subIns_value,foulsCommitted_value,foulsSuffered_value,yellowCards_value,redCards_value,ownGoals_value,goalAssists_value,offsides_value,shotsOnTarget_value,totalShots_value,totalGoals_value,shotsFaced_value,saves_value,goalsConceded_value,timestamp
13654,2025,ITA.2,11137,26202,3,2,6,0,0,0,0,0,0,0,1,0,0,0,4,2025-11-11 06:06:01
13654,2025,ITA.2,3337,36884,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-11-11 06:05:56
13654,2025,ITA.2,11139,41781,7,2,1,3,1,0,0,0,0,0,2,0,0,0,8,2025-11-11 06:06:00
13654,2025,ITA.2,2574,79852,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-11-11 06:05:56
13654,2025,ITA.2,3290,89286,12,2,8,13,0,0,0,2,0,9,20,3,0,0,20,2025-11-11 06:05:59
13654,2025,ITA.2,3988,94817,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-11-11 06:05:55
13654,2025,ITA.2,2734,107568,12,2,32,7,5,0,0,0,0,4,17,1,0,0,16,2025-11-11 06:06:00
13654,2025,ITA.2,3290,119285,11,0,15,8,2,1,0,0,0,0,4,0,0,0,23,2025-11-11 06:05:59
13654,2025,ITA.2,11137,119398,11,0,0,1,0,0,0,0,0,0,0,0,0,29,14,2025-11-11 06:06:01
13654,2025,ITA.2,2734,120643,12,4,3,3,0,0,0,2,0,12,35,4,0,0,12,2025-11-11 06:06:00
13654,2025,ITA.2,11139,122121,3,0,0,1,0,0,0,0,0,0,0,0,0,8,5,2025-11-11 06:06:00
13654,2025,ITA.2,3942,123552,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-11-11 06:05:59
13654,2025,ITA.2,3988,125004,1,0,1,0,0,0,0,0,0,0,0,0,0,0,3,2025-11-11 06:05:55
13654,2025,ITA.2,2573,129881,12,0,0,3,1,0,0,0,0,0,0,0,0,24,8,2025-11-11 06:05:57
13654,2025,ITA.2,11137,130732,12,0,16,7,4,0,0,0,0,3,8,1,0,0,15,2025-11-11 06:06:01
13654,2025,ITA.2,4007,131209,12,2,15,11,2,0,0,1,0,3,12,0,0,0,6,2025-11-11 06:05:58
13654,2025,ITA.2,3257,132070,8,4,3,5,0,0,0,0,0,1,3,0,0,0,4,2025-11-11 06:05:55
13654,2025,ITA.2,2734,134433,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-11-11 06:06:00
13654,2025,ITA.2,106,135258,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,2025-11-11 06:05:55
13654,2025,ITA.2,2923,138836,1,0,0,1,0,0,0,0,0,0,0,0,0,2,1,2025-11-11 06:05:59
13654,2025,ITA.2,3257,139418,12,1,8,6,2,0,0,2,0,9,25,3,0,0,11,2025-11-11 06:05:55
13654,2025,ITA.2,4055,139543,9,0,0,3,0,0,0,0,0,0,0,0,0,27,15,2025-11-11 06:06:01
13654,2025,ITA.2,4055,142814,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-11-11 06:06:01
13654,2025,ITA.2,4055,142897,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-11-11 06:06:01
