seasonType,year,league,teamId,athleteId,appearances_value,subIns_value,foulsCommitted_value,foulsSuffered_value,yellowCards_value,redCards_value,ownGoals_value,goalAssists_value,offsides_value,shotsOnTarget_value,totalShots_value,totalGoals_value,shotsFaced_value,saves_value,goalsConceded_value,timestamp
13085,2025,JPN.1,7112,90660,27,16,12,13,3,0,0,1,0,5,22,1,0,0,15,2025-11-11 06:06:46
13085,2025,JPN.1,7145,98670,15,14,7,1,0,0,0,0,0,2,3,1,0,0,3,2025-11-11 06:06:50
13085,2025,JPN.1,7108,102137,14,0,0,3,1,0,0,0,0,0,0,0,0,39,25,2025-11-11 06:06:47
13085,2025,JPN.1,7109,102139,31,13,16,13,3,0,0,2,0,3,19,2,0,0,28,2025-11-11 06:06:44
13085,2025,JPN.1,7112,102608,3,0,0,0,0,0,0,0,0,0,0,0,0,5,5,2025-11-11 06:06:46
13085,2025,JPN.1,7102,117024,24,13,19,7,2,0,0,0,0,9,26,4,0,0,18,2025-11-11 06:06:45
13085,2025,JPN.1,3384,119082,25,8,22,9,6,0,0,2,0,0,10,0,0,0,18,2025-11-11 06:06:44
13085,2025,JPN.1,3385,120750,34,0,0,4,1,0,1,0,0,0,0,0,0,80,33,2025-11-11 06:06:49
13085,2025,JPN.1,7107,123022,29,21,37,10,3,1,0,1,0,7,37,2,0,0,10,2025-11-11 06:06:44
13085,2025,JPN.1,7477,133286,29,9,14,52,0,0,0,3,0,24,60,7,0,0,18,2025-11-11 06:06:49
13085,2025,JPN.1,7109,134364,13,3,6,14,1,0,0,0,0,0,5,0,0,0,9,2025-11-11 06:06:44
13085,2025,JPN.1,7102,135355,29,7,18,16,1,0,0,2,0,21,58,8,0,0,40,2025-11-11 06:06:45
13085,2025,JPN.1,7114,135806,7,4,4,7,3,0,0,0,0,4,11,2,0,0,3,2025-11-11 06:06:47
13085,2025,JPN.1,7107,137006,13,8,9,22,1,0,0,0,0,4,13,1,0,0,3,2025-11-11 06:06:44
13085,2025,JPN.1,3384,138203,18,10,19,5,4,0,0,0,0,1,5,0,0,0,13,2025-11-11 06:06:44
13085,2025,JPN.1,21361,140237,17,9,11,5,2,0,0,0,0,3,6,2,0,0,9,2025-11-11 06:06:46
13085,2025,JPN.1,7108,143699,34,15,24,30,4,0,0,2,0,13,41,2,0,0,28,2025-11-11 06:06:47
13085,2025,JPN.1,7109,144012,32,9,25,19,3,0,0,4,0,17,33,4,0,0,26,2025-11-11 06:06:44
13085,2025,JPN.1,7116,148128,5,5,0,0,0,0,0,0,0,0,0,0,0,0,2,2025-09-12 05:09:28
13085,2025,JPN.1,7102,149438,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2025-11-11 06:06:45
13085,2025,JPN.1,7113,149439,4,0,5,3,1,0,0,0,0,1,3,0,0,0,9,2025-11-11 06:06:43
13085,2025,JPN.1,7109,149443,9,1,0,0,0,0,0,0,0,0,0,0,0,22,16,2025-11-11 06:06:44
13085,2025,JPN.1,7112,149469,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-11-11 06:06:46
13085,2025,JPN.1,7113,150062,11,3,6,9,0,0,0,1,0,3,7,0,0,0,10,2025-11-11 06:06:43
13085,2025,JPN.1,7116,150063,9,0,0,4,0,0,0,0,0,0,0,0,0,33,14,2025-11-11 06:06:50
