seasonType,year,league,teamId,athleteId,appearances_value,subIns_value,foulsCommitted_value,foulsSuffered_value,yellowCards_value,redCards_value,ownGoals_value,goalAssists_value,offsides_value,shotsOnTarget_value,totalShots_value,totalGoals_value,shotsFaced_value,saves_value,goalsConceded_value,timestamp
13484,2025,NED.1,151,69579,5,4,1,1,0,0,0,0,0,0,0,0,0,0,1,2025-11-11 06:07:22
13484,2025,NED.1,3735,79505,12,0,0,2,1,0,0,0,0,0,0,0,0,52,21,2025-11-11 06:07:22
13484,2025,NED.1,153,83494,12,4,8,19,1,0,0,0,0,9,22,3,0,0,7,2025-11-11 06:07:19
13484,2025,NED.1,139,83802,3,0,0,0,0,0,0,0,0,0,0,0,0,13,5,2025-11-11 06:07:17
13484,2025,NED.1,148,103485,11,0,15,2,2,0,0,5,1,7,25,1,0,0,13,2025-11-11 06:07:22
13484,2025,NED.1,147,116893,11,0,6,14,1,1,0,2,5,21,37,3,0,0,18,2025-11-11 06:07:21
13484,2025,NED.1,141,122289,11,0,5,6,0,1,0,3,1,2,8,1,0,0,15,2025-11-11 06:07:21
13484,2025,NED.1,3735,122946,8,8,1,1,0,0,0,0,0,0,0,0,0,0,3,2025-11-11 06:07:22
13484,2025,NED.1,147,122954,11,0,11,8,3,0,0,5,2,8,21,3,0,0,13,2025-11-11 06:07:21
13484,2025,NED.1,152,124932,12,0,24,19,2,0,0,0,3,14,27,6,0,0,18,2025-11-11 06:07:18
13484,2025,NED.1,152,125136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-11-11 06:07:18
13484,2025,NED.1,2727,125279,4,4,2,1,0,0,0,0,0,0,0,0,0,0,1,2025-11-11 06:07:19
13484,2025,NED.1,140,130177,2,1,0,0,0,0,0,0,0,0,0,0,0,6,2,2025-11-11 06:07:17
13484,2025,NED.1,153,131354,10,2,6,1,0,0,0,0,0,1,8,0,0,0,11,2025-11-11 06:07:19
13484,2025,NED.1,143,132666,10,2,5,8,1,0,0,2,1,0,1,0,0,0,14,2025-11-11 06:07:19
13484,2025,NED.1,141,137780,1,0,0,0,0,0,0,0,0,0,0,0,0,2,3,2025-11-11 06:07:21
13484,2025,NED.1,147,137783,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-11-11 06:07:21
13484,2025,NED.1,151,138746,8,2,1,1,1,0,0,3,0,3,7,1,0,0,13,2025-11-11 06:07:22
13484,2025,NED.1,151,142517,10,1,5,3,5,0,0,0,1,1,9,0,0,0,19,2025-11-11 06:07:22
13484,2025,NED.1,2727,144339,10,0,8,1,0,0,0,1,0,0,1,0,0,0,14,2025-11-11 06:07:19
13484,2025,NED.1,152,148868,12,0,0,2,0,0,0,0,0,0,0,0,0,24,18,2025-11-11 06:07:18
13484,2025,NED.1,151,149301,11,0,12,9,1,1,0,0,0,2,3,0,0,0,22,2025-11-11 06:07:22
13484,2025,NED.1,139,149577,8,3,3,4,0,0,0,2,1,10,20,1,0,0,4,2025-11-11 06:07:17
13484,2025,NED.1,140,150166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-11-11 06:07:17
13484,2025,NED.1,140,150199,7,1,6,3,2,1,0,0,0,2,3,0,0,0,9,2025-11-11 06:07:17
13484,2025,NED.1,3708,150207,8,5,5,4,0,0,0,0,0,1,2,1,0,0,12,2025-11-11 06:07:21
13484,2025,NED.1,143,151900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-11-11 06:07:19
13484,2025,NED.1,3708,152154,10,5,10,7,0,0,0,0,4,3,12,1,0,0,17,2025-11-11 06:07:21
13484,2025,NED.1,3706,153764,9,0,7,0,1,0,0,0,1,4,7,2,0,0,16,2025-11-11 06:07:20
13484,2025,NED.1,147,154521,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-11-11 06:07:21
13484,2025,NED.1,143,155965,12,0,1,0,3,0,0,0,0,0,0,0,0,50,20,2025-11-11 06:07:19
13484,2025,NED.1,2565,156146,10,0,10,17,2,0,0,0,0,1,8,0,0,0,17,2025-11-11 06:07:22
13484,2025,NED.1,147,156836,11,7,6,8,0,0,0,2,3,3,7,1,0,0,10,2025-11-11 06:07:21
13484,2025,NED.1,143,156838,11,9,12,2,1,0,0,1,5,5,13,4,0,0,9,2025-11-11 06:07:19
13484,2025,NED.1,2566,157478,11,8,10,2,2,0,0,0,0,2,11,1,0,0,12,2025-11-11 06:07:18
13484,2025,NED.1,153,158143,9,0,6,7,0,0,0,0,0,2,6,0,0,0,9,2025-11-11 06:07:19
13484,2025,NED.1,141,159244,5,4,1,3,0,0,1,0,0,0,0,0,0,0,6,2025-11-11 06:07:21
13484,2025,NED.1,146,159252,12,0,17,11,3,0,0,1,2,1,7,0,0,0,21,2025-11-11 06:07:20
13484,2025,NED.1,153,164171,10,5,10,15,0,0,0,1,3,4,14,1,0,0,9,2025-11-11 06:07:19
13484,2025,NED.1,145,164264,10,10,3,0,0,0,0,0,1,2,5,1,0,0,2,2025-11-11 06:07:18
13484,2025,NED.1,2727,164393,11,7,5,1,0,0,0,0,0,3,7,1,0,0,11,2025-11-11 06:07:19
13484,2025,NED.1,141,164865,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-11-11 06:07:21
13484,2025,NED.1,151,167731,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-11-11 06:07:22
13484,2025,NED.1,148,168318,2,0,0,1,0,0,0,1,2,0,2,0,0,0,1,2025-11-11 06:07:22
13484,2025,NED.1,139,168993,12,6,6,7,1,0,0,1,0,3,11,2,0,0,9,2025-11-11 06:07:17
13484,2025,NED.1,152,169050,12,0,19,9,5,0,0,0,0,3,16,0,0,0,17,2025-11-11 06:07:18
13484,2025,NED.1,139,169661,1,0,0,3,0,0,0,0,0,1,1,0,0,0,0,2025-10-01 05:09:23
13484,2025,NED.1,153,177022,2,1,0,0,0,0,0,0,0,0,0,0,0,3,3,2025-11-11 06:07:19
13484,2025,NED.1,139,177042,11,1,24,16,3,0,0,1,11,10,28,6,0,0,14,2025-11-11 06:07:17
13484,2025,NED.1,2727,177058,12,4,7,20,2,0,0,1,0,5,16,1,0,0,12,2025-11-11 06:07:19
13484,2025,NED.1,145,179181,12,0,20,10,3,0,0,0,4,3,8,1,0,0,16,2025-11-11 06:07:18
13484,2025,NED.1,3735,181345,8,1,8,9,0,0,0,1,0,1,8,0,0,0,11,2025-11-11 06:07:22
13484,2025,NED.1,142,182424,12,0,0,1,3,0,0,0,0,0,0,0,0,19,12,2025-11-11 06:07:19
13484,2025,NED.1,2727,184150,12,0,8,2,0,0,0,1,10,9,27,4,0,0,19,2025-11-11 06:07:19
13484,2025,NED.1,152,187956,7,4,3,3,1,0,0,1,0,6,8,1,0,0,6,2025-11-11 06:07:18
13484,2025,NED.1,152,188458,6,6,0,2,0,0,0,0,0,1,3,0,0,0,4,2025-11-11 06:07:18
13484,2025,NED.1,148,190976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-11-11 06:07:22
13484,2025,NED.1,146,190983,4,0,0,1,0,0,0,0,0,0,0,0,0,11,7,2025-11-11 06:07:20
13484,2025,NED.1,141,190996,11,9,3,2,1,0,0,0,0,3,5,0,0,0,5,2025-11-11 06:07:21
13484,2025,NED.1,145,191304,3,0,0,0,0,0,0,0,0,0,0,0,0,9,9,2025-11-11 06:07:18
13484,2025,NED.1,3708,193763,12,0,5,5,2,0,0,0,0,2,5,1,0,0,31,2025-11-11 06:07:21
13484,2025,NED.1,3706,195502,9,9,4,1,0,0,0,0,1,1,5,1,0,0,2,2025-11-11 06:07:20
13484,2025,NED.1,143,196353,12,3,6,6,1,0,0,1,1,8,26,0,0,0,12,2025-11-11 06:07:19
13484,2025,NED.1,2566,196688,10,0,0,2,0,0,0,0,0,0,0,0,0,45,13,2025-11-11 06:07:18
13484,2025,NED.1,3735,200158,12,0,13,5,1,0,0,2,1,3,9,1,0,0,20,2025-11-11 06:07:22
13484,2025,NED.1,147,200194,6,4,4,3,0,0,0,0,2,3,6,1,0,0,5,2025-11-11 06:07:21
13484,2025,NED.1,142,205024,5,4,3,1,1,0,0,1,1,2,6,0,0,0,1,2025-11-11 06:07:19
13484,2025,NED.1,142,205653,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-11-11 06:07:19
13484,2025,NED.1,3735,205654,4,4,1,1,0,1,0,0,0,0,3,0,0,0,0,2025-11-11 06:07:22
13484,2025,NED.1,3708,205952,8,5,5,4,1,1,0,0,1,3,5,0,0,0,10,2025-11-11 06:07:21
13484,2025,NED.1,145,206463,5,5,4,0,1,0,0,0,1,1,7,1,0,0,1,2025-11-11 06:07:18
13484,2025,NED.1,3735,207421,11,7,10,6,2,0,0,0,2,1,6,0,0,0,12,2025-11-11 06:07:22
13484,2025,NED.1,151,207780,12,0,1,1,1,0,0,0,0,0,1,0,0,51,24,2025-11-11 06:07:22
13484,2025,NED.1,152,214666,12,10,9,0,1,0,1,1,1,5,12,0,0,0,6,2025-11-11 06:07:18
13484,2025,NED.1,142,215172,10,8,6,0,2,0,0,0,0,0,1,0,0,0,2,2025-11-11 06:07:19
13484,2025,NED.1,147,217381,4,0,3,0,0,0,0,1,0,0,2,0,0,0,4,2025-09-02 05:04:39
13484,2025,NED.1,147,218237,5,1,1,6,0,0,0,0,0,1,3,0,0,0,7,2025-11-11 06:07:21
13484,2025,NED.1,3706,218424,12,0,3,2,0,0,0,2,0,2,5,0,0,0,18,2025-11-11 06:07:20
13484,2025,NED.1,146,218528,11,0,8,8,0,1,0,2,0,4,18,1,0,0,18,2025-11-11 06:07:20
13484,2025,NED.1,3706,218529,12,0,8,27,2,0,0,1,3,4,9,1,0,0,18,2025-11-11 06:07:20
13484,2025,NED.1,3708,218627,1,1,0,1,0,0,0,0,0,0,0,0,0,0,3,2025-11-11 06:07:21
13484,2025,NED.1,151,218947,10,0,6,8,0,0,0,0,0,2,6,1,0,0,21,2025-11-11 06:07:22
13484,2025,NED.1,139,219284,2,1,3,1,0,0,0,0,1,1,2,0,0,0,1,2025-11-11 06:07:17
13484,2025,NED.1,141,221227,4,1,2,2,0,1,0,0,0,1,1,0,0,0,4,2025-11-11 06:07:21
13484,2025,NED.1,141,222274,6,3,6,5,1,0,0,0,0,0,3,0,0,0,7,2025-11-11 06:07:21
13484,2025,NED.1,151,223138,12,0,8,22,3,0,0,1,3,11,29,6,0,0,24,2025-11-11 06:07:22
13484,2025,NED.1,143,223161,12,0,10,19,1,0,0,2,5,6,8,0,0,0,16,2025-11-11 06:07:19
13484,2025,NED.1,153,223162,11,0,0,0,0,0,0,0,0,0,0,0,0,35,13,2025-11-11 06:07:19
13484,2025,NED.1,147,223312,6,0,2,3,0,0,0,2,1,1,5,1,0,0,7,2025-11-11 06:07:21
13484,2025,NED.1,152,224042,4,4,1,0,0,0,0,0,0,1,1,0,0,0,0,2025-11-11 06:07:18
13484,2025,NED.1,2565,224786,12,0,5,6,2,0,0,1,3,1,2,0,0,0,27,2025-11-11 06:07:22
13484,2025,NED.1,142,226979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-11-11 06:07:19
13484,2025,NED.1,3708,227289,11,2,7,9,3,0,0,5,0,2,8,0,0,0,25,2025-11-11 06:07:21
13484,2025,NED.1,145,227420,9,0,0,6,0,0,0,1,0,0,0,0,0,20,8,2025-11-11 06:07:18
13484,2025,NED.1,2565,227441,10,0,5,20,0,1,0,1,3,2,15,2,0,0,19,2025-11-11 06:07:22
13484,2025,NED.1,3708,230584,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-08-18 04:51:08
13484,2025,NED.1,151,231832,11,0,4,3,0,0,0,0,4,5,26,1,0,0,16,2025-11-11 06:07:22
13484,2025,NED.1,152,231832,1,0,0,1,0,0,0,0,0,0,3,0,0,0,1,2025-08-18 04:51:06
13484,2025,NED.1,147,238016,11,2,6,9,0,0,0,1,3,10,19,4,0,0,7,2025-11-11 06:07:21
13484,2025,NED.1,139,238033,7,0,4,3,1,0,0,0,0,2,4,1,0,0,8,2025-11-11 06:07:17
13484,2025,NED.1,143,238445,6,6,2,1,0,0,0,0,1,0,1,0,0,0,1,2025-11-11 06:07:19
13484,2025,NED.1,142,238878,5,3,2,1,0,0,0,1,0,1,2,0,0,0,3,2025-11-11 06:07:19
13484,2025,NED.1,148,239998,12,0,16,4,1,0,0,2,0,3,9,1,0,0,14,2025-11-11 06:07:22
13484,2025,NED.1,147,239999,7,1,10,8,2,1,0,1,0,2,3,1,0,0,4,2025-11-11 06:07:21
13484,2025,NED.1,153,240351,12,0,8,4,1,0,0,0,0,1,7,0,0,0,14,2025-11-11 06:07:19
13484,2025,NED.1,2727,240909,5,2,2,6,0,0,0,0,0,0,0,0,0,0,5,2025-11-11 06:07:19
13484,2025,NED.1,142,240911,9,5,1,3,0,0,0,0,0,1,7,0,0,0,3,2025-11-11 06:07:19
13484,2025,NED.1,148,240912,11,1,7,7,3,0,0,6,0,8,17,5,0,0,14,2025-11-11 06:07:22
13484,2025,NED.1,3735,240916,9,4,11,3,1,0,0,1,4,8,19,1,0,0,11,2025-11-11 06:07:22
13484,2025,NED.1,148,240965,12,4,7,5,0,0,0,1,4,12,30,8,0,0,13,2025-11-11 06:07:22
13484,2025,NED.1,139,241392,9,1,12,13,2,0,0,0,0,2,5,0,0,0,8,2025-11-11 06:07:17
13484,2025,NED.1,146,241526,11,4,10,4,2,0,0,0,0,1,5,1,0,0,13,2025-11-11 06:07:20
13484,2025,NED.1,2565,241527,12,0,12,12,0,0,0,3,6,15,26,6,0,0,23,2025-11-11 06:07:22
13484,2025,NED.1,148,245805,8,1,4,11,0,0,0,4,0,6,11,2,0,0,6,2025-11-11 06:07:22
13484,2025,NED.1,142,245857,11,0,12,9,2,1,0,0,0,0,7,0,0,0,11,2025-11-11 06:07:19
13484,2025,NED.1,148,245918,6,5,0,3,0,0,0,0,0,1,3,0,0,0,0,2025-11-11 06:07:22
13484,2025,NED.1,142,248677,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-10-01 05:09:25
13484,2025,NED.1,153,250528,6,2,10,2,1,0,0,0,3,4,8,2,0,0,6,2025-11-11 06:07:19
13484,2025,NED.1,143,250529,9,4,9,3,2,0,0,0,2,6,14,1,0,0,7,2025-11-11 06:07:19
13484,2025,NED.1,143,250659,12,2,15,6,2,0,0,0,1,2,6,0,0,0,17,2025-11-11 06:07:19
13484,2025,NED.1,143,251691,11,1,13,10,0,0,0,0,3,4,11,3,0,0,13,2025-11-11 06:07:19
13484,2025,NED.1,153,251979,11,4,13,8,1,0,0,0,0,5,15,3,0,0,10,2025-11-11 06:07:19
13484,2025,NED.1,146,253396,12,1,5,10,0,0,0,1,5,11,32,5,0,0,18,2025-11-11 06:07:20
13484,2025,NED.1,147,255340,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-08-22 04:55:38
13484,2025,NED.1,3708,255662,8,0,0,0,0,0,0,0,0,0,0,0,0,37,20,2025-11-11 06:07:21
13484,2025,NED.1,3706,255740,12,0,0,2,0,0,1,0,0,0,0,0,0,47,18,2025-11-11 06:07:20
13484,2025,NED.1,3706,258453,12,1,4,7,1,0,0,0,1,8,17,3,0,0,14,2025-11-11 06:07:20
13484,2025,NED.1,141,258967,12,0,18,19,3,0,0,2,2,5,12,1,0,0,21,2025-11-11 06:07:21
13484,2025,NED.1,148,259136,9,1,2,4,0,0,0,5,0,2,5,1,0,0,7,2025-11-11 06:07:22
13484,2025,NED.1,148,259143,1,1,0,0,0,0,0,0,0,2,3,1,0,0,1,2025-11-11 06:07:22
13484,2025,NED.1,2727,260446,11,6,4,6,0,0,0,0,1,2,9,1,0,0,7,2025-11-11 06:07:19
13484,2025,NED.1,145,261212,10,0,5,4,1,0,0,2,0,4,5,2,0,0,12,2025-11-11 06:07:18
13484,2025,NED.1,3706,261584,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-11-11 06:07:20
