seasonType,year,league,teamId,athleteId,appearances_value,subIns_value,foulsCommitted_value,foulsSuffered_value,yellowCards_value,redCards_value,ownGoals_value,goalAssists_value,offsides_value,shotsOnTarget_value,totalShots_value,totalGoals_value,shotsFaced_value,saves_value,goalsConceded_value,timestamp
13589,2025,NED.W.1,20796,95226,7,0,1,1,1,0,0,1,0,6,10,4,0,0,2,2025-11-11 06:02:28
13589,2025,NED.W.1,20114,219951,6,0,7,9,0,0,0,6,2,14,31,2,0,0,4,2025-11-11 06:02:28
13589,2025,NED.W.1,21977,219955,6,0,3,5,1,0,0,0,7,13,25,3,0,0,9,2025-11-11 06:02:27
13589,2025,NED.W.1,20800,235656,6,1,8,2,1,0,0,1,2,4,10,1,0,0,12,2025-11-11 06:02:29
13589,2025,NED.W.1,20802,235660,3,2,0,1,1,0,1,0,0,0,0,0,0,0,1,2025-11-11 06:02:30
13589,2025,NED.W.1,20797,242307,6,0,2,2,0,0,0,4,11,11,21,2,0,0,9,2025-11-11 06:02:30
13589,2025,NED.W.1,20802,250645,5,0,1,0,0,0,0,0,0,2,3,1,0,0,4,2025-11-11 06:02:30
13589,2025,NED.W.1,20802,252364,6,0,1,1,0,0,0,4,1,5,9,1,0,0,6,2025-11-11 06:02:30
13589,2025,NED.W.1,20798,257446,6,0,1,3,0,0,0,0,0,0,0,0,0,27,18,2025-11-11 06:02:27
13589,2025,NED.W.1,20802,257550,7,0,0,1,0,0,0,0,0,0,0,0,0,15,6,2025-11-11 06:02:30
13589,2025,NED.W.1,20114,257565,6,0,0,0,0,0,0,0,0,0,0,0,0,14,4,2025-11-11 06:02:28
13589,2025,NED.W.1,21978,264732,6,1,2,1,0,0,0,0,0,0,0,0,0,0,6,2025-11-11 06:02:28
13589,2025,NED.W.1,20984,270057,6,0,3,3,0,0,0,1,5,2,6,1,0,0,3,2025-11-11 06:02:29
13589,2025,NED.W.1,20984,287380,6,0,4,5,1,0,0,0,3,6,18,2,0,0,4,2025-11-11 06:02:29
13589,2025,NED.W.1,20797,292684,6,0,2,2,0,0,0,0,0,0,1,0,0,0,9,2025-11-11 06:02:30
13589,2025,NED.W.1,20984,295646,6,0,0,1,0,0,0,0,0,0,0,0,0,18,5,2025-11-11 06:02:29
13589,2025,NED.W.1,20114,295877,6,0,1,4,0,0,0,0,1,0,3,0,0,0,4,2025-11-11 06:02:28
13589,2025,NED.W.1,20984,295890,2,0,2,0,0,0,0,0,0,1,2,0,0,0,2,2025-11-11 06:02:29
13589,2025,NED.W.1,20802,309080,7,0,5,10,0,0,0,1,1,15,26,8,0,0,6,2025-11-11 06:02:30
13589,2025,NED.W.1,20796,309844,7,0,8,4,0,0,0,0,0,1,3,0,0,0,2,2025-11-11 06:02:28
13589,2025,NED.W.1,20984,309845,6,0,6,6,1,0,0,1,0,0,2,0,0,0,5,2025-11-11 06:02:29
13589,2025,NED.W.1,20984,309849,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-11-11 06:02:29
13589,2025,NED.W.1,21978,309850,2,1,0,3,0,0,0,0,0,0,0,0,0,0,3,2025-11-11 06:02:28
13589,2025,NED.W.1,21977,309856,6,0,5,0,0,0,0,0,0,1,4,0,0,0,8,2025-11-11 06:02:27
13589,2025,NED.W.1,21978,309859,6,0,4,4,2,0,0,4,1,6,22,3,0,0,8,2025-11-11 06:02:28
13589,2025,NED.W.1,20802,309860,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2025-11-11 06:02:30
13589,2025,NED.W.1,20802,309861,7,1,2,9,0,0,0,1,3,5,11,2,0,0,5,2025-11-11 06:02:30
13589,2025,NED.W.1,20800,309866,6,1,6,0,1,0,0,1,0,1,3,0,0,0,12,2025-11-11 06:02:29
13589,2025,NED.W.1,131397,309868,6,0,7,3,0,0,0,0,0,0,0,0,0,0,16,2025-11-11 06:02:29
13589,2025,NED.W.1,21977,309869,6,0,12,4,1,0,0,2,1,0,0,0,0,0,8,2025-11-11 06:02:27
13589,2025,NED.W.1,20984,309871,3,1,1,1,0,0,0,0,0,1,4,1,0,0,1,2025-11-11 06:02:29
13589,2025,NED.W.1,131397,309872,5,0,6,5,1,0,0,2,5,6,7,1,0,0,14,2025-11-11 06:02:29
13589,2025,NED.W.1,20114,309875,3,2,1,0,0,0,0,1,0,3,7,0,0,0,0,2025-11-11 06:02:28
13589,2025,NED.W.1,22538,309893,6,1,3,3,0,0,0,0,0,0,2,0,0,0,20,2025-11-11 06:02:30
13589,2025,NED.W.1,20796,309894,7,2,3,1,0,0,0,0,0,1,4,0,0,0,1,2025-11-11 06:02:28
13589,2025,NED.W.1,22538,309902,3,2,1,0,0,0,0,0,0,0,1,0,0,0,3,2025-11-11 06:02:30
13589,2025,NED.W.1,21977,309914,5,5,2,1,1,0,0,0,2,3,6,1,0,0,1,2025-11-11 06:02:27
13589,2025,NED.W.1,20796,309916,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-11-11 06:02:28
13589,2025,NED.W.1,20114,309920,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2025-11-11 06:02:28
13589,2025,NED.W.1,20802,309927,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-11-11 06:02:30
13589,2025,NED.W.1,20114,309930,3,2,1,0,0,0,0,0,1,0,3,0,0,0,0,2025-11-11 06:02:28
13589,2025,NED.W.1,20984,309934,6,0,9,11,0,0,0,1,0,3,6,0,0,0,5,2025-11-11 06:02:29
13589,2025,NED.W.1,20797,309935,6,6,1,0,0,0,0,0,1,0,3,0,0,0,3,2025-11-11 06:02:30
13589,2025,NED.W.1,20800,309936,6,1,3,7,0,0,0,1,6,6,14,2,0,0,18,2025-11-11 06:02:29
13589,2025,NED.W.1,20799,309938,6,0,2,8,0,0,0,1,2,5,7,0,0,0,13,2025-11-11 06:02:28
13589,2025,NED.W.1,20796,309939,6,0,5,6,0,0,0,2,0,2,5,0,0,0,2,2025-11-11 06:02:28
13589,2025,NED.W.1,20796,309942,4,1,0,0,0,0,0,1,0,0,1,0,0,0,1,2025-11-11 06:02:28
13589,2025,NED.W.1,20802,309943,7,0,5,6,0,0,0,0,1,1,6,0,0,0,4,2025-11-11 06:02:30
13589,2025,NED.W.1,20802,309947,7,0,6,1,2,0,0,0,1,2,7,0,0,0,6,2025-11-11 06:02:30
