seasonType,year,league,teamId,athleteId,appearances_value,subIns_value,foulsCommitted_value,foulsSuffered_value,yellowCards_value,redCards_value,ownGoals_value,goalAssists_value,offsides_value,shotsOnTarget_value,totalShots_value,totalGoals_value,shotsFaced_value,saves_value,goalsConceded_value,timestamp
13145,2025,NOR.1,510,9167,27,4,38,26,1,0,0,2,0,30,55,14,0,0,23,2025-11-11 06:08:30
13145,2025,NOR.1,3327,114205,21,5,24,36,6,1,0,1,0,4,20,0,0,0,28,2025-11-11 06:08:26
13145,2025,NOR.1,5270,129208,28,0,19,33,2,0,0,7,0,5,16,1,0,0,35,2025-11-11 06:08:30
13145,2025,NOR.1,22165,129211,23,14,11,9,2,0,0,2,0,2,6,1,0,0,16,2025-11-11 06:08:27
13145,2025,NOR.1,5002,129234,11,9,4,6,3,0,0,3,0,3,6,0,0,0,6,2025-11-11 06:08:29
13145,2025,NOR.1,2791,129267,20,3,16,12,1,0,0,2,0,3,6,0,0,0,21,2025-11-11 06:08:30
13145,2025,NOR.1,5002,129292,20,10,23,8,3,0,0,1,0,13,32,5,0,0,18,2025-11-11 06:08:29
13145,2025,NOR.1,21380,134074,25,0,0,3,1,0,0,0,0,0,0,0,0,96,35,2025-11-11 06:08:26
13145,2025,NOR.1,2715,134827,22,7,12,16,3,0,0,0,0,21,43,7,0,0,13,2025-11-11 06:08:27
13145,2025,NOR.1,2715,141189,26,8,3,7,1,0,0,4,0,14,42,3,0,0,34,2025-11-11 06:08:27
13145,2025,NOR.1,2715,146381,18,3,10,13,2,0,0,3,0,2,9,0,0,0,14,2025-11-11 06:08:27
13145,2025,NOR.1,6672,146895,28,0,7,11,1,0,1,0,0,4,12,1,0,0,52,2025-11-11 06:08:27
13145,2025,NOR.1,510,149479,11,1,0,2,0,0,0,0,0,0,0,0,0,24,8,2025-11-11 06:08:30
13145,2025,NOR.1,3039,153894,24,14,10,14,0,0,1,0,0,2,10,0,0,0,13,2025-11-11 06:08:26
13145,2025,NOR.1,5002,159247,27,0,37,10,6,0,0,2,0,3,12,1,0,0,48,2025-11-11 06:08:29
13145,2025,NOR.1,9811,162442,3,0,0,0,0,0,0,0,0,0,0,0,0,5,8,2025-11-11 06:08:29
13145,2025,NOR.1,9811,162470,28,0,17,24,3,0,0,1,0,7,22,2,0,0,60,2025-11-11 06:08:29
13145,2025,NOR.1,510,162495,13,7,13,8,1,1,0,1,0,11,23,6,0,0,10,2025-11-11 06:08:30
13145,2025,NOR.1,2715,162495,9,5,8,4,0,1,0,1,0,7,17,4,0,0,10,2025-08-05 04:41:26
13145,2025,NOR.1,510,164279,23,3,23,39,5,0,0,13,0,19,47,10,0,0,25,2025-11-11 06:08:30
13145,2025,NOR.1,9811,166628,28,0,9,6,0,0,1,1,0,8,19,3,0,0,60,2025-11-11 06:08:29
13145,2025,NOR.1,9811,166658,12,2,18,21,1,1,0,3,0,5,13,1,0,0,18,2025-11-11 06:08:29
13145,2025,NOR.1,9811,168749,26,2,15,12,2,0,0,3,0,5,14,2,0,0,41,2025-11-11 06:08:29
13145,2025,NOR.1,21380,169106,3,0,0,0,0,0,0,0,0,0,0,0,0,15,9,2025-11-11 06:08:26
13145,2025,NOR.1,5270,172685,7,5,2,2,0,0,0,0,0,0,0,0,0,0,9,2025-11-11 06:08:30
13145,2025,NOR.1,620,173355,24,7,9,7,0,0,0,3,0,22,57,6,0,0,21,2025-11-11 06:08:28
13145,2025,NOR.1,510,173356,24,2,16,7,1,0,0,2,0,1,19,0,0,0,26,2025-11-11 06:08:30
13145,2025,NOR.1,2715,173356,13,2,7,2,1,0,0,2,0,1,12,0,0,0,16,2025-07-23 04:34:04
13145,2025,NOR.1,2980,176883,24,9,14,10,1,0,1,1,0,4,11,2,0,0,19,2025-11-11 06:08:25
13145,2025,NOR.1,9811,177210,24,0,0,2,1,0,0,0,0,0,0,0,0,97,47,2025-11-11 06:08:29
13145,2025,NOR.1,5270,177985,28,0,0,12,3,0,0,0,0,0,0,0,0,62,35,2025-11-11 06:08:30
13145,2025,NOR.1,2715,178135,2,0,0,0,0,0,0,1,0,0,0,0,0,7,5,2025-11-11 06:08:27
13145,2025,NOR.1,2715,179157,23,4,9,26,1,0,0,4,0,8,23,3,0,0,21,2025-11-11 06:08:27
13145,2025,NOR.1,5002,179771,5,4,2,4,0,0,0,0,0,0,0,0,0,0,3,2025-11-11 06:08:29
13145,2025,NOR.1,510,180971,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-11-11 06:08:30
13145,2025,NOR.1,2791,181147,7,0,0,0,0,0,0,0,0,0,0,0,0,28,13,2025-11-11 06:08:30
13145,2025,NOR.1,438,181637,25,3,42,40,3,0,0,2,0,30,67,13,0,0,36,2025-11-11 06:08:28
13145,2025,NOR.1,2715,182347,22,2,9,15,0,0,0,2,0,1,8,0,0,0,27,2025-11-11 06:08:27
13145,2025,NOR.1,2980,184879,4,3,1,2,0,0,0,0,0,0,0,0,0,0,4,2025-11-11 06:08:25
13145,2025,NOR.1,510,186071,8,6,1,2,0,0,0,0,0,1,2,0,0,0,4,2025-11-11 06:08:30
13145,2025,NOR.1,438,186078,20,2,5,11,0,0,0,2,0,7,23,2,0,0,24,2025-11-11 06:08:28
13145,2025,NOR.1,2791,186172,22,3,33,32,3,1,0,5,0,9,31,4,0,0,30,2025-11-11 06:08:30
13145,2025,NOR.1,510,186248,24,6,10,19,0,0,0,3,0,9,37,2,0,0,18,2025-11-11 06:08:30
13145,2025,NOR.1,5270,187920,13,7,8,5,1,0,0,0,0,3,7,1,0,0,9,2025-08-24 04:49:21
13145,2025,NOR.1,5002,191982,12,8,8,1,1,0,0,0,0,1,3,0,0,0,9,2025-11-11 06:08:29
13145,2025,NOR.1,3327,194364,7,1,2,3,0,0,0,0,0,4,8,1,0,0,8,2025-11-11 06:08:26
13145,2025,NOR.1,22165,195570,18,4,11,14,2,0,0,1,0,10,27,2,0,0,18,2025-11-11 06:08:27
13145,2025,NOR.1,3327,202676,16,1,18,3,1,0,0,0,0,2,8,0,0,0,35,2025-07-28 04:32:20
13145,2025,NOR.1,2791,202687,26,12,12,19,2,0,0,1,0,6,27,3,0,0,26,2025-11-11 06:08:30
13145,2025,NOR.1,2980,203670,21,2,12,12,1,0,0,4,0,16,38,7,0,0,12,2025-11-11 06:08:25
