seasonType,year,league,teamId,athleteId,appearances_value,subIns_value,foulsCommitted_value,foulsSuffered_value,yellowCards_value,redCards_value,ownGoals_value,goalAssists_value,offsides_value,shotsOnTarget_value,totalShots_value,totalGoals_value,shotsFaced_value,saves_value,goalsConceded_value,timestamp
13567,2025,POR.1,21581,46976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-11-11 06:09:37
13567,2025,POR.1,2994,50959,9,2,8,7,1,0,0,0,0,3,7,0,0,0,9,2025-11-11 06:09:36
13567,2025,POR.1,3696,75433,4,0,0,0,1,0,0,0,0,0,0,0,0,18,7,2025-11-11 06:09:39
13567,2025,POR.1,21610,77873,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-11-11 06:09:37
13567,2025,POR.1,3472,82009,11,0,14,11,3,0,0,0,7,14,26,6,0,0,12,2025-11-11 06:09:36
13567,2025,POR.1,22064,82720,10,0,10,10,2,0,0,0,0,0,0,0,0,0,22,2025-11-11 06:09:34
13567,2025,POR.1,21613,85096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-11-11 06:09:35
13567,2025,POR.1,2994,92335,5,0,4,1,1,0,0,0,0,0,0,0,0,0,5,2025-11-11 06:09:36
13567,2025,POR.1,12706,93334,6,2,6,5,1,1,0,0,0,0,0,0,0,0,7,2025-11-11 06:09:40
13567,2025,POR.1,21613,97026,11,0,21,16,2,0,0,0,3,6,15,3,0,0,14,2025-11-11 06:09:35
13567,2025,POR.1,2994,98573,10,8,7,8,2,0,0,1,0,2,6,0,0,0,3,2025-11-11 06:09:36
13567,2025,POR.1,21581,104172,9,0,8,5,1,0,0,0,0,1,4,1,0,0,18,2025-11-11 06:09:37
13567,2025,POR.1,12698,105237,6,3,6,3,1,0,0,0,0,1,3,0,0,0,3,2025-11-11 06:09:38
13567,2025,POR.1,12215,116745,9,3,7,10,3,1,0,0,0,0,2,0,0,0,5,2025-11-11 06:09:39
13567,2025,POR.1,1929,119289,10,0,8,13,5,0,0,0,0,3,9,1,0,0,4,2025-11-11 06:09:35
13567,2025,POR.1,15784,119440,10,3,14,12,3,0,0,0,0,1,3,0,0,0,17,2025-11-11 06:09:35
13567,2025,POR.1,22064,119532,8,6,11,5,0,0,0,0,2,4,8,1,0,0,3,2025-11-11 06:09:34
13567,2025,POR.1,21613,120708,10,0,5,1,1,0,0,0,0,0,0,0,0,0,17,2025-11-11 06:09:35
13567,2025,POR.1,3472,124019,10,0,13,13,1,0,0,0,0,1,5,0,0,0,13,2025-11-11 06:09:36
13567,2025,POR.1,22064,124021,8,8,6,1,1,0,0,0,2,5,9,2,0,0,3,2025-11-11 06:09:34
13567,2025,POR.1,15784,124228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-08-13 04:44:09
13567,2025,POR.1,437,127420,4,2,3,1,1,0,0,0,3,3,5,1,0,0,1,2025-11-11 06:09:38
13567,2025,POR.1,5309,127575,11,3,10,18,3,0,0,0,2,5,13,2,0,0,12,2025-11-11 06:09:40
13567,2025,POR.1,21610,130499,11,0,1,1,1,0,0,0,0,0,0,0,0,31,14,2025-11-11 06:09:37
13567,2025,POR.1,22064,130792,6,4,2,5,0,0,0,0,0,1,3,0,0,0,8,2025-11-11 06:09:34
13567,2025,POR.1,22064,138975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-11-11 06:09:34
13567,2025,POR.1,12706,140388,8,1,13,4,3,0,0,0,3,0,2,0,0,0,10,2025-11-11 06:09:40
