seasonType,year,league,teamId,athleteId,appearances_value,subIns_value,foulsCommitted_value,foulsSuffered_value,yellowCards_value,redCards_value,ownGoals_value,goalAssists_value,offsides_value,shotsOnTarget_value,totalShots_value,totalGoals_value,shotsFaced_value,saves_value,goalsConceded_value,timestamp
13505,2025,RUS.1,1963,39740,11,0,0,4,2,0,0,0,0,0,0,0,0,35,10,2025-11-11 06:07:35
13505,2025,RUS.1,596,84295,14,0,29,19,7,0,0,2,0,1,17,1,0,0,19,2025-11-11 06:07:35
13505,2025,RUS.1,22271,93367,13,0,26,18,2,0,0,2,0,12,26,4,0,0,18,2025-11-11 06:07:35
13505,2025,RUS.1,1963,105471,14,0,12,11,1,1,0,0,0,2,9,1,0,0,12,2025-11-11 06:07:35
13505,2025,RUS.1,1941,117353,6,4,2,3,0,1,0,0,0,0,2,0,0,0,2,2025-11-11 06:07:39
13505,2025,RUS.1,3851,117362,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-11-11 06:07:38
13505,2025,RUS.1,2533,124905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-11-11 06:07:39
13505,2025,RUS.1,11336,136454,15,0,8,9,3,0,0,1,0,1,7,0,0,0,8,2025-11-11 06:07:37
13505,2025,RUS.1,3851,151797,3,3,2,1,1,0,0,0,0,0,1,0,0,0,0,2025-11-11 06:07:38
13505,2025,RUS.1,3850,151799,15,0,1,5,0,0,0,0,0,0,0,0,0,58,26,2025-11-11 06:07:37
13505,2025,RUS.1,22300,154354,9,4,3,4,1,0,0,1,0,1,6,0,0,0,4,2025-11-11 06:07:36
13505,2025,RUS.1,3851,159560,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-11-11 06:07:38
13505,2025,RUS.1,2533,162263,6,6,1,0,0,0,0,1,0,0,0,0,0,0,0,2025-11-11 06:07:39
13505,2025,RUS.1,2991,163213,12,7,7,4,0,0,0,2,0,6,13,1,0,0,9,2025-11-11 06:07:34
13505,2025,RUS.1,11336,171508,12,0,9,17,1,0,0,2,0,1,11,0,0,0,6,2025-11-11 06:07:37
13505,2025,RUS.1,21949,172425,14,1,33,7,5,0,0,2,0,7,19,1,0,0,5,2025-11-11 06:07:36
13505,2025,RUS.1,11336,176058,13,0,33,34,1,2,0,3,0,17,39,6,0,0,6,2025-11-11 06:07:37
13505,2025,RUS.1,22271,177155,14,0,0,7,0,0,0,0,0,0,0,0,0,59,19,2025-11-11 06:07:35
13505,2025,RUS.1,3851,178007,11,0,8,13,1,0,0,0,0,2,10,0,0,0,15,2025-11-11 06:07:38
13505,2025,RUS.1,596,178116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-09-12 05:08:18
13505,2025,RUS.1,1941,180573,6,0,12,2,2,1,0,0,0,1,2,0,0,0,7,2025-11-11 06:07:39
13505,2025,RUS.1,2533,182018,15,0,12,35,2,0,0,1,0,0,1,0,0,0,10,2025-11-11 06:07:39
13505,2025,RUS.1,442,182100,7,7,3,4,2,0,0,0,0,0,0,0,0,0,9,2025-11-11 06:07:37
13505,2025,RUS.1,1941,182337,3,3,0,0,0,0,0,0,0,0,1,0,0,0,0,2025-11-11 06:07:39
13505,2025,RUS.1,3851,183666,11,11,0,1,1,0,0,0,0,0,0,0,0,0,2,2025-11-11 06:07:38
13505,2025,RUS.1,1941,184968,14,4,24,20,2,0,0,1,0,6,12,2,0,0,10,2025-11-11 06:07:39
13505,2025,RUS.1,3850,185726,10,0,9,10,1,0,0,0,0,2,2,1,0,0,18,2025-11-11 06:07:37
13505,2025,RUS.1,442,185823,14,0,0,5,1,0,0,0,0,0,0,0,0,48,17,2025-11-11 06:07:37
13505,2025,RUS.1,2533,186575,11,0,7,5,0,1,0,0,0,5,16,1,0,0,10,2025-11-11 06:07:39
13505,2025,RUS.1,442,189042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-11-11 06:07:37
13505,2025,RUS.1,1941,189794,11,10,6,7,0,0,0,0,0,0,4,0,0,0,1,2025-11-11 06:07:39
13505,2025,RUS.1,20019,190343,1,0,0,0,0,0,0,0,0,0,0,0,0,3,4,2025-11-11 06:07:39
13505,2025,RUS.1,2991,191104,15,0,12,12,3,0,0,0,0,2,7,0,0,0,22,2025-11-11 06:07:34
13505,2025,RUS.1,21949,192259,9,7,2,6,0,0,0,0,0,1,5,0,0,0,0,2025-11-11 06:07:36
13505,2025,RUS.1,2533,194048,13,8,16,8,1,0,0,1,0,7,17,3,0,0,4,2025-11-11 06:07:39
13505,2025,RUS.1,2991,194183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-07-28 04:35:06
13505,2025,RUS.1,3851,194183,1,1,2,1,0,0,0,1,0,0,0,0,0,0,0,2025-11-11 06:07:38
13505,2025,RUS.1,18285,195225,10,0,11,23,1,0,0,0,0,1,10,0,0,0,18,2025-11-11 06:07:36
13505,2025,RUS.1,3850,195368,6,1,6,4,1,0,0,0,0,1,2,0,0,0,8,2025-11-11 06:07:37
13505,2025,RUS.1,2991,195496,7,6,4,3,0,0,0,0,0,3,5,0,0,0,5,2025-11-11 06:07:34
13505,2025,RUS.1,442,195500,15,0,15,14,4,0,0,4,0,10,25,2,0,0,19,2025-11-11 06:07:37
13505,2025,RUS.1,1963,198350,12,0,15,13,4,0,0,2,0,0,6,0,0,0,10,2025-11-11 06:07:35
13505,2025,RUS.1,11336,198563,4,3,3,3,1,0,0,0,0,1,1,0,0,0,2,2025-11-11 06:07:37
13505,2025,RUS.1,3850,199487,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-11-11 06:07:37
13505,2025,RUS.1,596,202673,7,1,5,11,1,0,0,2,0,0,5,0,0,0,11,2025-11-11 06:07:35
13505,2025,RUS.1,1941,202702,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-11-11 06:07:39
13505,2025,RUS.1,1963,205442,2,0,5,6,1,0,0,0,0,0,3,0,0,0,1,2025-08-14 04:42:31
13505,2025,RUS.1,2991,205670,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-11-11 06:07:34
13505,2025,RUS.1,3851,205714,6,1,8,7,1,0,0,0,0,1,4,0,0,0,4,2025-11-11 06:07:38
13505,2025,RUS.1,442,205724,14,10,18,10,1,1,0,2,0,9,16,4,0,0,8,2025-11-11 06:07:37
13505,2025,RUS.1,596,206252,8,0,0,0,0,0,0,0,0,0,0,0,0,12,13,2025-11-11 06:07:35
13505,2025,RUS.1,22271,206846,14,7,6,4,1,0,0,0,0,0,1,0,0,0,7,2025-11-11 06:07:35
13505,2025,RUS.1,22271,207044,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2025-11-11 06:07:35
13505,2025,RUS.1,20019,207133,6,2,5,3,1,0,0,1,0,2,5,1,0,0,8,2025-11-11 06:07:39
13505,2025,RUS.1,11336,208642,10,8,7,2,1,0,0,0,0,0,3,0,0,0,3,2025-11-11 06:07:37
13505,2025,RUS.1,2533,210135,9,3,8,14,1,0,0,0,0,1,4,0,0,0,6,2025-11-11 06:07:39
13505,2025,RUS.1,442,211895,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2025-11-11 06:07:37
13505,2025,RUS.1,3850,212348,10,1,17,10,4,0,0,2,0,2,8,1,0,0,15,2025-11-11 06:07:37
13505,2025,RUS.1,22271,213843,7,0,11,2,1,0,0,0,0,0,4,0,0,0,9,2025-11-11 06:07:35
13505,2025,RUS.1,596,214231,3,0,0,0,0,0,0,0,0,0,0,0,0,6,4,2025-11-11 06:07:35
13505,2025,RUS.1,2533,215934,10,3,5,0,0,0,0,1,0,10,20,4,0,0,6,2025-11-11 06:07:39
13505,2025,RUS.1,22271,216351,14,0,17,7,4,0,0,0,0,3,6,1,0,0,18,2025-11-11 06:07:35
13505,2025,RUS.1,2991,217150,12,8,8,4,0,0,0,0,0,9,18,3,0,0,7,2025-11-11 06:07:34
13505,2025,RUS.1,2991,219176,14,4,30,20,2,1,0,1,0,8,24,3,0,0,14,2025-11-11 06:07:34
13505,2025,RUS.1,1941,219535,10,2,10,4,0,0,0,0,0,2,4,0,0,0,13,2025-11-11 06:07:39
13505,2025,RUS.1,3852,220727,2,2,2,0,1,0,0,0,0,0,0,0,0,0,1,2025-11-11 06:07:38
13505,2025,RUS.1,18285,220730,6,0,7,4,0,0,0,0,0,0,3,0,0,0,11,2025-11-11 06:07:36
13505,2025,RUS.1,22271,221140,14,3,19,0,2,0,1,2,0,6,20,3,0,0,12,2025-11-11 06:07:35
13505,2025,RUS.1,3850,221401,14,2,12,24,2,0,0,0,0,2,8,2,0,0,17,2025-11-11 06:07:37
