seasonType,year,league,teamId,athleteId,appearances_value,subIns_value,foulsCommitted_value,foulsSuffered_value,yellowCards_value,redCards_value,ownGoals_value,goalAssists_value,offsides_value,shotsOnTarget_value,totalShots_value,totalGoals_value,shotsFaced_value,saves_value,goalsConceded_value,timestamp
13496,2025,SCO.1,259,16154,11,5,17,7,4,0,0,1,0,7,13,0,0,0,17,2025-11-11 06:07:26
13496,2025,SCO.1,257,16264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-11-11 06:07:27
13496,2025,SCO.1,262,17617,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-11-11 06:07:25
13496,2025,SCO.1,264,17902,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-11-11 06:07:24
13496,2025,SCO.1,256,39902,4,1,4,0,1,0,0,0,0,4,14,2,0,0,5,2025-11-11 06:07:23
13496,2025,SCO.1,256,40200,11,0,0,3,1,0,0,0,0,0,0,0,0,20,8,2025-11-11 06:07:23
13496,2025,SCO.1,261,40299,11,0,8,17,1,0,0,0,0,1,5,1,0,0,18,2025-11-11 06:07:24
13496,2025,SCO.1,261,46115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-09-27 05:10:50
13496,2025,SCO.1,254,77907,10,8,7,4,1,0,0,0,0,5,9,2,0,0,5,2025-11-11 06:07:25
13496,2025,SCO.1,254,84036,12,8,6,1,1,0,0,0,0,5,10,1,0,0,9,2025-11-11 06:07:25
13496,2025,SCO.1,256,84049,11,1,15,3,2,0,0,0,0,5,17,1,0,0,8,2025-11-11 06:07:23
13496,2025,SCO.1,260,103404,12,0,15,27,3,0,0,1,0,8,20,3,0,0,20,2025-11-11 06:07:26
13496,2025,SCO.1,254,107568,12,0,12,17,2,0,0,0,0,3,4,1,0,0,21,2025-11-11 06:07:25
13496,2025,SCO.1,259,108365,4,4,4,2,0,0,0,0,0,1,3,0,0,0,3,2025-11-11 06:07:26
13496,2025,SCO.1,258,116662,9,6,3,4,0,0,0,1,0,7,12,2,0,0,5,2025-11-11 06:07:25
13496,2025,SCO.1,259,122636,11,5,19,10,3,0,0,0,0,4,10,4,0,0,11,2025-11-11 06:07:26
13496,2025,SCO.1,260,123113,4,4,2,2,0,0,0,0,0,1,2,0,0,0,3,2025-11-11 06:07:26
13496,2025,SCO.1,266,126345,9,1,2,4,1,0,0,0,0,1,3,0,0,0,12,2025-11-11 06:07:26
13496,2025,SCO.1,259,130467,12,0,4,1,1,0,0,0,0,1,3,1,0,0,19,2025-11-11 06:07:26
13496,2025,SCO.1,250,133463,11,0,2,4,1,0,0,2,0,1,3,1,0,0,14,2025-11-11 06:07:27
13496,2025,SCO.1,262,135183,4,0,0,2,0,0,0,0,0,0,0,0,0,5,6,2025-11-11 06:07:25
13496,2025,SCO.1,259,137367,5,2,9,3,3,0,0,1,0,1,2,0,0,0,9,2025-11-11 06:07:26
13496,2025,SCO.1,263,138206,9,1,12,16,2,0,1,1,0,0,1,0,0,0,6,2025-11-11 06:07:23
13496,2025,SCO.1,258,139748,12,4,2,11,0,0,0,0,0,9,21,2,0,0,10,2025-11-11 06:07:25
13496,2025,SCO.1,259,140769,6,4,1,0,1,0,0,1,0,1,2,1,0,0,4,2025-11-11 06:07:26
13496,2025,SCO.1,257,141144,11,3,12,6,3,0,0,2,0,7,16,4,0,0,8,2025-11-11 06:07:27
13496,2025,SCO.1,256,141303,10,8,0,6,0,0,0,0,0,2,9,0,0,0,1,2025-11-11 06:07:23
13496,2025,SCO.1,254,141859,12,0,0,6,0,0,0,0,0,0,0,0,0,47,21,2025-11-11 06:07:25
13496,2025,SCO.1,261,146546,11,0,8,1,3,0,2,1,0,2,7,2,0,0,19,2025-11-11 06:07:24
13496,2025,SCO.1,258,146577,9,0,6,9,1,0,0,0,0,5,9,0,0,0,8,2025-11-11 06:07:25
13496,2025,SCO.1,263,147108,9,1,12,6,1,1,0,0,0,2,4,0,0,0,7,2025-11-11 06:07:23
13496,2025,SCO.1,254,149009,3,2,2,2,1,0,0,0,0,0,0,0,0,0,2,2025-11-11 06:07:25
13496,2025,SCO.1,266,149751,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-11-11 06:07:26
13496,2025,SCO.1,259,150538,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-11-11 06:07:26
13496,2025,SCO.1,262,150601,9,3,4,2,0,0,0,0,0,1,6,0,0,0,3,2025-11-11 06:07:25
13496,2025,SCO.1,258,150970,9,3,6,8,1,0,0,0,0,0,4,0,0,0,8,2025-11-11 06:07:25
13496,2025,SCO.1,263,153572,7,1,7,2,2,0,0,1,0,3,7,1,0,0,4,2025-11-11 06:07:23
13496,2025,SCO.1,261,155542,9,1,8,2,2,0,0,0,0,4,12,1,0,0,13,2025-11-11 06:07:24
13496,2025,SCO.1,260,156231,10,1,10,13,0,0,0,1,0,1,4,1,0,0,12,2025-11-11 06:07:26
13496,2025,SCO.1,260,156232,8,5,4,4,0,0,0,0,0,0,1,0,0,0,7,2025-11-11 06:07:26
13496,2025,SCO.1,262,156416,8,0,0,2,0,0,0,0,0,0,0,0,0,19,4,2025-11-11 06:07:25
13496,2025,SCO.1,257,157933,11,0,0,1,0,0,0,0,0,0,0,0,0,32,10,2025-11-11 06:07:27
13496,2025,SCO.1,259,161755,5,0,5,10,1,0,0,0,0,1,1,0,0,0,8,2025-11-11 06:07:26
