seasonType,year,league,teamId,athleteId,appearances_value,subIns_value,foulsCommitted_value,foulsSuffered_value,yellowCards_value,redCards_value,ownGoals_value,goalAssists_value,offsides_value,shotsOnTarget_value,totalShots_value,totalGoals_value,shotsFaced_value,saves_value,goalsConceded_value,timestamp
13566,2025,TUR.1,997,31006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-11-11 06:07:34
13566,2025,TUR.1,7914,108303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-11-11 06:07:32
13566,2025,TUR.1,20070,110633,9,1,4,8,0,0,0,0,0,1,2,0,0,0,9,2025-11-11 06:07:31
13566,2025,TUR.1,3794,113459,4,1,5,2,1,0,0,0,0,5,10,2,0,0,2,2025-09-12 05:05:10
13566,2025,TUR.1,996,119868,9,1,24,32,3,0,0,2,0,6,19,2,0,0,7,2025-11-11 06:07:31
13566,2025,TUR.1,7914,124126,12,2,16,18,3,0,0,4,0,2,9,0,0,0,9,2025-11-11 06:07:32
13566,2025,TUR.1,1895,124880,8,0,0,2,1,0,0,0,0,0,0,0,0,13,11,2025-11-11 06:07:28
13566,2025,TUR.1,11429,129556,4,4,1,0,0,0,0,0,0,0,0,0,0,0,1,2025-11-11 06:07:33
13566,2025,TUR.1,432,131424,5,1,6,1,0,0,0,1,0,1,5,1,0,0,2,2025-11-11 06:07:30
13566,2025,TUR.1,995,135216,4,0,3,1,0,0,0,0,0,1,7,0,0,0,5,2025-09-11 05:05:46
13566,2025,TUR.1,436,136585,5,5,1,2,0,0,0,1,0,0,1,0,0,0,1,2025-11-11 06:07:30
13566,2025,TUR.1,7648,137564,3,0,1,1,0,0,0,0,0,2,5,1,0,0,2,2025-09-06 05:06:18
13566,2025,TUR.1,1895,140108,2,1,4,1,1,0,0,0,0,0,0,0,0,0,2,2025-11-11 06:07:28
13566,2025,TUR.1,789,140110,7,7,1,2,0,1,0,0,0,1,1,0,0,0,2,2025-11-11 06:07:31
13566,2025,TUR.1,20729,141884,12,1,3,11,1,0,0,0,0,5,15,0,0,0,11,2025-11-11 06:07:29
13566,2025,TUR.1,995,142521,10,6,5,5,0,0,0,0,0,4,10,1,0,0,5,2025-11-11 06:07:33
13566,2025,TUR.1,3794,143224,3,0,1,2,0,0,0,1,0,0,1,0,0,0,2,2025-11-11 06:07:28
13566,2025,TUR.1,9078,143774,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-11-11 06:07:27
13566,2025,TUR.1,995,144462,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2025-11-11 06:07:33
13566,2025,TUR.1,20736,144559,4,0,8,2,2,0,0,0,0,0,0,0,0,0,5,2025-11-11 06:07:30
13566,2025,TUR.1,1895,146896,5,1,11,8,1,0,0,0,0,0,1,0,0,0,5,2025-11-11 06:07:28
13566,2025,TUR.1,20729,148497,3,2,4,1,1,0,0,0,0,0,0,0,0,0,0,2025-11-11 06:07:29
13566,2025,TUR.1,3643,150318,11,0,6,21,4,0,0,0,0,0,0,0,0,0,26,2025-11-11 06:07:32
13566,2025,TUR.1,997,150541,11,0,5,5,3,0,0,1,0,2,3,1,0,0,7,2025-11-11 06:07:34
13566,2025,TUR.1,20736,153320,11,2,11,5,2,0,0,2,0,2,5,1,0,0,20,2025-11-11 06:07:30
13566,2025,TUR.1,9078,153939,12,0,0,5,1,0,0,0,0,0,0,0,0,39,12,2025-11-11 06:07:27
13566,2025,TUR.1,995,154532,5,0,7,6,0,0,0,0,0,0,0,0,0,0,5,2025-11-11 06:07:33
13566,2025,TUR.1,997,154647,8,7,0,6,0,0,0,0,0,2,8,0,0,0,2,2025-11-11 06:07:34
13566,2025,TUR.1,20729,158212,10,0,9,13,1,0,0,0,0,0,7,0,0,0,12,2025-11-11 06:07:29
13566,2025,TUR.1,6870,159052,11,0,16,10,3,0,0,0,0,5,14,3,0,0,13,2025-11-11 06:07:32
13566,2025,TUR.1,20729,159140,12,0,4,12,0,0,0,0,0,0,1,0,0,0,15,2025-11-11 06:07:29
13566,2025,TUR.1,432,159146,9,8,3,4,1,0,0,0,0,0,4,0,0,0,2,2025-11-11 06:07:30
13566,2025,TUR.1,436,161559,11,4,9,11,0,0,0,2,0,4,13,0,0,0,5,2025-11-11 06:07:30
13566,2025,TUR.1,3794,164247,6,0,0,1,2,0,0,0,0,0,0,0,0,24,14,2025-11-11 06:07:28
13566,2025,TUR.1,1895,164414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-11-11 06:07:28
13566,2025,TUR.1,432,167411,11,6,4,2,0,0,0,0,0,10,22,6,0,0,4,2025-11-11 06:07:30
13566,2025,TUR.1,20736,168830,9,3,6,3,0,0,0,0,0,2,4,0,0,0,10,2025-11-11 06:07:30
13566,2025,TUR.1,20736,169400,4,1,2,3,1,0,0,0,0,0,1,0,0,0,7,2025-11-11 06:07:30
13566,2025,TUR.1,1895,169402,2,1,0,0,0,0,0,0,0,1,2,0,0,0,2,2025-10-07 05:23:00
