seasonType,year,league,teamId,athleteId,appearances_value,subIns_value,foulsCommitted_value,foulsSuffered_value,yellowCards_value,redCards_value,ownGoals_value,goalAssists_value,offsides_value,shotsOnTarget_value,totalShots_value,totalGoals_value,shotsFaced_value,saves_value,goalsConceded_value,timestamp
13682,2025,UEFA.CHAMPIONS,367,6327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-11-11 06:08:56
13682,2025,UEFA.CHAMPIONS,111,24412,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,2025-11-11 06:08:52
13682,2025,UEFA.CHAMPIONS,22281,26731,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-11-11 06:08:55
13682,2025,UEFA.CHAMPIONS,22281,36807,3,2,1,0,0,0,0,0,0,0,2,0,0,0,4,2025-11-11 06:08:55
13682,2025,UEFA.CHAMPIONS,174,38721,1,0,2,2,0,0,0,0,0,0,0,0,0,0,4,2025-11-11 06:08:46
13682,2025,UEFA.CHAMPIONS,111,76017,3,1,0,3,0,0,0,0,1,0,1,0,0,0,3,2025-11-04 06:12:19
13682,2025,UEFA.CHAMPIONS,1068,76017,3,1,0,3,0,0,0,0,1,0,1,0,0,0,3,2025-11-11 06:08:47
13682,2025,UEFA.CHAMPIONS,570,78836,4,0,2,4,0,0,0,2,0,4,7,2,0,0,7,2025-11-11 06:08:50
13682,2025,UEFA.CHAMPIONS,139,83802,2,0,0,1,0,0,0,0,0,0,0,0,0,9,8,2025-11-11 06:08:46
13682,2025,UEFA.CHAMPIONS,86,84349,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-11-11 06:08:55
13682,2025,UEFA.CHAMPIONS,132,84774,4,0,0,0,1,0,0,0,0,0,0,0,0,13,3,2025-11-11 06:08:48
13682,2025,UEFA.CHAMPIONS,86,87297,2,2,0,0,0,0,0,1,0,0,0,0,0,0,0,2025-11-11 06:08:55
13682,2025,UEFA.CHAMPIONS,105,89216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-11-11 06:08:47
13682,2025,UEFA.CHAMPIONS,110,91873,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2025-11-11 06:08:51
13682,2025,UEFA.CHAMPIONS,110,93197,4,0,0,0,0,0,0,0,0,0,0,0,0,10,1,2025-11-11 06:08:51
13682,2025,UEFA.CHAMPIONS,367,96970,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,2025-11-11 06:08:56
13682,2025,UEFA.CHAMPIONS,22281,98398,4,0,2,1,0,0,0,0,0,3,4,0,0,0,4,2025-11-11 06:08:55
13682,2025,UEFA.CHAMPIONS,570,99829,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,2025-11-11 06:08:50
13682,2025,UEFA.CHAMPIONS,364,102053,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-11-11 06:08:52
13682,2025,UEFA.CHAMPIONS,148,103485,4,0,4,1,1,0,0,0,2,0,4,0,0,0,6,2025-11-11 06:08:54
13682,2025,UEFA.CHAMPIONS,364,104943,3,0,4,0,0,0,0,1,0,1,1,1,0,0,3,2025-11-11 06:08:52
13682,2025,UEFA.CHAMPIONS,361,106139,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,2025-11-11 06:08:54
13682,2025,UEFA.CHAMPIONS,22281,107995,2,0,3,2,0,1,0,0,0,0,1,0,0,0,0,2025-11-11 06:08:55
13682,2025,UEFA.CHAMPIONS,363,108662,3,0,0,0,0,0,0,0,0,0,0,0,0,7,5,2025-11-11 06:08:50
13682,2025,UEFA.CHAMPIONS,132,113733,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-11-11 06:08:48
13682,2025,UEFA.CHAMPIONS,86,118444,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-11-11 06:08:55
13682,2025,UEFA.CHAMPIONS,1929,119289,4,0,8,3,2,0,0,0,0,2,4,0,0,0,8,2025-11-11 06:08:49
13682,2025,UEFA.CHAMPIONS,125,120829,4,0,3,7,1,0,0,1,0,0,2,0,0,0,10,2025-11-11 06:08:50
13682,2025,UEFA.CHAMPIONS,102,121020,4,2,0,2,0,0,0,0,0,0,3,0,0,0,3,2025-11-11 06:08:57
13682,2025,UEFA.CHAMPIONS,111,121036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-11-11 06:08:52
13682,2025,UEFA.CHAMPIONS,176,122260,4,0,3,6,0,0,0,3,2,3,7,1,0,0,4,2025-11-11 06:08:53
13682,2025,UEFA.CHAMPIONS,125,122396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-11-11 06:08:50
13682,2025,UEFA.CHAMPIONS,83,125824,3,2,0,2,0,0,0,0,1,1,5,0,0,0,2,2025-11-11 06:08:48
13682,2025,UEFA.CHAMPIONS,125,128521,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-11-11 06:08:50
13682,2025,UEFA.CHAMPIONS,83,128714,4,1,5,4,0,0,0,0,0,0,2,0,0,0,6,2025-11-11 06:08:48
13682,2025,UEFA.CHAMPIONS,382,131424,2,0,1,3,0,0,0,0,0,2,2,0,0,0,4,2025-11-04 06:12:20
13682,2025,UEFA.CHAMPIONS,432,131424,2,0,1,3,0,0,0,0,0,2,2,0,0,0,4,2025-11-11 06:08:51
13682,2025,UEFA.CHAMPIONS,83,131634,3,0,0,1,0,0,0,0,0,0,0,0,0,9,6,2025-11-11 06:08:48
13682,2025,UEFA.CHAMPIONS,124,132659,2,2,2,0,0,0,0,0,0,0,0,0,0,0,3,2025-11-11 06:08:49
13682,2025,UEFA.CHAMPIONS,93,133768,2,1,1,0,0,0,0,0,0,0,1,0,0,0,3,2025-11-11 06:08:47
