seasonType,year,league,teamId,athleteId,appearances_value,subIns_value,foulsCommitted_value,foulsSuffered_value,yellowCards_value,redCards_value,ownGoals_value,goalAssists_value,offsides_value,shotsOnTarget_value,totalShots_value,totalGoals_value,shotsFaced_value,saves_value,goalsConceded_value,timestamp
13688,2025,UEFA.EUROPA,104,6729,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-11-11 06:09:09
13688,2025,UEFA.EUROPA,2720,9101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-11-11 06:09:16
13688,2025,UEFA.EUROPA,257,16264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-11-11 06:09:19
13688,2025,UEFA.EUROPA,2720,22706,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-11-11 06:09:16
13688,2025,UEFA.EUROPA,13018,25891,4,3,3,0,1,0,0,1,0,1,1,0,0,0,4,2025-11-11 06:09:15
13688,2025,UEFA.EUROPA,437,28261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-11-11 06:09:12
13688,2025,UEFA.EUROPA,2790,33435,4,0,3,1,1,0,0,0,0,0,0,0,0,0,6,2025-11-11 06:09:18
13688,2025,UEFA.EUROPA,256,39902,3,1,3,0,1,0,0,0,1,3,4,1,0,0,3,2025-11-11 06:09:11
13688,2025,UEFA.EUROPA,256,40200,4,0,0,0,0,0,0,0,0,0,0,0,0,16,7,2025-11-11 06:09:11
13688,2025,UEFA.EUROPA,2994,50959,4,1,4,0,0,0,0,0,0,0,2,0,0,0,2,2025-11-11 06:09:10
13688,2025,UEFA.EUROPA,244,55246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-11-11 06:09:19
13688,2025,UEFA.EUROPA,244,70224,4,2,1,4,0,0,0,0,1,1,3,0,0,0,0,2025-11-11 06:09:19
13688,2025,UEFA.EUROPA,2720,75987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-11-11 06:09:16
13688,2025,UEFA.EUROPA,153,83494,4,0,6,17,0,0,0,0,1,3,6,1,0,0,5,2025-11-11 06:09:13
13688,2025,UEFA.EUROPA,256,84049,4,0,7,3,0,0,0,0,0,0,1,0,0,0,7,2025-11-11 06:09:11
13688,2025,UEFA.EUROPA,166,88965,4,3,2,2,0,0,0,0,0,3,5,1,0,0,2,2025-11-11 06:09:15
13688,2025,UEFA.EUROPA,2994,92335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-11-11 06:09:10
13688,2025,UEFA.EUROPA,85,92800,4,0,1,3,0,0,0,1,0,4,8,2,0,0,3,2025-11-11 06:09:11
13688,2025,UEFA.EUROPA,622,96570,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-11-11 06:09:14
13688,2025,UEFA.EUROPA,2290,98193,4,0,5,4,1,0,0,0,4,3,8,2,0,0,3,2025-11-11 06:09:19
13688,2025,UEFA.EUROPA,2994,98573,3,1,1,6,1,0,0,0,0,3,5,1,0,0,4,2025-11-11 06:09:10
13688,2025,UEFA.EUROPA,2722,104982,1,0,2,0,1,0,0,0,0,0,0,0,0,0,1,2025-08-31 05:05:27
13688,2025,UEFA.EUROPA,605,107000,3,1,3,0,0,0,0,0,0,1,3,0,0,0,3,2025-11-11 06:09:17
13688,2025,UEFA.EUROPA,605,117239,3,1,4,0,1,0,0,1,0,0,1,0,0,0,3,2025-11-11 06:09:17
13688,2025,UEFA.EUROPA,107,118279,3,2,2,3,1,0,0,0,0,0,2,0,0,0,0,2025-11-11 06:09:10
13688,2025,UEFA.EUROPA,605,119088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-11-11 06:09:17
13688,2025,UEFA.EUROPA,126,122292,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-11-11 06:09:20
13688,2025,UEFA.EUROPA,605,123560,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-11-11 06:09:17
13688,2025,UEFA.EUROPA,166,123683,2,1,2,2,0,0,0,0,1,2,3,1,0,0,4,2025-11-11 06:09:15
13688,2025,UEFA.EUROPA,989,125465,3,0,0,0,0,0,0,0,0,0,0,0,0,17,3,2025-11-11 06:09:12
13688,2025,UEFA.EUROPA,13018,126491,3,0,0,0,0,0,0,0,0,0,0,0,0,9,6,2025-11-11 06:09:15
13688,2025,UEFA.EUROPA,13018,126645,3,3,3,1,1,0,0,0,1,0,1,0,0,0,1,2025-08-31 05:05:21
13688,2025,UEFA.EUROPA,2720,129289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-11-11 06:09:16
13688,2025,UEFA.EUROPA,597,129415,2,0,0,1,0,0,0,0,0,0,0,0,0,0,4,2025-11-11 06:09:11
13688,2025,UEFA.EUROPA,104,130036,4,3,1,3,0,0,0,0,1,2,6,0,0,0,0,2025-11-11 06:09:09
13688,2025,UEFA.EUROPA,2502,130165,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2,2025-11-11 06:09:17
13688,2025,UEFA.EUROPA,153,131354,4,0,4,1,0,0,0,0,0,0,3,0,0,0,5,2025-11-11 06:09:13
13688,2025,UEFA.EUROPA,362,132233,2,0,0,1,1,0,0,0,0,0,0,0,0,15,0,2025-11-11 06:09:10
13688,2025,UEFA.EUROPA,393,134190,1,1,0,0,0,0,0,0,1,1,1,1,0,0,1,2025-11-11 06:09:17
13688,2025,UEFA.EUROPA,244,134230,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-11-11 06:09:19
13688,2025,UEFA.EUROPA,2720,135579,4,0,3,1,0,0,0,0,0,1,1,0,0,0,4,2025-11-11 06:09:16
13688,2025,UEFA.EUROPA,436,136585,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2025-11-11 06:09:13
13688,2025,UEFA.EUROPA,989,136597,3,0,3,4,1,0,0,0,0,0,3,0,0,0,4,2025-11-11 06:09:12
13688,2025,UEFA.EUROPA,2722,136746,3,0,4,1,0,0,0,0,1,0,0,0,0,0,6,2025-11-11 06:09:21
13688,2025,UEFA.EUROPA,989,136775,4,0,4,11,0,0,0,1,0,6,16,3,0,0,4,2025-11-11 06:09:12
13688,2025,UEFA.EUROPA,484,136796,2,0,0,2,0,0,0,1,0,2,6,0,0,0,2,2025-11-11 06:09:13
13688,2025,UEFA.EUROPA,244,136865,3,2,7,1,2,0,0,0,0,0,1,0,0,0,0,2025-11-11 06:09:19
13688,2025,UEFA.EUROPA,2722,137018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-11-11 06:09:21
13688,2025,UEFA.EUROPA,443,137076,3,1,3,3,0,0,0,0,1,2,4,1,0,0,4,2025-11-11 06:09:18
13688,2025,UEFA.EUROPA,2720,138055,2,2,0,1,0,0,0,0,0,0,0,0,0,0,2,2025-11-11 06:09:16
13688,2025,UEFA.EUROPA,85,138448,4,1,8,1,0,0,0,0,0,3,6,2,0,0,2,2025-11-11 06:09:11
13688,2025,UEFA.EUROPA,85,138674,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-11-11 06:09:11
13688,2025,UEFA.EUROPA,257,141144,4,0,2,5,0,0,0,0,0,0,1,0,0,0,8,2025-11-11 06:09:19
13688,2025,UEFA.EUROPA,256,141303,3,2,1,2,0,0,0,0,0,0,0,0,0,0,4,2025-11-11 06:09:11
13688,2025,UEFA.EUROPA,437,142670,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-11-11 06:09:12
13688,2025,UEFA.EUROPA,167,142743,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-11-11 06:09:15
13688,2025,UEFA.EUROPA,85,144720,3,0,0,0,0,0,0,0,0,0,0,0,0,7,4,2025-11-11 06:09:11
13688,2025,UEFA.EUROPA,244,145078,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,2025-11-11 06:09:19
13688,2025,UEFA.EUROPA,167,145190,3,1,2,6,1,0,0,0,1,0,4,0,0,0,0,2025-11-11 06:09:15
13688,2025,UEFA.EUROPA,85,146127,3,0,3,2,0,0,0,0,3,1,3,0,0,0,4,2025-11-11 06:09:11
