seasonType,year,league,teamId,athleteId,appearances_value,subIns_value,foulsCommitted_value,foulsSuffered_value,yellowCards_value,redCards_value,ownGoals_value,goalAssists_value,offsides_value,shotsOnTarget_value,totalShots_value,totalGoals_value,shotsFaced_value,saves_value,goalsConceded_value,timestamp
13753,2025,UEFA.WCHAMPIONS,20093,109049,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2025-09-21 05:15:25
13753,2025,UEFA.WCHAMPIONS,19256,119954,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2025-11-11 06:04:20
13753,2025,UEFA.WCHAMPIONS,20836,122525,2,2,0,0,0,0,0,0,1,1,3,0,0,0,1,2025-11-11 06:04:22
13753,2025,UEFA.WCHAMPIONS,20061,134423,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2025-11-11 06:04:19
13753,2025,UEFA.WCHAMPIONS,21685,140056,2,0,0,1,0,0,0,0,0,0,0,0,0,0,9,2025-11-11 06:04:21
13753,2025,UEFA.WCHAMPIONS,19973,158678,2,2,1,2,0,0,0,0,3,0,1,0,0,0,0,2025-11-11 06:04:17
13753,2025,UEFA.WCHAMPIONS,19970,158683,2,2,0,1,0,0,0,0,1,1,4,0,0,0,0,2025-11-11 06:04:18
13753,2025,UEFA.WCHAMPIONS,20107,158735,2,0,3,6,0,0,0,0,0,2,9,1,0,0,1,2025-11-11 06:04:22
13753,2025,UEFA.WCHAMPIONS,21685,158759,2,0,0,1,0,0,0,0,0,1,1,1,0,0,7,2025-11-11 06:04:21
13753,2025,UEFA.WCHAMPIONS,19256,158816,2,1,2,1,0,0,0,0,0,0,1,0,0,0,1,2025-11-11 06:04:20
13753,2025,UEFA.WCHAMPIONS,20093,176000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2025-09-21 05:15:25
13753,2025,UEFA.WCHAMPIONS,19973,176041,2,0,1,4,0,0,0,0,0,0,1,0,0,0,2,2025-11-11 06:04:17
13753,2025,UEFA.WCHAMPIONS,20093,178852,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2025-09-21 05:15:25
13753,2025,UEFA.WCHAMPIONS,20107,188013,1,0,2,1,1,0,0,1,0,0,0,0,0,0,0,2025-11-11 06:04:22
13753,2025,UEFA.WCHAMPIONS,19256,188067,2,1,3,1,0,0,0,0,0,3,9,1,0,0,0,2025-11-11 06:04:20
13753,2025,UEFA.WCHAMPIONS,19970,188448,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-11-11 06:04:18
13753,2025,UEFA.WCHAMPIONS,20061,208938,2,0,0,1,0,0,0,0,0,0,0,0,0,7,0,2025-11-11 06:04:19
13753,2025,UEFA.WCHAMPIONS,20093,209165,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2025-09-21 05:15:25
13753,2025,UEFA.WCHAMPIONS,20107,213937,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2025-11-11 06:04:22
13753,2025,UEFA.WCHAMPIONS,19973,219079,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-11-11 06:04:17
13753,2025,UEFA.WCHAMPIONS,19256,219121,2,1,0,1,0,0,0,0,1,1,5,0,0,0,1,2025-11-11 06:04:20
13753,2025,UEFA.WCHAMPIONS,19973,219822,2,0,0,2,0,0,0,0,0,1,1,0,0,0,2,2025-11-11 06:04:17
13753,2025,UEFA.WCHAMPIONS,20093,219866,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-09-21 05:15:25
