seasonType,year,league,teamId,athleteId,appearances_value,subIns_value,foulsCommitted_value,foulsSuffered_value,yellowCards_value,redCards_value,ownGoals_value,goalAssists_value,offsides_value,shotsOnTarget_value,totalShots_value,totalGoals_value,shotsFaced_value,saves_value,goalsConceded_value,timestamp
13776,2025,USA.W.USL.1,131449,209238,3,3,1,0,0,0,0,0,0,0,0,0,0,0,2,2025-11-11 06:02:18
13776,2025,USA.W.USL.1,131455,209644,9,0,18,8,2,0,0,0,0,0,3,0,0,0,11,2025-11-11 06:02:20
13776,2025,USA.W.USL.1,131455,210679,9,0,6,7,2,0,0,0,0,1,5,0,0,0,13,2025-11-11 06:02:20
13776,2025,USA.W.USL.1,131450,211209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-11-11 06:02:18
13776,2025,USA.W.USL.1,131449,211225,7,0,14,4,1,2,0,0,0,0,0,0,0,0,7,2025-11-11 06:02:18
13776,2025,USA.W.USL.1,131454,211980,10,3,11,4,1,0,0,0,0,6,19,3,0,0,13,2025-11-11 06:02:18
13776,2025,USA.W.USL.1,131451,212190,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-11-11 06:02:19
13776,2025,USA.W.USL.1,131447,212194,8,0,2,7,0,0,0,2,0,7,13,0,0,0,15,2025-11-11 06:02:18
13776,2025,USA.W.USL.1,131452,223046,11,2,13,11,3,0,0,1,0,0,1,0,0,0,14,2025-11-11 06:02:17
13776,2025,USA.W.USL.1,131447,224874,8,8,1,3,0,0,0,0,0,1,5,0,0,0,5,2025-11-11 06:02:18
13776,2025,USA.W.USL.1,131454,225047,3,0,1,0,0,0,0,0,0,0,0,0,0,0,5,2025-11-11 06:02:18
13776,2025,USA.W.USL.1,131452,225671,7,0,0,2,2,0,0,0,0,0,0,0,0,18,12,2025-11-11 06:02:17
13776,2025,USA.W.USL.1,131447,226782,8,0,12,4,2,0,1,0,0,3,10,0,0,0,18,2025-11-11 06:02:18
13776,2025,USA.W.USL.1,131450,230372,6,3,4,4,0,0,0,0,0,0,5,0,0,0,6,2025-11-11 06:02:18
13776,2025,USA.W.USL.1,131454,241908,9,2,3,4,1,0,0,0,0,5,12,1,0,0,14,2025-11-11 06:02:18
13776,2025,USA.W.USL.1,131453,242241,10,0,8,9,2,0,0,2,0,0,4,0,0,0,19,2025-11-11 06:02:19
13776,2025,USA.W.USL.1,131450,242560,8,0,9,3,1,0,0,0,0,2,6,1,0,0,10,2025-11-11 06:02:18
13776,2025,USA.W.USL.1,131454,242779,10,0,11,4,1,0,0,1,0,0,0,0,0,0,17,2025-11-11 06:02:18
13776,2025,USA.W.USL.1,131452,246591,5,4,0,0,1,0,0,0,0,2,2,1,0,0,2,2025-11-11 06:02:17
13776,2025,USA.W.USL.1,131455,246850,7,5,15,4,3,0,0,0,0,1,2,1,0,0,5,2025-11-11 06:02:20
13776,2025,USA.W.USL.1,131453,246887,6,6,2,2,1,0,0,0,0,0,0,0,0,0,2,2025-11-11 06:02:19
13776,2025,USA.W.USL.1,131451,248457,9,0,14,5,2,0,0,2,0,2,9,0,0,0,8,2025-11-11 06:02:19
