seasonType,eventId,playOrder,playId,typeId,text,shortText,period,clockValue,clockDisplayValue,teamId,scoringPlay,shootout,wallclock,goalPositionX,goalPositionY,fieldpositionX,fieldPositionY,fieldPosition2X,fieldPosition2Y,athleteId,participant,updateDateTime
13484,740976,1,45592240,80,First Half begins.,,1,0,,0,0,0,2025-08-08 18:02:47,0.0,0.0,0.0,0.0,0.0,0.0,,,2025-08-09 04:49:43
13484,740976,2,45596238,66,Foul by Jasper Dahlhaus (Fortuna Sittard).,Jasper Dahlhaus Foul,1,90,2',143,0,0,2025-08-08 18:04:18,0.0,0.0,0.624,0.712,0.0,0.0,305616.0,Jasper Dahlhaus,2025-08-27 05:02:13
13484,740976,2,45596238,66,Foul by Jasper Dahlhaus (Fortuna Sittard).,Jasper Dahlhaus Foul,1,90,2',143,0,0,2025-08-08 18:04:18,0.0,0.0,0.624,0.712,0.0,0.0,,Calvin Twigt,2025-08-27 05:02:13
13484,740976,3,45596242,135,Attempt blocked. Philip Brittijn (Fortuna Sittard) right footed shot from the centre of the box is blocked. Assisted by Dimitrios Limnios.,Philip Brittijn Shot Blocked,1,354,6',143,0,0,2025-08-08 18:08:42,0.0,0.0,0.142,0.38,0.124,0.395,324486.0,Philip Brittijn,2025-08-27 05:02:13
13484,740976,3,45596242,135,Attempt blocked. Philip Brittijn (Fortuna Sittard) right footed shot from the centre of the box is blocked. Assisted by Dimitrios Limnios.,Philip Brittijn Shot Blocked,1,354,6',143,0,0,2025-08-08 18:08:42,0.0,0.0,0.142,0.38,0.124,0.395,223161.0,Dimitrios Limnios,2025-08-27 05:02:13
13484,740976,4,45596244,66,Jari De Busser (Go Ahead Eagles) wins a free kick in the defensive half.,Paul Gladon Foul,1,359,6',143,0,0,2025-08-08 18:08:47,0.0,0.0,0.092,0.5,0.0,0.0,156838.0,Paul Gladon,2025-08-27 05:02:13
13484,740976,4,45596244,66,Jari De Busser (Go Ahead Eagles) wins a free kick in the defensive half.,Paul Gladon Foul,1,359,6',143,0,0,2025-08-08 18:08:47,0.0,0.0,0.092,0.5,0.0,0.0,,Jari De Busser,2025-08-27 05:02:13
13484,740976,5,45596246,66,Richonell Margaret (Go Ahead Eagles) wins a free kick in the defensive half.,Edouard Michut Foul,1,393,7',143,0,0,2025-08-08 18:09:21,0.0,0.0,0.812,0.278,0.0,0.0,304738.0,Edouard Michut,2025-08-27 05:02:13
13484,740976,5,45596246,66,Richonell Margaret (Go Ahead Eagles) wins a free kick in the defensive half.,Edouard Michut Foul,1,393,7',143,0,0,2025-08-08 18:09:21,0.0,0.0,0.812,0.278,0.0,0.0,,Richonell Margaret,2025-08-27 05:02:13
13484,740976,6,45596248,66,Kristoffer Peterson (Fortuna Sittard) wins a free kick on the left wing.,Richonell Margaret Foul,1,488,9',3706,0,0,2025-08-08 18:10:56,0.0,0.0,0.564,0.084,0.0,0.0,285014.0,Richonell Margaret,2025-08-27 05:02:13
13484,740976,6,45596248,66,Kristoffer Peterson (Fortuna Sittard) wins a free kick on the left wing.,Richonell Margaret Foul,1,488,9',3706,0,0,2025-08-08 18:10:56,0.0,0.0,0.564,0.084,0.0,0.0,,Kristoffer Peterson,2025-08-27 05:02:13
13484,740976,7,45593425,95,"Corner, Go Ahead Eagles. Conceded by Ivo Pinto.",Ivo Pinto Corner Kick,1,705,12',143,0,0,2025-08-08 18:14:33,0.0,0.0,0.138,0.21,0.0,0.0,132666.0,Ivo Pinto,2025-08-27 05:02:13
13484,740976,8,45596254,68,"Offside, Go Ahead Eagles. Calvin Twigt is caught offside.",Victor Edvardsen Offside,1,745,13',3706,0,0,2025-08-08 18:15:13,0.0,0.0,0.074,0.244,0.062,0.091,313972.0,Victor Edvardsen,2025-08-27 05:02:13
13484,740976,9,45592327,117,Attempt missed. Ryan Fosso (Fortuna Sittard) right footed shot from outside the box misses to the right.,Ryan Fosso Shot Off Target,1,866,15',143,0,0,2025-08-08 18:17:13,0.0,0.0,0.418,0.464,0.0,0.661,345794.0,Ryan Fosso,2025-08-10 04:46:16
13484,740976,10,45596258,66,Milan Smit (Go Ahead Eagles) wins a free kick on the left wing.,Shawn Adewoye Foul,1,963,17',143,0,0,2025-08-08 18:18:51,0.0,0.0,0.886,0.092,0.0,0.0,277375.0,Shawn Adewoye,2025-08-27 05:02:13
13484,740976,10,45596258,66,Milan Smit (Go Ahead Eagles) wins a free kick on the left wing.,Shawn Adewoye Foul,1,963,17',143,0,0,2025-08-08 18:18:51,0.0,0.0,0.886,0.092,0.0,0.0,,Milan Smit,2025-08-27 05:02:13
13484,740976,11,45592347,117,Attempt missed. Justin Hubner (Fortuna Sittard) left footed shot from outside the box is too high. Assisted by Ryan Fosso.,Justin Hubner Shot Off Target,1,1019,17',143,0,0,2025-08-08 18:19:47,0.0,0.0,0.572,0.485,0.0,0.497,346817.0,Justin Hubner,2025-08-10 04:46:16
13484,740976,11,45592347,117,Attempt missed. Justin Hubner (Fortuna Sittard) left footed shot from outside the box is too high. Assisted by Ryan Fosso.,Justin Hubner Shot Off Target,1,1019,17',143,0,0,2025-08-08 18:19:47,0.0,0.0,0.572,0.485,0.0,0.497,345794.0,Ryan Fosso,2025-08-10 04:46:16
13484,740976,12,45596261,66,Shawn Adewoye (Fortuna Sittard) wins a free kick in the defensive half.,Milan Smit Foul,1,1052,18',3706,0,0,2025-08-08 18:20:19,0.0,0.0,0.608,0.691,0.0,0.0,338861.0,Milan Smit,2025-08-27 05:02:13
13484,740976,12,45596261,66,Shawn Adewoye (Fortuna Sittard) wins a free kick in the defensive half.,Milan Smit Foul,1,1052,18',3706,0,0,2025-08-08 18:20:19,0.0,0.0,0.608,0.691,0.0,0.0,,Shawn Adewoye,2025-08-27 05:02:13
13484,740976,13,45596266,66,Milan Smit (Go Ahead Eagles) wins a free kick in the attacking half.,Shawn Adewoye Foul,1,1175,20',143,0,0,2025-08-08 18:22:23,0.0,0.0,0.658,0.439,0.0,0.0,277375.0,Shawn Adewoye,2025-08-27 05:02:13
13484,740976,13,45596266,66,Milan Smit (Go Ahead Eagles) wins a free kick in the attacking half.,Shawn Adewoye Foul,1,1175,20',143,0,0,2025-08-08 18:22:23,0.0,0.0,0.658,0.439,0.0,0.0,,Milan Smit,2025-08-27 05:02:13
13484,740976,14,45596269,106,Attempt saved. Evert Linthorst (Go Ahead Eagles) header from the centre of the box is saved in the top right corner by Mattijs Branderhorst (Fortuna Sittard). Assisted by Dean James.,Evert Linthorst Shot On Target,1,1257,21',3706,0,0,2025-08-08 18:23:45,0.0,0.0,0.164,0.622,0.018,0.529,272716.0,Evert Linthorst,2025-08-27 05:02:13
13484,740976,14,45596269,106,Attempt saved. Evert Linthorst (Go Ahead Eagles) header from the centre of the box is saved in the top right corner by Mattijs Branderhorst (Fortuna Sittard). Assisted by Dean James.,Evert Linthorst Shot On Target,1,1257,21',3706,0,0,2025-08-08 18:23:45,0.0,0.0,0.164,0.622,0.018,0.529,304868.0,Dean James,2025-08-27 05:02:13
13484,740976,15,45596277,66,Ryan Fosso (Fortuna Sittard) wins a free kick in the defensive half.,Mathis Suray Foul,1,1487,25',3706,0,0,2025-08-08 18:27:35,0.0,0.0,0.28,0.556,0.0,0.0,308091.0,Mathis Suray,2025-08-27 05:02:13
13484,740976,15,45596277,66,Ryan Fosso (Fortuna Sittard) wins a free kick in the defensive half.,Mathis Suray Foul,1,1487,25',3706,0,0,2025-08-08 18:27:35,0.0,0.0,0.28,0.556,0.0,0.0,,Ryan Fosso,2025-08-27 05:02:13
13484,740976,16,45593426,95,"Corner, Go Ahead Eagles. Conceded by Shawn Adewoye.",Shawn Adewoye Corner Kick,1,1554,26',143,0,0,2025-08-08 18:28:42,0.0,0.0,0.14,0.668,0.0,0.0,277375.0,Shawn Adewoye,2025-08-27 05:02:13
13484,740976,17,45592418,117,Attempt missed. Calvin Twigt (Go Ahead Eagles) right footed shot from the left side of the box is high and wide to the right following a corner.,Calvin Twigt Shot Off Target,1,1595,27',3706,0,0,2025-08-08 18:29:23,0.0,0.0,0.192,0.315,0.0,0.96,307375.0,Calvin Twigt,2025-08-10 04:46:16
13484,740976,18,45592437,97,"Own Goal by Shawn Adewoye, Fortuna Sittard. Fortuna Sittard 0, Go Ahead Eagles 1.",Shawn Adewoye Own Goal,1,1709,29',3706,0,0,2025-08-08 18:31:17,0.0,0.0,0.098,0.47,0.0,0.469,,Shawn Adewoye,2025-08-10 04:46:16
13484,740976,19,45596281,66,Foul by Dean James (Go Ahead Eagles).,Dean James Foul,1,1805,31',3706,0,0,2025-08-08 18:32:53,0.0,0.0,0.874,0.082,0.0,0.0,304868.0,Dean James,2025-08-27 05:02:13
13484,740976,19,45596281,66,Foul by Dean James (Go Ahead Eagles).,Dean James Foul,1,1805,31',3706,0,0,2025-08-08 18:32:53,0.0,0.0,0.874,0.082,0.0,0.0,,Dimitrios Limnios,2025-08-27 05:02:13
13484,740976,20,45592456,117,Attempt missed. Paul Gladon (Fortuna Sittard) right footed shot from the centre of the box misses to the right. Assisted by Jasper Dahlhaus with a cross.,Paul Gladon Shot Off Target,1,1827,31',143,0,0,2025-08-08 18:33:15,0.0,0.0,0.0,0.0,0.0,0.0,156838.0,Paul Gladon,2025-08-10 04:46:16
13484,740976,20,45592456,117,Attempt missed. Paul Gladon (Fortuna Sittard) right footed shot from the centre of the box misses to the right. Assisted by Jasper Dahlhaus with a cross.,Paul Gladon Shot Off Target,1,1827,31',143,0,0,2025-08-08 18:33:15,0.0,0.0,0.0,0.0,0.0,0.0,305616.0,Jasper Dahlhaus,2025-08-10 04:46:16
13484,740976,21,45592459,117,Attempt missed. Richonell Margaret (Go Ahead Eagles) right footed shot from the right side of the six yard box misses to the right. Assisted by Mathis Suray with a cross.,Richonell Margaret Shot Off Targ,1,1967,33',3706,0,0,2025-08-08 18:35:35,0.0,0.0,0.076,0.597,0.0,0.61,285014.0,Richonell Margaret,2025-08-10 04:46:16
13484,740976,21,45592459,117,Attempt missed. Richonell Margaret (Go Ahead Eagles) right footed shot from the right side of the six yard box misses to the right. Assisted by Mathis Suray with a cross.,Richonell Margaret Shot Off Targ,1,1967,33',3706,0,0,2025-08-08 18:35:35,0.0,0.0,0.076,0.597,0.0,0.61,308091.0,Mathis Suray,2025-08-10 04:46:16
13484,740976,22,45596288,135,Attempt blocked. Kristoffer Peterson (Fortuna Sittard) header from the left side of the box is blocked. Assisted by Dimitrios Limnios with a cross.,Kristoffer Peterson Shot Blocked,1,2047,35',143,0,0,2025-08-08 18:36:55,0.0,0.0,0.204,0.328,0.162,0.361,196353.0,Kristoffer Peterson,2025-08-27 05:02:13
13484,740976,22,45596288,135,Attempt blocked. Kristoffer Peterson (Fortuna Sittard) header from the left side of the box is blocked. Assisted by Dimitrios Limnios with a cross.,Kristoffer Peterson Shot Blocked,1,2047,35',143,0,0,2025-08-08 18:36:55,0.0,0.0,0.204,0.328,0.162,0.361,223161.0,Dimitrios Limnios,2025-08-27 05:02:13
13484,740976,23,45592480,117,Attempt missed. Kristoffer Peterson (Fortuna Sittard) right footed shot from outside the box is high and wide to the right. Assisted by Philip Brittijn.,Kristoffer Peterson Shot Off Tar,1,2145,36',143,0,0,2025-08-08 18:38:33,0.0,0.0,0.398,0.265,0.0,0.624,196353.0,Kristoffer Peterson,2025-08-10 04:46:16
13484,740976,23,45592480,117,Attempt missed. Kristoffer Peterson (Fortuna Sittard) right footed shot from outside the box is high and wide to the right. Assisted by Philip Brittijn.,Kristoffer Peterson Shot Off Tar,1,2145,36',143,0,0,2025-08-08 18:38:33,0.0,0.0,0.398,0.265,0.0,0.624,324486.0,Philip Brittijn,2025-08-10 04:46:16
13484,740976,24,45596292,106,Attempt saved. Kristoffer Peterson (Fortuna Sittard) right footed shot from the centre of the box is saved in the bottom left corner by Jari De Busser (Go Ahead Eagles). Assisted by Édouard Michut.,Kristoffer Peterson Shot On Targ,1,2224,38',143,0,0,2025-08-08 18:39:52,0.0,0.0,0.222,0.373,0.022,0.489,196353.0,Kristoffer Peterson,2025-08-27 05:02:13
13484,740976,24,45596292,106,Attempt saved. Kristoffer Peterson (Fortuna Sittard) right footed shot from the centre of the box is saved in the bottom left corner by Jari De Busser (Go Ahead Eagles). Assisted by Édouard Michut.,Kristoffer Peterson Shot On Targ,1,2224,38',143,0,0,2025-08-08 18:39:52,0.0,0.0,0.222,0.373,0.022,0.489,304738.0,Edouard Michut,2025-08-27 05:02:13
13484,740976,25,45593428,95,"Corner, Go Ahead Eagles. Conceded by Ryan Fosso.",Richonell Margaret Corner Kick,1,2314,39',3706,0,0,2025-08-08 18:41:22,0.0,0.0,0.068,0.41,0.0,0.0,285014.0,Richonell Margaret,2025-08-27 05:02:13
13484,740976,26,45596293,135,Attempt blocked. Kristoffer Peterson (Fortuna Sittard) right footed shot from the centre of the box is blocked.,Kristoffer Peterson Shot Blocked,1,2401,41',143,0,0,2025-08-08 18:42:49,0.0,0.0,0.306,0.427,0.264,0.435,196353.0,Kristoffer Peterson,2025-08-27 05:02:13
13484,740976,27,45596295,135,Attempt blocked. Ryan Fosso (Fortuna Sittard) right footed shot from outside the box is blocked.,Ryan Fosso Shot Blocked,1,2404,41',143,0,0,2025-08-08 18:42:52,0.0,0.0,0.452,0.517,0.248,0.511,345794.0,Ryan Fosso,2025-08-27 05:02:13
13484,740976,28,45596300,106,Attempt saved. Dimitrios Limnios (Fortuna Sittard) right footed shot from outside the box is saved in the bottom left corner by Jari De Busser (Go Ahead Eagles). Assisted by Ivo Pinto.,Dimitrios Limnios Shot On Target,1,2656,45',143,0,0,2025-08-08 18:47:04,0.0,0.0,0.446,0.624,0.044,0.516,223161.0,Dimitrios Limnios,2025-08-27 05:02:13
13484,740976,28,45596300,106,Attempt saved. Dimitrios Limnios (Fortuna Sittard) right footed shot from outside the box is saved in the bottom left corner by Jari De Busser (Go Ahead Eagles). Assisted by Ivo Pinto.,Dimitrios Limnios Shot On Target,1,2656,45',143,0,0,2025-08-08 18:47:04,0.0,0.0,0.446,0.624,0.044,0.516,132666.0,Ivo Pinto,2025-08-27 05:02:13
13484,740976,29,45596302,135,Attempt blocked. Justin Hubner (Fortuna Sittard) left footed shot from the centre of the box is blocked.,Justin Hubner Shot Blocked,1,2689,45',143,0,0,2025-08-08 18:47:37,0.0,0.0,0.166,0.47,0.04,0.487,346817.0,Justin Hubner,2025-08-27 05:02:13
13484,740976,34,45592629,82,"Second Half begins Fortuna Sittard 1, Go Ahead Eagles 1.",,2,2700,45',0,0,0,2025-08-08 19:05:13,0.0,0.0,0.0,0.0,0.0,0.0,,,2025-08-10 04:46:16
13484,740976,33,45592552,70,"Goal! Fortuna Sittard 1, Go Ahead Eagles 1. Philip Brittijn (Fortuna Sittard) right footed shot from very close range to the top right corner following a corner.",Philip Brittijn Goal,1,2700,45'+1',143,0,0,2025-08-08 18:48:16,0.0,0.0,0.1,0.516,0.0,0.523,324486.0,Philip Brittijn,2025-08-10 04:46:16
13484,740976,35,45592630,76,"Substitution, Go Ahead Eagles. Oscar Pettersson replaces Richonell Margaret.",Oscar Pettersson Substitution,2,2700,45',3706,0,0,2025-08-08 19:05:03,0.0,0.0,0.0,0.0,0.0,0.0,286808.0,Oscar Pettersson,2025-08-10 04:46:16
13484,740976,30,45596305,135,Attempt blocked. Ryan Fosso (Fortuna Sittard) left footed shot from the centre of the box is blocked. Assisted by Justin Hubner.,Ryan Fosso Shot Blocked,1,2700,45'+1',143,0,0,2025-08-08 18:48:03,0.0,0.0,0.29,0.45,0.144,0.496,345794.0,Ryan Fosso,2025-08-27 05:02:13
13484,740976,31,45596307,135,Attempt blocked. Justin Hubner (Fortuna Sittard) header from the right side of the six yard box is blocked.,Justin Hubner Shot Blocked,1,2700,45'+1',143,0,0,2025-08-08 18:48:14,0.0,0.0,0.084,0.623,0.064,0.599,346817.0,Justin Hubner,2025-08-27 05:02:13
13484,740976,32,45596309,135,Attempt blocked. Paul Gladon (Fortuna Sittard) header from the centre of the box is blocked.,Paul Gladon Shot Blocked,1,2700,45'+1',143,0,0,2025-08-08 18:48:15,0.0,0.0,0.142,0.446,0.12,0.453,156838.0,Paul Gladon,2025-08-27 05:02:13
13484,740976,35,45592630,76,"Substitution, Go Ahead Eagles. Oscar Pettersson replaces Richonell Margaret.",Oscar Pettersson Substitution,2,2700,45',3706,0,0,2025-08-08 19:05:03,0.0,0.0,0.0,0.0,0.0,0.0,285014.0,Richonell Margaret,2025-08-10 04:46:16
13484,740976,30,45596305,135,Attempt blocked. Ryan Fosso (Fortuna Sittard) left footed shot from the centre of the box is blocked. Assisted by Justin Hubner.,Ryan Fosso Shot Blocked,1,2700,45'+1',143,0,0,2025-08-08 18:48:03,0.0,0.0,0.29,0.45,0.144,0.496,346817.0,Justin Hubner,2025-08-27 05:02:13
13484,740976,36,45596311,106,Attempt saved. Dimitrios Limnios (Fortuna Sittard) right footed shot from the centre of the box is saved in the top centre of the goal by Jari De Busser (Go Ahead Eagles).,Dimitrios Limnios Shot On Target,2,2766,47',143,0,0,2025-08-08 19:06:19,0.0,0.0,0.23,0.611,0.036,0.52,223161.0,Dimitrios Limnios,2025-08-27 05:02:13
13484,740976,37,45596315,66,Ryan Fosso (Fortuna Sittard) wins a free kick in the defensive half.,Dean James Foul,2,3009,51',3706,0,0,2025-08-08 19:10:22,0.0,0.0,0.328,0.136,0.0,0.0,304868.0,Dean James,2025-08-27 05:02:13
13484,740976,37,45596315,66,Ryan Fosso (Fortuna Sittard) wins a free kick in the defensive half.,Dean James Foul,2,3009,51',3706,0,0,2025-08-08 19:10:22,0.0,0.0,0.328,0.136,0.0,0.0,,Ryan Fosso,2025-08-27 05:02:13
13484,740976,38,45596320,106,Attempt saved. Édouard Michut (Fortuna Sittard) right footed shot from outside the box is saved in the bottom right corner by Jari De Busser (Go Ahead Eagles). Assisted by Kristoffer Peterson.,Edouard Michut Shot On Target,2,3078,52',143,0,0,2025-08-08 19:11:31,0.0,0.0,0.444,0.411,0.044,0.489,304738.0,Edouard Michut,2025-08-27 05:02:13
13484,740976,38,45596320,106,Attempt saved. Édouard Michut (Fortuna Sittard) right footed shot from outside the box is saved in the bottom right corner by Jari De Busser (Go Ahead Eagles). Assisted by Kristoffer Peterson.,Edouard Michut Shot On Target,2,3078,52',143,0,0,2025-08-08 19:11:31,0.0,0.0,0.444,0.411,0.044,0.489,196353.0,Kristoffer Peterson,2025-08-27 05:02:13
13484,740976,39,45596322,172,VAR Decision: Card upgraded Calvin Twigt (Go Ahead Eagles).,Calvin Twigt VAR - Referee decis,2,3202,54',3706,0,0,2025-08-08 19:13:36,0.0,0.0,0.0,0.0,0.0,0.0,307375.0,Calvin Twigt,2025-08-27 05:02:13
13484,740976,40,45592864,93,Calvin Twigt (Go Ahead Eagles) is shown the red card.,Calvin Twigt Red Card,2,3233,54',3706,0,0,2025-08-08 19:14:06,0.0,0.0,0.0,0.0,0.0,0.0,307375.0,Calvin Twigt,2025-08-10 04:46:16
